Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
23-Oct-2025,25-Nov-2025,XX,"-","1,125.90","1,147.10","1,121.30","1,126.00","1,125.10","1,126.00",1124550,"1,27,76,76,315.00","1,27,76,76,315.00",733950,467100
23-Oct-2025,28-Oct-2025,XX,"-","1,129.80","1,158.30","1,127.00","1,138.10","1,134.50","1,138.10",1535400,"1,75,81,90,950.00","1,75,81,90,950.00",1718100,-543600
23-Oct-2025,30-Dec-2025,XX,"-","1,119.20","1,144.80","1,119.20","1,122.70","1,120.60","1,122.70",13050,"1,47,73,545.00","1,47,73,545.00",40500,6300
21-Oct-2025,25-Nov-2025,XX,"-","1,121.50","1,128.50","1,115.20","1,119.70","1,120.50","1,119.70",37350,"4,18,79,340.00","4,18,79,340.00",266850,3150
21-Oct-2025,30-Dec-2025,XX,"-","-","-","-","1,115.70","1,115.70","1,139.90",0,"-","-",34200,0
21-Oct-2025,28-Oct-2025,XX,"-","1,127.90","1,134.50","1,120.20","1,126.00","1,124.00","1,126.00",80100,"9,02,79,675.00","9,02,79,675.00",2261700,-13950
20-Oct-2025,25-Nov-2025,XX,"-","1,125.50","1,125.50","1,110.00","1,117.70","1,121.50","1,117.70",113400,"12,65,59,035.00","12,65,59,035.00",263700,44550
20-Oct-2025,28-Oct-2025,XX,"-","1,132.10","1,137.00","1,113.90","1,123.70","1,129.00","1,123.70",687600,"77,16,05,415.00","77,16,05,415.00",2275650,1800
20-Oct-2025,30-Dec-2025,XX,"-","1,113.20","1,116.70","1,110.00","1,115.70","1,115.70","1,115.70",5850,"65,10,555.00","65,10,555.00",34200,900
17-Oct-2025,25-Nov-2025,XX,"-","1,120.50","1,139.80","1,115.00","1,116.90","1,117.00","1,116.90",153900,"17,29,78,785.00","17,29,78,785.00",219150,23400
17-Oct-2025,30-Dec-2025,XX,"-","1,122.00","1,133.00","1,114.00","1,117.60","1,114.00","1,117.60",7200,"81,04,635.00","81,04,635.00",33300,3150
17-Oct-2025,28-Oct-2025,XX,"-","1,136.00","1,144.00","1,120.60","1,123.90","1,124.00","1,123.90",999450,"1,13,26,02,345.00","1,13,26,02,345.00",2273850,118800
16-Oct-2025,30-Dec-2025,XX,"-","1,124.00","1,124.00","1,117.00","1,122.60","1,123.10","1,122.60",6300,"70,61,175.00","70,61,175.00",30150,3150
16-Oct-2025,28-Oct-2025,XX,"-","1,133.40","1,133.90","1,118.80","1,127.60","1,127.60","1,127.60",602550,"67,96,23,975.00","67,96,23,975.00",2155050,11250
16-Oct-2025,25-Nov-2025,XX,"-","1,121.80","1,126.00","1,112.90","1,122.90","1,123.30","1,122.90",75600,"8,48,03,535.00","8,48,03,535.00",195750,5850
15-Oct-2025,25-Nov-2025,XX,"-","1,106.50","1,129.00","1,099.70","1,125.60","1,123.90","1,125.60",109350,"12,22,88,940.00","12,22,88,940.00",189900,17550
15-Oct-2025,30-Dec-2025,XX,"-","1,100.00","1,128.90","1,100.00","1,125.00","1,123.80","1,125.00",8550,"95,79,600.00","95,79,600.00",27000,5400
15-Oct-2025,28-Oct-2025,XX,"-","1,111.50","1,135.50","1,103.80","1,131.50","1,124.60","1,131.50",992250,"1,11,55,65,390.00","1,11,55,65,390.00",2143800,52650
14-Oct-2025,25-Nov-2025,XX,"-","1,152.20","1,159.60","1,097.00","1,106.00","1,105.00","1,106.00",230400,"25,80,55,560.00","25,80,55,560.00",172350,48150
14-Oct-2025,28-Oct-2025,XX,"-","1,154.70","1,161.70","1,098.00","1,110.20","1,111.70","1,110.20",2037150,"2,29,41,87,570.00","2,29,41,87,570.00",2091150,-290250
14-Oct-2025,30-Dec-2025,XX,"-","1,160.90","1,160.90","1,100.00","1,106.60","1,104.40","1,106.60",15750,"1,77,25,635.00","1,77,25,635.00",21600,4500
13-Oct-2025,28-Oct-2025,XX,"-","1,099.00","1,154.80","1,086.60","1,149.60","1,154.70","1,149.60",3181950,"3,58,91,27,460.00","3,58,91,27,460.00",2381400,-28350
13-Oct-2025,25-Nov-2025,XX,"-","1,092.60","1,152.30","1,092.00","1,147.70","1,152.00","1,147.70",204750,"23,00,63,805.00","23,00,63,805.00",124200,2250
13-Oct-2025,30-Dec-2025,XX,"-","1,098.00","1,149.00","1,098.00","1,147.10","1,149.00","1,147.10",13500,"1,52,49,915.00","1,52,49,915.00",17100,1350
10-Oct-2025,25-Nov-2025,XX,"-","1,051.30","1,080.30","1,051.30","1,077.70","1,080.30","1,077.70",86400,"9,24,49,440.00","9,24,49,440.00",121950,6750
10-Oct-2025,28-Oct-2025,XX,"-","1,057.70","1,082.70","1,054.50","1,078.80","1,082.00","1,078.80",1220850,"1,30,93,44,120.00","1,30,93,44,120.00",2409750,-117000
10-Oct-2025,30-Dec-2025,XX,"-","1,062.50","1,068.60","1,060.50","1,068.60","1,068.60","1,086.30",6300,"67,02,480.00","67,02,480.00",15750,-450
09-Oct-2025,25-Nov-2025,XX,"-","1,043.00","1,055.70","1,032.00","1,050.60","1,051.80","1,050.60",20250,"2,11,82,715.00","2,11,82,715.00",115200,450
09-Oct-2025,30-Dec-2025,XX,"-","1,034.50","1,052.00","1,034.50","1,052.00","1,052.00","1,052.00",900,"9,38,925.00","9,38,925.00",16200,0
09-Oct-2025,28-Oct-2025,XX,"-","1,041.10","1,058.60","1,032.50","1,052.40","1,052.20","1,052.40",657450,"68,92,95,870.00","68,92,95,870.00",2526750,5400
08-Oct-2025,25-Nov-2025,XX,"-","1,055.00","1,063.00","1,031.30","1,032.90","1,031.70","1,032.90",49500,"5,16,90,015.00","5,16,90,015.00",114750,8550
08-Oct-2025,28-Oct-2025,XX,"-","1,052.60","1,066.30","1,032.50","1,035.20","1,035.20","1,035.20",800100,"83,99,98,080.00","83,99,98,080.00",2521350,132300
08-Oct-2025,30-Dec-2025,XX,"-","1,060.10","1,060.10","1,033.90","1,034.50","1,034.00","1,034.50",4500,"46,80,900.00","46,80,900.00",16200,2250
07-Oct-2025,25-Nov-2025,XX,"-","1,059.90","1,084.30","1,050.30","1,052.70","1,053.70","1,052.70",89100,"9,45,13,140.00","9,45,13,140.00",106200,23400
07-Oct-2025,30-Dec-2025,XX,"-","1,059.70","1,077.90","1,055.90","1,056.20","1,055.90","1,056.20",9900,"1,05,15,690.00","1,05,15,690.00",13950,8550
07-Oct-2025,28-Oct-2025,XX,"-","1,072.80","1,084.90","1,051.00","1,054.10","1,055.00","1,054.10",693900,"73,80,42,930.00","73,80,42,930.00",2389050,99000
06-Oct-2025,30-Dec-2025,XX,"-","1,057.00","1,067.80","1,056.50","1,056.50","1,056.50","1,076.80",2250,"23,83,920.00","23,83,920.00",5400,1350
06-Oct-2025,28-Oct-2025,XX,"-","1,071.30","1,073.00","1,054.50","1,068.00","1,071.00","1,068.00",379350,"40,36,80,690.00","40,36,80,690.00",2290050,52650
06-Oct-2025,25-Nov-2025,XX,"-","1,059.30","1,067.40","1,053.30","1,064.80","1,067.00","1,064.80",18000,"1,90,87,785.00","1,90,87,785.00",82800,5400
03-Oct-2025,25-Nov-2025,XX,"-","1,077.60","1,083.90","1,054.80","1,068.00","1,070.80","1,068.00",25650,"2,73,55,770.00","2,73,55,770.00",77400,10350
03-Oct-2025,30-Dec-2025,XX,"-","1,090.00","1,090.00","1,056.40","1,066.90","1,066.90","1,066.90",4500,"48,27,735.00","48,27,735.00",4050,4050
03-Oct-2025,28-Oct-2025,XX,"-","1,072.20","1,092.70","1,056.90","1,070.60","1,071.60","1,070.60",437850,"46,83,72,870.00","46,83,72,870.00",2237400,59400
