Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
19-Feb-2026,28-Apr-2026,XX,"-","516.75","516.75","509.85","511.70","510.00","511.70",237500,"12,17,01,187.50","12,17,01,187.50",655000,92500
19-Feb-2026,30-Mar-2026,XX,"-","519.55","520.75","514.00","516.15","514.70","516.15",11426250,"5,91,22,19,375.00","5,91,22,19,375.00",11645000,6455000
19-Feb-2026,24-Feb-2026,XX,"-","524.20","529.50","522.35","524.35","523.00","524.35",12192500,"6,40,80,91,625.00","6,40,80,91,625.00",14168750,-8266250
18-Feb-2026,30-Mar-2026,XX,"-","522.25","526.35","517.25","519.55","519.20","519.55",2022500,"1,05,22,01,562.50","1,05,22,01,562.50",5190000,987500
18-Feb-2026,28-Apr-2026,XX,"-","522.15","522.45","515.00","516.70","515.95","516.70",117500,"6,08,05,000.00","6,08,05,000.00",562500,63750
18-Feb-2026,24-Feb-2026,XX,"-","530.90","532.65","523.00","525.45","524.85","525.45",3298750,"1,73,67,98,437.50","1,73,67,98,437.50",22435000,-662500
17-Feb-2026,30-Mar-2026,XX,"-","524.80","528.00","521.70","523.15","522.60","523.15",1090000,"57,17,60,750.00","57,17,60,750.00",4202500,603750
17-Feb-2026,24-Feb-2026,XX,"-","532.25","534.50","527.90","529.50","528.90","529.50",2463750,"1,30,73,57,062.50","1,30,73,57,062.50",23097500,108750
17-Feb-2026,28-Apr-2026,XX,"-","525.90","525.90","519.40","520.95","520.95","520.95",47500,"2,47,90,312.50","2,47,90,312.50",498750,30000
16-Feb-2026,24-Feb-2026,XX,"-","529.15","536.20","521.05","535.30","534.50","535.30",3026250,"1,61,06,54,437.50","1,61,06,54,437.50",22988750,-196250
16-Feb-2026,30-Mar-2026,XX,"-","522.95","530.25","522.95","529.40","529.80","529.40",893750,"47,01,95,375.00","47,01,95,375.00",3598750,478750
16-Feb-2026,28-Apr-2026,XX,"-","523.05","527.15","520.00","526.50","526.60","526.50",83750,"4,39,14,437.50","4,39,14,437.50",468750,45000
13-Feb-2026,30-Mar-2026,XX,"-","529.20","534.20","517.20","525.35","523.00","525.35",731250,"38,46,06,000.00","38,46,06,000.00",3120000,251250
13-Feb-2026,24-Feb-2026,XX,"-","536.00","541.05","523.55","531.90","529.30","531.90",4923750,"2,62,33,83,750.00","2,62,33,83,750.00",23185000,-201250
13-Feb-2026,28-Apr-2026,XX,"-","521.00","531.30","514.85","522.55","520.40","522.55",48750,"2,54,95,437.50","2,54,95,437.50",423750,20000
12-Feb-2026,28-Apr-2026,XX,"-","534.00","534.00","523.00","528.25","529.45","528.25",120000,"6,31,58,875.00","6,31,58,875.00",403750,37500
12-Feb-2026,30-Mar-2026,XX,"-","535.20","536.50","524.35","531.40","531.50","531.40",997500,"52,73,76,312.50","52,73,76,312.50",2868750,341250
12-Feb-2026,24-Feb-2026,XX,"-","543.10","545.55","531.35","537.70","537.40","537.70",4938750,"2,64,61,03,375.00","2,64,61,03,375.00",23386250,103750
11-Feb-2026,24-Feb-2026,XX,"-","569.40","572.70","537.55","545.00","545.15","545.00",16577500,"9,13,50,60,750.00","9,13,50,60,750.00",23282500,1816250
11-Feb-2026,30-Mar-2026,XX,"-","565.00","565.70","532.10","538.60","538.50","538.60",2388750,"1,29,92,49,437.50","1,29,92,49,437.50",2527500,765000
11-Feb-2026,28-Apr-2026,XX,"-","560.00","560.00","530.50","536.40","536.60","536.40",328750,"17,81,38,187.50","17,81,38,187.50",366250,165000
10-Feb-2026,28-Apr-2026,XX,"-","546.70","555.00","544.10","550.00","551.00","550.00",115000,"6,31,52,250.00","6,31,52,250.00",201250,22500
10-Feb-2026,30-Mar-2026,XX,"-","545.50","557.20","545.50","551.55","552.15","551.55",917500,"50,59,76,750.00","50,59,76,750.00",1762500,280000
10-Feb-2026,24-Feb-2026,XX,"-","549.85","560.70","547.75","556.20","555.75","556.20",5362500,"2,97,79,06,437.50","2,97,79,06,437.50",21466250,-342500
09-Feb-2026,30-Mar-2026,XX,"-","544.00","547.00","541.25","545.35","545.20","545.35",267500,"14,55,57,687.50","14,55,57,687.50",1482500,45000
09-Feb-2026,28-Apr-2026,XX,"-","546.00","546.00","540.05","543.20","544.20","543.20",53750,"2,91,58,062.50","2,91,58,062.50",178750,20000
09-Feb-2026,24-Feb-2026,XX,"-","548.00","551.20","545.05","548.55","549.00","548.55",3402500,"1,86,34,54,000.00","1,86,34,54,000.00",21808750,312500
06-Feb-2026,30-Mar-2026,XX,"-","538.10","542.50","528.55","542.05","541.55","542.05",617500,"33,10,38,812.50","33,10,38,812.50",1437500,265000
06-Feb-2026,24-Feb-2026,XX,"-","543.00","546.95","533.35","546.00","546.45","546.00",5450000,"2,94,84,14,000.00","2,94,84,14,000.00",21496250,-536250
06-Feb-2026,28-Apr-2026,XX,"-","536.00","540.20","528.00","540.05","540.00","540.05",47500,"2,54,07,125.00","2,54,07,125.00",158750,12500
05-Feb-2026,24-Feb-2026,XX,"-","523.35","546.25","518.90","543.85","543.00","543.85",10498750,"5,63,47,95,000.00","5,63,47,95,000.00",22032500,411250
05-Feb-2026,30-Mar-2026,XX,"-","517.00","541.20","517.00","539.10","538.90","539.10",1196250,"63,80,12,187.50","63,80,12,187.50",1172500,198750
05-Feb-2026,28-Apr-2026,XX,"-","518.00","539.50","517.10","537.30","536.00","537.30",205000,"10,90,48,250.00","10,90,48,250.00",146250,43750
04-Feb-2026,30-Mar-2026,XX,"-","499.25","518.35","499.00","515.95","517.00","515.95",506250,"25,96,24,875.00","25,96,24,875.00",973750,-41250
04-Feb-2026,24-Feb-2026,XX,"-","508.90","521.80","499.25","519.05","520.55","519.05",4478750,"2,30,81,57,000.00","2,30,81,57,000.00",21621250,-8750
04-Feb-2026,28-Apr-2026,XX,"-","498.90","516.85","498.90","515.30","516.10","515.30",66250,"3,37,32,937.50","3,37,32,937.50",102500,6250
03-Feb-2026,28-Apr-2026,XX,"-","520.00","520.00","497.25","500.05","500.50","500.05",38750,"1,95,64,437.50","1,95,64,437.50",96250,22500
03-Feb-2026,30-Mar-2026,XX,"-","504.20","514.50","500.00","501.45","501.20","501.45",457500,"23,11,07,312.50","23,11,07,312.50",1015000,-7500
03-Feb-2026,24-Feb-2026,XX,"-","514.00","517.55","502.70","505.80","504.15","505.80",5028750,"2,56,31,56,000.00","2,56,31,56,000.00",21630000,-408750
02-Feb-2026,30-Mar-2026,XX,"-","489.25","493.75","486.15","492.45","493.75","492.45",202500,"9,90,19,000.00","9,90,19,000.00",1022500,18750
02-Feb-2026,28-Apr-2026,XX,"-","490.00","492.40","484.95","491.40","492.40","491.40",31250,"1,52,60,000.00","1,52,60,000.00",73750,18750
02-Feb-2026,24-Feb-2026,XX,"-","495.25","498.50","489.00","497.25","496.95","497.25",2398750,"1,18,36,03,500.00","1,18,36,03,500.00",22038750,-171250
01-Feb-2026,28-Apr-2026,XX,"-","492.00","503.40","488.00","488.25","488.50","488.25",46250,"2,28,78,812.50","2,28,78,812.50",55000,25000
01-Feb-2026,30-Mar-2026,XX,"-","493.35","505.60","489.00","490.30","491.55","490.30",413750,"20,55,43,062.50","20,55,43,062.50",1003750,1250
01-Feb-2026,24-Feb-2026,XX,"-","498.65","509.95","491.60","493.25","495.50","493.25",1923750,"96,34,28,625.00","96,34,28,625.00",22210000,-232500
30-Jan-2026,28-Apr-2026,XX,"-","489.00","493.00","487.75","493.00","493.00","503.70",27500,"1,35,12,687.50","1,35,12,687.50",30000,17500
30-Jan-2026,30-Mar-2026,XX,"-","487.60","495.75","485.15","494.40","495.60","494.40",263750,"12,99,02,125.00","12,99,02,125.00",1002500,-25000
30-Jan-2026,24-Feb-2026,XX,"-","490.75","499.55","486.25","498.45","498.50","498.45",3082500,"1,52,66,57,500.00","1,52,66,57,500.00",22442500,-548750
29-Jan-2026,30-Mar-2026,XX,"-","492.50","492.95","482.65","488.20","488.80","488.20",262500,"12,77,84,875.00","12,77,84,875.00",1027500,36250
29-Jan-2026,28-Apr-2026,XX,"-","483.50","484.80","483.50","484.75","484.75","495.00",13750,"66,57,187.50","66,57,187.50",12500,12500
29-Jan-2026,24-Feb-2026,XX,"-","496.00","499.00","485.00","491.15","491.15","491.15",2136250,"1,04,64,38,500.00","1,04,64,38,500.00",22991250,293750
28-Jan-2026,30-Mar-2026,XX,"-","491.10","494.75","485.00","491.55","493.60","491.55",391250,"19,14,11,375.00","19,14,11,375.00",991250,50000
28-Jan-2026,24-Feb-2026,XX,"-","491.80","496.45","487.20","494.15","496.30","494.15",2917500,"1,43,43,87,125.00","1,43,43,87,125.00",22697500,153750
28-Jan-2026,28-Apr-2026,XX,"-","-","-","-","495.90","-","500.40",0,"-","-",0,0
27-Jan-2026,30-Mar-2026,XX,"-","482.35","493.10","481.00","490.80","492.50","490.80",420000,"20,37,08,687.50","20,37,08,687.50",941250,178750
27-Jan-2026,24-Feb-2026,XX,"-","489.90","494.70","481.55","491.30","493.55","491.30",10325000,"5,03,19,96,375.00","5,03,19,96,375.00",22543750,2962500
27-Jan-2026,27-Jan-2026,XX,"-","492.00","494.80","481.60","487.65","489.05","488.30",9715000,"4,73,41,29,875.00","4,73,41,29,875.00",1433750,-4893750
23-Jan-2026,27-Jan-2026,XX,"-","505.00","505.00","491.70","494.85","494.00","494.85",7306250,"3,63,50,14,375.00","3,63,50,14,375.00",6327500,-3123750
23-Jan-2026,24-Feb-2026,XX,"-","493.50","497.15","482.50","485.45","484.95","485.45",7951250,"3,90,03,56,562.50","3,90,03,56,562.50",19581250,2897500
23-Jan-2026,30-Mar-2026,XX,"-","491.90","493.60","480.80","483.15","484.20","483.15",378750,"18,47,24,062.50","18,47,24,062.50",762500,151250
22-Jan-2026,27-Jan-2026,XX,"-","516.40","516.40","499.40","503.10","502.95","503.10",11455000,"5,78,39,02,375.00","5,78,39,02,375.00",9451250,-5321250
22-Jan-2026,24-Feb-2026,XX,"-","501.05","507.40","491.65","492.75","493.95","492.75",12836250,"6,38,34,19,375.00","6,38,34,19,375.00",16683750,8001250
22-Jan-2026,30-Mar-2026,XX,"-","505.00","506.10","488.70","489.50","490.10","489.50",406250,"20,04,12,687.50","20,04,12,687.50",611250,147500
21-Jan-2026,30-Mar-2026,XX,"-","496.25","502.95","491.40","500.25","499.65","500.25",206250,"10,27,09,625.00","10,27,09,625.00",463750,51250
21-Jan-2026,24-Feb-2026,XX,"-","496.40","505.05","492.15","502.05","503.40","502.05",9011250,"4,49,72,19,125.00","4,49,72,19,125.00",8682500,3857500
21-Jan-2026,27-Jan-2026,XX,"-","504.75","512.90","499.10","508.70","509.00","508.70",10277500,"5,20,14,98,250.00","5,20,14,98,250.00",14772500,-5711250
20-Jan-2026,27-Jan-2026,XX,"-","513.35","519.45","502.55","505.45","502.55","505.45",5280000,"2,68,96,61,687.50","2,68,96,61,687.50",20483750,-1032500
20-Jan-2026,24-Feb-2026,XX,"-","513.45","514.50","496.40","499.65","496.40","499.65",2388750,"1,20,65,30,500.00","1,20,65,30,500.00",4825000,1421250
20-Jan-2026,30-Mar-2026,XX,"-","512.30","512.95","496.25","499.65","496.25","499.65",186250,"9,38,81,187.50","9,38,81,187.50",412500,2500
