Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
22-Jan-2026,30-Mar-2026,XX,"-","303.10","307.95","298.65","305.45","305.75","305.45",751825,"22,74,67,017.50","22,74,67,017.50",2192950,274500
22-Jan-2026,27-Jan-2026,XX,"-","322.20","331.20","319.20","329.75","330.60","329.75",26548725,"8,58,08,07,475.00","8,58,08,07,475.00",12622425,-17284350
22-Jan-2026,24-Feb-2026,XX,"-","310.95","313.40","305.40","312.30","312.90","312.30",27186175,"8,38,83,87,855.00","8,38,83,87,855.00",36693025,15114275
21-Jan-2026,27-Jan-2026,XX,"-","316.30","322.20","312.40","317.10","319.00","317.10",20421275,"6,46,67,32,076.25","6,46,67,32,076.25",29906775,-13496250
21-Jan-2026,30-Mar-2026,XX,"-","303.00","305.50","295.00","300.35","303.10","300.35",652700,"19,59,12,251.25","19,59,12,251.25",1918450,207400
21-Jan-2026,24-Feb-2026,XX,"-","302.20","311.95","301.00","305.95","308.40","305.95",19565750,"5,97,65,26,926.25","5,97,65,26,926.25",21578750,5162125
20-Jan-2026,30-Mar-2026,XX,"-","311.65","311.65","301.30","303.35","303.00","303.35",800625,"24,54,38,837.50","24,54,38,837.50",1711050,402600
20-Jan-2026,24-Feb-2026,XX,"-","319.65","320.00","306.00","307.90","307.50","307.90",5991725,"1,87,06,93,710.00","1,87,06,93,710.00",16416625,2035875
20-Jan-2026,27-Jan-2026,XX,"-","329.35","329.35","315.55","317.15","317.50","317.15",9917075,"3,18,97,17,983.75","3,18,97,17,983.75",43403025,-1279475
19-Jan-2026,30-Mar-2026,XX,"-","321.00","321.00","311.40","315.10","314.00","315.10",244000,"7,67,90,917.50","7,67,90,917.50",1308450,105225
19-Jan-2026,24-Feb-2026,XX,"-","323.00","327.50","317.75","320.70","320.00","320.70",4105300,"1,31,90,90,916.25","1,31,90,90,916.25",14380750,1653100
19-Jan-2026,27-Jan-2026,XX,"-","332.00","336.45","327.75","330.20","329.55","330.20",6627650,"2,19,48,04,095.00","2,19,48,04,095.00",44682500,-751825
16-Jan-2026,30-Mar-2026,XX,"-","323.70","324.90","316.90","318.05","317.75","318.05",373625,"12,01,99,737.50","12,01,99,737.50",1203225,166225
16-Jan-2026,24-Feb-2026,XX,"-","332.00","332.85","322.00","323.75","323.55","323.75",3461750,"1,13,15,31,090.00","1,13,15,31,090.00",12727650,1369450
16-Jan-2026,27-Jan-2026,XX,"-","338.00","341.95","330.55","332.80","333.55","332.80",6502600,"2,17,95,76,436.25","2,17,95,76,436.25",45434325,823500
14-Jan-2026,24-Feb-2026,XX,"-","320.60","331.35","320.30","328.70","328.20","328.70",4213575,"1,37,67,81,361.25","1,37,67,81,361.25",11358200,1445700
14-Jan-2026,27-Jan-2026,XX,"-","326.35","339.70","325.25","337.40","337.15","337.40",10516400,"3,52,74,72,010.00","3,52,74,72,010.00",44610825,1470100
14-Jan-2026,30-Mar-2026,XX,"-","318.00","325.65","316.70","323.70","323.30","323.70",437675,"14,05,05,722.50","14,05,05,722.50",1037000,70150
13-Jan-2026,24-Feb-2026,XX,"-","327.75","327.75","315.85","320.60","320.80","320.60",3164375,"1,01,49,13,501.25","1,01,49,13,501.25",9912500,1425875
13-Jan-2026,30-Mar-2026,XX,"-","321.60","321.60","312.00","315.90","316.35","315.90",330925,"10,46,67,612.50","10,46,67,612.50",966850,114375
13-Jan-2026,27-Jan-2026,XX,"-","331.65","334.55","322.95","327.75","327.10","327.75",6749650,"2,21,30,91,208.75","2,21,30,91,208.75",43140725,902800
12-Jan-2026,30-Mar-2026,XX,"-","320.00","322.20","312.35","321.60","322.20","321.60",292800,"9,26,77,223.75","9,26,77,223.75",852475,105225
12-Jan-2026,27-Jan-2026,XX,"-","334.00","334.00","321.60","330.80","331.45","330.80",9909450,"3,23,94,74,311.25","3,23,94,74,311.25",42237925,1204750
12-Jan-2026,24-Feb-2026,XX,"-","326.30","326.30","315.75","324.75","325.70","324.75",3713375,"1,18,95,74,191.25","1,18,95,74,191.25",8486625,1640900
09-Jan-2026,27-Jan-2026,XX,"-","344.90","348.45","329.45","331.90","333.00","331.90",9287250,"3,13,47,62,931.25","3,13,47,62,931.25",41033175,-163175
