Symbol,Median_Peak_Z,Avg_Sigma_Value,Avg_Potential_Gain,Max_Potential_Gain,Event_Count,Avg_Lot_Size
BHARATFORG,-2.5,870.0,1465.8,4296.0,17,870.0265886564933
ULTRACEMCO,-2.3,774.6,1424.9,8196.1,13,774.6174610184441
LICHSGFIN,-2.5,793.5,1419.6,3515.9,11,793.5099453796821
SUPREMEIND,-2.4,914.7,1408.2,2359.7,6,914.6766969753611
PIIND,-2.4,874.9,1389.9,3608.0,16,874.9404420773171
SRF,-2.4,829.2,1382.3,3632.7,9,829.2450284271004
DIVISLAB,-2.3,1011.6,1283.0,5707.1,10,1011.6060693280208
POLYCAB,-2.2,1014.6,1252.4,3906.2,16,1014.6328936535865
PFC,-2.5,725.6,1248.5,5297.0,10,725.6066733957645
GMRAIRPORT,-2.4,906.0,1238.2,6996.0,11,905.987723094449
CANBK,-2.4,789.2,1232.7,3297.3,12,789.2162526132273
HAVELLS,-2.3,767.6,1223.4,5475.1,15,767.5596560598175
ZYDUSLIFE,-2.1,1058.3,1221.5,2468.1,7,1058.2726984514607
HUDCO,-2.6,720.2,1220.2,2464.8,9,720.2285279399862
IRCTC,-2.4,685.2,1206.4,10686.4,20,685.1804013789227
DLF,-2.4,766.4,1193.6,2605.2,6,766.3630700246619
TATATECH,-2.4,756.0,1169.6,3259.9,8,756.016088738943
WIPRO,-2.3,716.6,1167.2,4151.3,33,716.5518823566834
TECHM,-2.4,692.9,1158.6,3354.6,11,692.9364383023411
DRREDDY,-2.6,682.4,1156.6,2390.7,17,682.4441102216576
EICHERMOT,-2.4,657.9,1129.1,2941.1,12,657.9388680706676
BAJAJ-AUTO,-2.5,679.5,1127.7,6062.2,22,679.5304265377584
BDL,-2.6,613.7,1121.7,2098.6,7,613.7450819133634
GRASIM,-2.4,787.3,1111.0,3076.3,13,787.3315330759552
PPLPHARMA,-2.7,569.4,1104.1,2612.0,5,569.3687663968649
GODREJCP,-2.4,842.9,1097.0,1656.2,6,842.9365238714031
BANDHANBNK,-2.6,670.1,1092.0,3746.3,14,670.1055314666834
PGEL,-2.8,546.6,1073.9,2042.2,3,546.6373601429947
MANKIND,-2.4,673.9,1072.0,1461.9,3,673.9336679240813
ETERNAL,-2.5,651.5,1061.2,2161.8,8,651.4679028294221
COALINDIA,-2.4,658.9,1053.0,3075.1,17,658.8533289426056
CONCOR,-2.4,743.0,1048.0,2925.1,12,742.9619986517395
UPL,-2.6,561.4,1040.2,3240.2,12,561.3932604121387
TRENT,-2.4,644.8,1025.1,1767.2,10,644.7985772155507
ITC,-2.7,534.4,1024.6,2853.1,11,534.4038615354513
NESTLEIND,-2.5,601.5,1017.9,2513.3,14,601.4818276171635
SIEMENS,-2.7,545.4,1012.6,2199.8,13,545.3544000938757
INDIGO,-2.4,660.0,1009.2,2001.2,9,660.0464050209
NHPC,-3.0,529.8,1006.7,1210.4,2,529.8213500013956
SBILIFE,-2.3,571.3,1006.1,2156.1,9,571.2627240665229
SHRIRAMFIN,-2.1,871.6,1005.8,1510.9,7,871.5692468657827
UNIONBANK,-2.1,891.9,998.3,1732.6,5,891.9311666083355
ABB,-2.3,685.0,990.6,2233.1,11,685.0383420309909
NAUKRI,-2.5,588.5,981.5,3099.7,12,588.4537437951052
LUPIN,-2.4,632.2,980.7,2143.8,17,632.244519587892
FEDERALBNK,-2.2,642.4,975.1,2920.2,12,642.4130006930011
GAIL,-2.4,542.9,970.4,3391.1,10,542.9477205653226
ADANIENSOL,-2.5,682.6,954.7,1183.8,4,682.573895583857
SUNPHARMA,-2.6,540.7,948.3,2920.1,14,540.7165177122663
M&M,-2.6,498.3,928.0,2715.8,7,498.2544128481865
UNOMINDA,-2.0,869.4,909.8,909.8,1,869.4379170858675
BAJAJFINSV,-3.0,456.5,905.7,1152.1,2,456.53522646646934
POLICYBZR,-2.3,644.1,894.6,1245.7,3,644.1430013841181
MARUTI,-2.6,462.5,892.2,3049.3,16,462.5038545285662
SOLARINDS,-2.8,519.1,886.1,1239.3,3,519.1459057422492
UNITDSPR,-2.4,574.0,866.2,1602.3,7,574.00591293891
TORNTPOWER,-2.2,721.9,857.8,1206.3,4,721.92560458534
APLAPOLLO,-2.3,626.9,855.4,1279.1,4,626.9377960975155
MPHASIS,-2.2,661.8,843.6,1673.5,10,661.8005475070378
TMPV,-2.3,530.5,832.7,4335.5,19,530.4871175292996
HAL,-2.5,492.6,832.6,3660.8,12,492.6164698441307
SBIN,-2.5,465.5,823.3,3661.4,17,465.5108507493262
MAZDOCK,-2.6,499.9,806.7,1120.3,3,499.90017696948036
PNBHOUSING,-2.1,771.0,800.9,1299.6,2,771.0202608977777
DABUR,-2.4,460.3,800.4,1777.3,14,460.33826202068127
ADANIENT,-2.3,522.0,799.9,1894.8,13,521.9650313704515
ASIANPAINT,-2.7,434.4,796.0,2157.8,24,434.4146173228737
HDFCLIFE,-2.4,464.0,792.2,2039.7,18,463.9890018636697
GLENMARK,-2.3,580.4,784.8,2278.2,8,580.431499222559
HINDUNILVR,-2.3,590.1,782.1,2661.5,12,590.0628485718952
ICICIBANK,-2.7,417.8,771.9,1666.4,12,417.7519355026873
BHEL,-2.3,525.6,770.2,2207.0,14,525.5784153458466
FORTIS,-2.3,531.8,770.1,932.2,3,531.781796747116
HINDALCO,-2.5,467.8,750.5,1467.8,9,467.7784897012394
HDFCBANK,-2.5,443.7,749.0,2725.0,13,443.6939315302052
TCS,-2.6,421.5,746.5,1991.9,16,421.46032803361925
PERSISTENT,-2.4,492.4,744.2,1264.3,5,492.35612652283055
POWERGRID,-2.4,518.4,739.6,1386.8,10,518.3726715191402
TATACONSUM,-2.4,409.4,727.1,2264.1,13,409.39216195333154
JSWENERGY,-2.3,533.4,724.0,921.8,2,533.3747468039803
INOXWIND,-2.4,495.0,710.2,831.0,4,495.0037352376377
HCLTECH,-2.3,523.2,709.5,1577.0,11,523.2393171239856
AMBUJACEM,-2.4,509.7,709.1,989.0,6,509.7129084952494
TITAN,-2.3,453.0,695.7,1251.6,16,453.00602970308955
JSWSTEEL,-2.3,470.5,680.5,1235.5,11,470.54568585683063
KOTAKBANK,-2.6,388.6,666.5,1188.3,9,388.5760726928123
INDHOTEL,-2.2,503.6,661.2,1238.1,14,503.59988477308156
YESBANK,-2.3,421.7,652.9,1781.9,6,421.7393611372156
JINDALSTEL,-2.3,451.3,651.9,1303.4,11,451.2864278500552
MAXHEALTH,-2.6,380.7,648.7,1012.3,2,380.73684288977495
CGPOWER,-2.4,477.1,628.6,838.7,3,477.05353314632384
BAJFINANCE,-2.3,391.5,626.9,3369.0,16,391.51072024440765
BEL,-2.2,474.1,619.1,1691.5,12,474.1466667539856
CROMPTON,-2.1,483.7,602.8,922.0,11,483.6584572051152
VBL,-2.4,373.6,596.8,800.3,4,373.64863830733697
APOLLOHOSP,-2.3,465.0,595.8,1015.3,8,464.9944431840464
IOC,-2.2,492.2,586.4,1136.7,12,492.1958633181284
CIPLA,-2.2,365.6,544.4,1796.6,14,365.5925038572008
AXISBANK,-2.5,343.9,511.8,1159.2,7,343.9252013728609
INDUSINDBK,-2.5,332.2,506.0,1166.2,15,332.19443500399746
TATAPOWER,-2.2,375.8,501.9,835.2,9,375.84642970660667
PIDILITIND,-2.5,358.7,496.2,703.5,5,358.712188361123
LT,-2.6,281.4,488.5,900.8,8,281.4195949996522
GODREJPROP,-2.3,398.6,488.4,675.5,5,398.64697078088244
INFY,-2.5,319.5,485.0,788.0,8,319.4907729368254
TATASTEEL,-2.1,349.9,474.5,1151.4,9,349.9003900598297
TIINDIA,-2.0,465.9,471.9,471.9,1,465.9153616087347
NTPC,-2.4,332.1,467.2,754.9,9,332.0590893955118
ADANIPORTS,-2.3,334.3,458.9,869.8,6,334.25840963544624
ONGC,-2.4,311.3,434.2,523.6,3,311.3278278753926
BANKBARODA,-2.1,332.8,401.7,574.6,8,332.79004403087447
JIOFIN,-2.1,342.2,400.5,470.2,5,342.225279210539
RELIANCE,-2.1,336.7,396.9,639.3,9,336.7493968801303
SUZLON,-2.2,326.2,385.8,385.8,1,326.1514017172177
PATANJALI,-2.1,347.3,367.1,367.1,1,347.31289927096725
