FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,RECLTD,25-May-2023,0,XX,N,122.85,126.75,122.85,126.65,126.7,123.45,126.65,128000.0,15983200.0,192000.0,104000.0,8000.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,15983200.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,121.45,125.6,120.65,125.1,125.25,122.2,125.1,28992000.0,3598354000.0,50768000.0,3472000.0,8000.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,3598354000.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,122.15,126.4,121.95,126.05,126.3,122.95,126.05,1528000.0,190921200.0,1144000.0,184000.0,8000.0,08-Mar-2023,2023-03-07T18:30:00.000+00:00,,190921200.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,125.4,129.1,125.15,126.55,126.65,125.1,126.55,29712000.0,3785054000.0,52432000.0,1664000.0,8000.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,3785054000.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,127.2,130.3,127.2,128.25,128.25,126.65,128.05,200000.0,25795200.0,264000.0,72000.0,8000.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,25795200.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,125.9,129.8,125.9,127.4,127.55,126.05,127.4,2336000.0,299366400.0,1552000.0,408000.0,8000.0,09-Mar-2023,2023-03-08T18:30:00.000+00:00,,299366400.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,125.7,125.7,121.65,123.0,122.9,126.55,123.0,22528000.0,2777361200.0,53776000.0,1344000.0,8000.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,2777361200.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,126.05,126.05,122.45,123.75,123.95,127.4,123.75,1864000.0,231310000.0,1712000.0,160000.0,8000.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,231310000.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,125.7,125.7,123.8,124.55,124.65,128.25,124.55,208000.0,25948000.0,280000.0,16000.0,8000.0,10-Mar-2023,2023-03-09T18:30:00.000+00:00,,25948000.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,124.0,124.1,121.85,121.85,121.85,124.55,121.85,104000.0,12804000.0,264000.0,-16000.0,8000.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,12804000.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,123.8,124.25,120.1,120.8,121.25,123.75,120.8,1504000.0,183616000.0,1808000.0,96000.0,8000.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,183616000.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,122.9,123.55,119.2,120.05,120.5,123.0,120.05,19464000.0,2358108000.0,53768000.0,-8000.0,8000.0,13-Mar-2023,2023-03-12T18:30:00.000+00:00,,2358108000.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,120.4,120.9,119.0,119.6,119.6,121.85,118.8,40000.0,4802800.0,272000.0,8000.0,8000.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,4802800.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,119.9,120.15,117.4,117.7,117.9,120.05,117.7,18416000.0,2185586800.0,56840000.0,3072000.0,8000.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,2185586800.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,120.65,120.85,118.2,118.7,118.6,120.8,118.7,2104000.0,251464000.0,1952000.0,144000.0,8000.0,14-Mar-2023,2023-03-13T18:30:00.000+00:00,,251464000.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,118.45,120.05,116.85,117.2,117.25,117.7,117.2,12344000.0,1466387600.0,57792000.0,952000.0,8000.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,1466387600.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,120.45,120.85,119.8,119.8,119.8,119.6,118.45,48000.0,5785200.0,280000.0,8000.0,8000.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,5785200.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,118.95,120.75,117.7,117.95,118.2,118.7,117.95,1192000.0,142496000.0,2032000.0,80000.0,8000.0,15-Mar-2023,2023-03-14T18:30:00.000+00:00,,142496000.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,118.05,119.2,116.4,118.6,118.75,117.95,118.6,2528000.0,298975600.0,2744000.0,712000.0,8000.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,298975600.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,117.3,119.4,117.3,119.4,119.4,119.8,118.9,120000.0,14216400.0,208000.0,-72000.0,8000.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,14216400.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,117.4,118.55,115.25,117.9,117.85,117.2,117.9,20216000.0,2372692800.0,57344000.0,-448000.0,8000.0,16-Mar-2023,2023-03-15T18:30:00.000+00:00,,2372692800.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,118.5,119.2,116.25,118.95,119.15,117.9,118.95,24312000.0,2867010000.0,57576000.0,232000.0,8000.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,,2867010000.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,119.65,119.8,116.95,119.6,119.6,118.6,119.6,2792000.0,330800400.0,3312000.0,568000.0,8000.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,,330800400.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,120.15,120.4,117.8,120.25,120.3,119.4,120.25,192000.0,22885600.0,296000.0,88000.0,8000.0,17-Mar-2023,2023-03-16T18:30:00.000+00:00,,22885600.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,119.3,120.05,116.05,117.25,117.6,119.6,117.25,2240000.0,263675200.0,3848000.0,536000.0,8000.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,,263675200.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,118.7,119.25,115.25,116.5,116.75,118.95,116.5,14672000.0,1715109600.0,56704000.0,-872000.0,8000.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,,1715109600.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,120.05,120.05,117.25,118.15,118.35,120.25,118.15,160000.0,18992800.0,352000.0,56000.0,8000.0,20-Mar-2023,2023-03-19T18:30:00.000+00:00,,18992800.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,117.7,120.0,117.0,119.75,119.75,117.25,119.75,2136000.0,253041600.0,4208000.0,360000.0,8000.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,,253041600.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,117.25,119.4,116.45,119.15,119.1,116.5,119.15,15112000.0,1784244400.0,56064000.0,-640000.0,8000.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,,1784244400.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,118.7,120.6,117.75,120.6,120.6,118.15,120.25,104000.0,12324800.0,320000.0,-32000.0,8000.0,21-Mar-2023,2023-03-20T18:30:00.000+00:00,,12324800.0,,
FUTSTK,RECLTD,25-May-2023,0,XX,N,120.75,121.25,120.2,120.2,120.2,120.6,120.05,40000.0,4836000.0,328000.0,8000.0,8000.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,,4836000.0,,
FUTSTK,RECLTD,29-Mar-2023,0,XX,N,119.45,120.35,118.5,118.8,118.75,119.15,118.8,12192000.0,1455618800.0,55664000.0,-400000.0,8000.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,,1455618800.0,,
FUTSTK,RECLTD,27-Apr-2023,0,XX,N,119.95,120.9,119.3,119.55,119.5,119.75,119.55,3176000.0,381401600.0,5016000.0,808000.0,8000.0,22-Mar-2023,2023-03-21T18:30:00.000+00:00,,381401600.0,,
