FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TOT_TRADED_QTY,FH_SETTLE_PRICE,FH_MARKET_TYPE
08-Feb-2023,LODHA,FUTSTK,,490.75335693359375,492.71578027281686,497.4603526822028,487.3998590592892,237806.0,490.75335693359375,450,YFINANCE,,,,,,,,,
09-Feb-2023,LODHA,FUTSTK,,493.7093811035156,492.81512111935416,498.0068384116888,488.41829485224105,296156.0,493.7093811035156,450,YFINANCE,,,,,,,,,
10-Feb-2023,LODHA,FUTSTK,,496.3922119140625,490.8775528578281,501.4845604581192,483.0030552872542,409464.0,496.3922119140625,450,YFINANCE,,,,,,,,,
13-Feb-2023,LODHA,FUTSTK,,494.8272399902344,498.7769213138227,498.8017559740917,491.8463530023414,498502.0,494.8272399902344,450,YFINANCE,,,,,,,,,
14-Feb-2023,LODHA,FUTSTK,,484.3941650390625,484.3941650390625,491.8463829627404,482.4069069260817,104938.0,484.3941650390625,450,YFINANCE,,,,,,,,,
15-Feb-2023,LODHA,FUTSTK,,483.4998474121094,484.39410739189543,485.31320203050774,478.4323337624567,114746.0,483.4998474121094,450,YFINANCE,,,,,,,,,
16-Feb-2023,LODHA,FUTSTK,,464.7451171875,483.6240676633875,486.3565473375292,462.9068975239021,1066408.0,464.7451171875,450,YFINANCE,,,,,,,,,
17-Feb-2023,LODHA,FUTSTK,,447.3317565917969,461.56547282577503,461.56547282577503,444.6489463504787,610610.0,447.3317565917969,450,YFINANCE,,,,,,,,,
20-Feb-2023,LODHA,FUTSTK,,437.4700012207031,445.6426057974492,445.6426057974492,424.9751347592915,932204.0,437.4700012207031,450,YFINANCE,,,,,,,,,
21-Feb-2023,LODHA,FUTSTK,,434.21588134765625,439.656006291871,449.1451512950364,432.725437819003,249982.0,434.21588134765625,450,YFINANCE,,,,,,,,,
22-Feb-2023,LODHA,FUTSTK,,421.7955017089844,434.21586395012054,435.1846582695592,420.0814856550776,240504.0,421.7955017089844,450,YFINANCE,,,,,,,,,
23-Feb-2023,LODHA,FUTSTK,,400.35797119140625,425.1738626774765,425.1738626774765,397.94843288435106,668412.0,400.35797119140625,450,YFINANCE,,,,,,,,,
24-Feb-2023,LODHA,FUTSTK,,357.5076904296875,401.3764336097679,401.5254718902849,353.23509799807056,3334292.0,357.5076904296875,450,YFINANCE,,,,,,,,,
27-Feb-2023,LODHA,FUTSTK,,401.3019104003906,355.71918024968085,418.3178069416638,355.2223657521254,10271222.0,401.3019104003906,450,YFINANCE,,,,,,,,,
28-Feb-2023,LODHA,FUTSTK,,407.4872741699219,397.4516148308134,413.8464939425845,393.7255059417746,2861756.0,407.4872741699219,450,YFINANCE,,,,,,,,,
01-Mar-2023,LODHA,FUTSTK,,419.68402099609375,402.34518396862336,432.2782556052196,399.7866076574757,3205428.0,419.68402099609375,450,YFINANCE,,,,,,,,,
02-Mar-2023,LODHA,FUTSTK,,495.4979248046875,419.78341390775336,503.6208599974949,414.8401036144245,13669366.0,495.4979248046875,450,YFINANCE,,,,,,,,,
03-Mar-2023,LODHA,FUTSTK,,510.97369384765625,497.3112956164355,540.360282536069,480.07182705641065,13142818.0,510.97369384765625,450,YFINANCE,,,,,,,,,
06-Mar-2023,LODHA,FUTSTK,,492.3680114746094,496.8641767017708,520.6616037345473,485.2387354229626,3480972.0,492.3680114746094,450,YFINANCE,,,,,,,,,
08-Mar-2023,LODHA,FUTSTK,,463.15533447265625,484.39415512023584,486.2075402404595,457.7400440964104,1460710.0,463.15533447265625,450,YFINANCE,,,,,,,,,
09-Mar-2023,LODHA,FUTSTK,,461.7890625,465.01835664335664,475.4514607988166,457.69034301035504,803264.0,461.7890625,450,YFINANCE,,,,,,,,,
10-Mar-2023,LODHA,FUTSTK,,448.9712829589844,458.559797027209,458.8330389456394,446.16426882191905,392770.0,448.9712829589844,450,YFINANCE,,,,,,,,,
13-Mar-2023,LODHA,FUTSTK,,436.1286010742187,449.5922923532768,450.6107560238715,432.2782886605638,404536.0,436.1286010742187,450,YFINANCE,,,,,,,,,
14-Mar-2023,LODHA,FUTSTK,,422.3419799804687,434.7126727396925,443.6553334360518,419.8082382457601,667636.0,422.3419799804687,450,YFINANCE,,,,,,,,,
15-Mar-2023,LODHA,FUTSTK,,429.4215698242187,429.6451423976459,435.20947045901175,422.0935564803027,487046.0,429.4215698242187,450,YFINANCE,,,,,,,,,
16-Mar-2023,LODHA,FUTSTK,,425.2980346679687,430.4897521112047,432.0795645310059,420.25538582904994,701570.0,425.2980346679687,450,YFINANCE,,,,,,,,,
17-Mar-2023,LODHA,FUTSTK,,443.3324279785156,431.73182098241466,455.52924879068314,420.3050869403024,1896546.0,443.3324279785156,450,YFINANCE,,,,,,,,,
20-Mar-2023,LODHA,FUTSTK,,428.35345458984375,443.6553346474321,443.6801693070265,412.8528366092005,597480.0,428.35345458984375,450,YFINANCE,,,,,,,,,
21-Mar-2023,LODHA,FUTSTK,,423.23626708984375,431.2349680781628,431.4585406585014,420.30504953240296,304126.0,423.23626708984375,450,YFINANCE,,,,,,,,,
22-Mar-2023,LODHA,FUTSTK,,426.9623718261719,424.6770070479145,434.2158510299061,422.7891181080665,232610.0,426.9623718261719,450,YFINANCE,,,,,,,,,
23-Mar-2023,LODHA,FUTSTK,,420.67767333984375,425.2980420754033,425.2980420754033,417.3241755009965,215906.0,420.67767333984375,450,YFINANCE,,,,,,,,,
24-Mar-2023,LODHA,FUTSTK,,410.4184875488281,420.3051092212369,421.17453468357394,407.8847454735644,421898.0,410.4184875488281,450,YFINANCE,,,,,,,,,
27-Mar-2023,LODHA,FUTSTK,,395.166259765625,410.8655856113575,413.6974342854008,390.2974534768856,836800.0,395.166259765625,450,YFINANCE,,,,,,,,,
28-Mar-2023,LODHA,FUTSTK,,391.4401550292969,397.4515983246977,412.3560332618739,386.0248648728627,968898.0,391.4401550292969,450,YFINANCE,,,,,,,,,
29-Mar-2023,LODHA,FUTSTK,,430.4897766113281,391.4898372414617,430.5643109177286,391.4898372414617,1578236.0,430.4897766113281,450,YFINANCE,,,,,,,,,
31-Mar-2023,LODHA,FUTSTK,,462.1864929199219,432.2285866027732,469.24126442105666,418.1687432411288,2512550.0,462.1864929199219,450,YFINANCE,,,,,,,,,
03-Apr-2023,LODHA,FUTSTK,,455.0075378417969,457.04449544157353,472.470579267866,449.89035466724806,1388838.0,455.0075378417969,450,YFINANCE,,,,,,,,,
05-Apr-2023,LODHA,FUTSTK,,448.62347412109375,452.5979899494091,465.3412934532049,444.8228312310075,538886.0,448.62347412109375,450,YFINANCE,,,,,,,,,
06-Apr-2023,LODHA,FUTSTK,,454.3616943359375,449.617121931566,466.8317564640624,442.1649044409876,872360.0,454.3616943359375,450,YFINANCE,,,,,,,,,
10-Apr-2023,LODHA,FUTSTK,,468.3966979980469,457.5661481138369,471.4769539196865,452.1011886901103,1165336.0,468.3966979980469,450,YFINANCE,,,,,,,,,
