FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,Unnamed: 15
FUTSTK,MCDOWELL-N,23-Feb-2023,0.0,XX,N,781.1,787.5,774.35,783.8,784.55,783.1,783.8,1424375.0,1112235781.25,14050000.0,-15000.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,1112235781.25,
FUTSTK,MCDOWELL-N,29-Mar-2023,0.0,XX,N,787.95,791.45,779.2,788.3,789.0,787.6,788.3,88125.0,69167312.5,147500.0,3750.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,69167312.5,
FUTSTK,MCDOWELL-N,27-Apr-2023,0.0,XX,N,788.5,794.8,784.35,794.8,794.8,790.0,792.25,3750.0,2959343.75,10625.0,1875.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,2959343.75,
FUTSTK,MCDOWELL-N,23-Feb-2023,0.0,XX,N,784.35,794.7,781.0,792.65,791.75,783.8,792.65,1327500.0,1049044000.0,13999375.0,-50625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,1049044000.0,
FUTSTK,MCDOWELL-N,29-Mar-2023,0.0,XX,N,788.2,799.55,788.2,797.0,796.15,788.3,797.0,90000.0,71335156.25,173125.0,25625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,71335156.25,
FUTSTK,MCDOWELL-N,27-Apr-2023,0.0,XX,N,801.0,801.0,801.0,801.0,801.0,794.8,801.0,1250.0,1001250.0,10000.0,-625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,1001250.0,
FUTSTK,MCDOWELL-N,23-Feb-2023,0.0,XX,N,792.35,796.0,788.85,793.25,793.3,792.65,793.25,725625.0,574965968.75,13937500.0,-61875.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,574965968.75,
FUTSTK,MCDOWELL-N,29-Mar-2023,0.0,XX,N,796.1,800.2,794.45,798.0,798.0,797.0,798.0,35000.0,27897437.5,183125.0,10000.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,27897437.5,
FUTSTK,MCDOWELL-N,27-Apr-2023,0.0,XX,N,799.0,802.5,799.0,802.5,802.5,801.0,802.5,2500.0,2001875.0,12500.0,2500.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,2001875.0,
FUTSTK,MCDOWELL-N,23-Feb-2023,0.0,XX,N,789.3,794.65,781.0,782.55,783.15,793.25,782.55,1300000.0,1021255093.75,14095000.0,157500.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,1021255093.75,
FUTSTK,MCDOWELL-N,29-Mar-2023,0.0,XX,N,795.0,798.95,786.0,787.6,787.2,798.0,787.6,79375.0,62764500.0,225000.0,41875.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,62764500.0,
FUTSTK,MCDOWELL-N,27-Apr-2023,0.0,XX,N,796.95,796.95,791.5,791.95,791.5,802.5,791.95,3750.0,2975812.5,13750.0,1250.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,2975812.5,
