FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,134.4,136.25,134.4,135.5,135.5,727.0,5903.4,14370000.0,288000.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,134.35,135.0,134.2,134.95,134.95,20.0,161.55,162000.0,24000.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,135.0,135.3,135.0,135.3,136.0,3.0,24.31,18000.0,18000.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,136.2,138.4,134.75,138.1,138.1,1391.0,11413.44,14730000.0,360000.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,135.45,137.5,134.35,137.5,137.5,43.0,350.88,204000.0,42000.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,136.0,136.4,136.0,136.4,138.7,2.0,16.34,18000.0,0.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,136.8,139.75,136.05,139.4,139.4,1515.0,12545.12,14322000.0,-408000.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,136.0,138.95,135.95,138.6,138.6,32.0,263.87,240000.0,36000.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,137.0,137.0,136.55,137.0,140.4,5.0,41.05,30000.0,12000.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,138.65,142.7,138.6,141.15,141.15,1708.0,14412.68,13938000.0,-384000.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,139.95,142.0,138.25,140.5,140.5,35.0,293.94,258000.0,18000.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,141.0,141.15,139.2,140.3,140.3,5.0,42.16,54000.0,24000.0,06-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,142.7,145.2,142.1,143.8,143.8,1741.0,15025.79,14304000.0,366000.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,142.65,143.95,142.2,143.8,143.85,17.0,146.11,312000.0,54000.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,142.2,143.2,142.0,142.0,144.35,3.0,25.64,54000.0,0.0,07-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,144.55,146.5,143.6,144.9,144.9,1303.0,11337.76,13980000.0,-324000.0,08-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,144.0,145.35,143.1,144.4,144.4,16.0,138.38,306000.0,-6000.0,08-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,144.35,144.35,144.35,144.35,146.05,1.0,8.66,54000.0,0.0,08-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,145.2,145.25,141.25,142.7,142.7,1102.0,9446.07,13854000.0,-126000.0,11-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,141.95,142.45,141.4,142.45,142.8,3.0,25.54,318000.0,12000.0,11-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,141.0,141.0,141.0,141.0,143.25,1.0,8.46,48000.0,-6000.0,11-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,142.15,145.5,141.55,145.15,145.15,2088.0,18074.86,14508000.0,654000.0,12-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,142.0,144.85,142.0,144.65,144.65,31.0,267.35,378000.0,60000.0,12-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,144.75,144.75,144.75,144.75,145.6,1.0,8.68,54000.0,6000.0,12-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,146.2,146.45,140.5,144.05,144.05,1907.0,16483.73,14838000.0,330000.0,13-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,145.9,146.0,140.65,143.55,143.55,36.0,311.36,402000.0,24000.0,13-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,145.0,146.05,141.0,141.3,144.55,11.0,94.36,72000.0,18000.0,13-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,143.9,146.25,142.3,143.95,143.95,1308.0,11346.95,14622000.0,-216000.0,14-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,144.5,145.7,143.05,143.85,144.25,26.0,225.45,426000.0,24000.0,14-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,144.4,144.55,144.4,144.55,144.7,2.0,17.33,66000.0,-6000.0,14-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,143.95,148.3,143.7,145.45,145.45,3059.0,26824.0,13416000.0,-1206000.0,15-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,144.5,147.9,143.3,144.9,144.9,78.0,682.57,474000.0,48000.0,15-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,146.0,146.35,143.3,144.0,146.55,7.0,60.87,72000.0,6000.0,15-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,145.15,145.25,139.3,141.1,141.1,2267.0,19313.38,12708000.0,-708000.0,18-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,142.8,143.7,139.45,140.25,140.25,89.0,755.91,618000.0,144000.0,18-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Mar-2021,0.0,XX,141.45,141.45,140.0,140.0,142.0,2.0,16.88,78000.0,6000.0,18-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,28-Jan-2021,0.0,XX,141.75,148.3,141.75,147.9,147.9,1999.0,17559.42,13212000.0,504000.0,19-Jan-2021,,,N,,,,,,,
FUTSTK,RECLTD,25-Feb-2021,0.0,XX,142.0,147.6,142.0,147.25,147.25,107.0,936.5,684000.0,66000.0,19-Jan-2021,,,N,,,,,,,
