FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TOT_TRADED_QTY,FH_SETTLE_PRICE,FH_MARKET_TYPE
08-Feb-2023,NHPC,FUTSTK,,36.070411682128906,36.070411682128906,36.2051683194409,35.80089155332332,9835460.0,36.070411682128906,6400,YFINANCE,,,,,,,,,
09-Feb-2023,NHPC,FUTSTK,,36.60945129394531,36.20517445926875,36.78913026792283,35.800897624592174,7944176.0,36.60945129394531,6400,YFINANCE,,,,,,,,,
10-Feb-2023,NHPC,FUTSTK,,35.93564987182617,36.29500774138069,36.60944330692291,35.93564987182617,5075707.0,35.93564987182617,6400,YFINANCE,,,,,,,,,
13-Feb-2023,NHPC,FUTSTK,,35.98057174682617,35.935652866161654,36.20516957723968,35.890733985497135,6229293.0,35.98057174682617,6400,YFINANCE,,,,,,,,,
14-Feb-2023,NHPC,FUTSTK,,36.025489807128906,36.11533099350303,36.20516875278631,35.755973102188236,3022835.0,36.025489807128906,6400,YFINANCE,,,,,,,,,
15-Feb-2023,NHPC,FUTSTK,,36.60945129394531,36.07041779910414,36.744211381201296,36.07041779910414,4745356.0,36.60945129394531,6400,YFINANCE,,,,,,,,,
16-Feb-2023,NHPC,FUTSTK,,36.78912353515625,36.78912353515625,36.92388017065908,36.295009017464366,4387134.0,36.78912353515625,6400,YFINANCE,,,,,,,,,
17-Feb-2023,NHPC,FUTSTK,,37.20771026611328,37.11469240980951,37.76582450074348,36.97516207695008,5572185.0,37.20771026611328,6400,YFINANCE,,,,,,,,,
20-Feb-2023,NHPC,FUTSTK,,36.27751922607422,37.02167275692829,37.20771202674279,36.044971025907074,8224954.0,36.27751922607422,6400,YFINANCE,,,,,,,,,
21-Feb-2023,NHPC,FUTSTK,,36.37053680419922,36.32402787420793,36.83563320091994,35.858931477487204,9370466.0,36.37053680419922,6400,YFINANCE,,,,,,,,,
22-Feb-2023,NHPC,FUTSTK,,36.04496765136719,36.277515829763104,36.64959433455802,35.9054373249682,4808757.0,36.04496765136719,6400,YFINANCE,,,,,,,,,
23-Feb-2023,NHPC,FUTSTK,,35.99845886230469,36.13798564083083,36.46355522086572,35.858928535374936,3465047.0,35.99845886230469,6400,YFINANCE,,,,,,,,,
24-Feb-2023,NHPC,FUTSTK,,35.90544128417969,35.99846269483747,36.37053769225665,35.62638414901431,6350314.0,35.90544128417969,6400,YFINANCE,,,,,,,,,
27-Feb-2023,NHPC,FUTSTK,,35.71940994262695,35.905445689962086,36.370542155108765,35.11478311857449,12745906.0,35.71940994262695,6400,YFINANCE,,,,,,,,,
28-Feb-2023,NHPC,FUTSTK,,36.41705322265625,36.37054073922874,37.579794340258246,35.39383891012392,10698085.0,36.41705322265625,6400,YFINANCE,,,,,,,,,
01-Mar-2023,NHPC,FUTSTK,,37.30072784423828,36.69610468596532,37.67280636348606,36.41704757073136,10897703.0,37.30072784423828,6400,YFINANCE,,,,,,,,,
02-Mar-2023,NHPC,FUTSTK,,37.34724044799805,37.39374937596192,37.626297564185066,37.068179783407274,6243216.0,37.34724044799805,6400,YFINANCE,,,,,,,,,
03-Mar-2023,NHPC,FUTSTK,,37.021671295166016,37.579789082572816,37.9053551305906,36.928653438133445,7996805.0,37.021671295166016,6400,YFINANCE,,,,,,,,,
06-Mar-2023,NHPC,FUTSTK,,37.16120147705078,37.16120147705078,37.858846047151594,36.417047978624005,11198659.0,37.16120147705078,6400,YFINANCE,,,,,,,,,
08-Mar-2023,NHPC,FUTSTK,,38.742530822753906,37.11469345286347,38.88205761113077,37.11469345286347,16875862.0,38.742530822753906,6400,YFINANCE,,,,,,,,,
09-Mar-2023,NHPC,FUTSTK,,37.951866149902344,38.975080375649185,38.975080375649185,37.719317946105875,5386529.0,37.951866149902344,6400,YFINANCE,,,,,,,,,
10-Mar-2023,NHPC,FUTSTK,,38.18441009521485,37.67280481359976,38.46346719896819,37.114690606093056,5220866.0,38.18441009521485,6400,YFINANCE,,,,,,,,,
13-Mar-2023,NHPC,FUTSTK,,37.44026565551758,38.13791035717318,38.27744071686609,37.114699547440075,6647383.0,37.44026565551758,6400,YFINANCE,,,,,,,,,
14-Mar-2023,NHPC,FUTSTK,,37.39374923706055,37.44025816485166,37.90535453957032,37.1146921219101,5564064.0,37.39374923706055,6400,YFINANCE,,,,,,,,,
15-Mar-2023,NHPC,FUTSTK,,38.230918884277344,37.5797868273178,38.46346706130678,37.48676542746387,6460098.0,38.230918884277344,6400,YFINANCE,,,,,,,,,
16-Mar-2023,NHPC,FUTSTK,,37.81233978271485,38.23092371554166,38.463471921958345,37.48677016468907,5797687.0,37.81233978271485,6400,YFINANCE,,,,,,,,,
17-Mar-2023,NHPC,FUTSTK,,38.882057189941406,37.90535548826803,39.998289226884054,37.90535548826803,32174970.0,38.882057189941406,6400,YFINANCE,,,,,,,,,
20-Mar-2023,NHPC,FUTSTK,,37.62629699707031,38.88205577518661,38.92856470244949,37.39374881235221,7908860.0,37.62629699707031,6400,YFINANCE,,,,,,,,,
21-Mar-2023,NHPC,FUTSTK,,37.20771026611328,37.90535483360291,38.323942283777434,37.021671005101965,8124382.0,37.20771026611328,6400,YFINANCE,,,,,,,,,
22-Mar-2023,NHPC,FUTSTK,,37.48677062988281,37.30073135276,37.905358116308136,37.30073135276,4477410.0,37.48677062988281,6400,YFINANCE,,,,,,,,,
23-Mar-2023,NHPC,FUTSTK,,37.20771026611328,37.393749527124605,37.672806644439696,37.20771026611328,5642180.0,37.20771026611328,6400,YFINANCE,,,,,,,,,
24-Mar-2023,NHPC,FUTSTK,,36.83563232421875,37.34724118715821,37.53327690269565,36.74261446645003,4495243.0,36.83563232421875,6400,YFINANCE,,,,,,,,,
27-Mar-2023,NHPC,FUTSTK,,36.27751922607422,36.7426156264085,36.928654896223,36.044971025907074,11323037.0,36.27751922607422,6400,YFINANCE,,,,,,,,,
28-Mar-2023,NHPC,FUTSTK,,36.32402801513672,36.46355835405584,36.78912441366191,35.99846195553065,12243780.0,36.32402801513672,6400,YFINANCE,,,,,,,,,
29-Mar-2023,NHPC,FUTSTK,,38.69601821899414,36.51006660590049,40.74244304416487,36.04497021601641,25438120.0,38.69601821899414,6400,YFINANCE,,,,,,,,,
31-Mar-2023,NHPC,FUTSTK,,37.39374923706055,38.92856514458986,39.06809547636696,37.207709977492335,10359407.0,37.39374923706055,6400,YFINANCE,,,,,,,,,
03-Apr-2023,NHPC,FUTSTK,,37.48677062988281,37.39375276552344,37.71931883918531,37.16120455622094,11515747.0,37.48677062988281,6400,YFINANCE,,,,,,,,,
05-Apr-2023,NHPC,FUTSTK,,37.44026565551758,37.48677459261373,37.76583176359508,37.114699547440075,9803125.0,37.44026565551758,6400,YFINANCE,,,,,,,,,
06-Apr-2023,NHPC,FUTSTK,,37.44026565551758,37.34724778132528,37.62630495230663,37.161208484536225,7884742.0,37.44026565551758,6400,YFINANCE,,,,,,,,,
10-Apr-2023,NHPC,FUTSTK,,37.25422668457031,37.440265982986546,37.998380329830766,37.161208809564435,6663193.0,37.25422668457031,6400,YFINANCE,,,,,,,,,
11-Apr-2023,NHPC,FUTSTK,,38.37045669555664,37.34724593637017,38.50998704835674,37.11469771397286,11009043.0,38.37045669555664,6400,YFINANCE,,,,,,,,,
12-Apr-2023,NHPC,FUTSTK,,38.416961669921875,38.416961669921875,38.78904020676143,37.765826004654606,7406005.0,38.416961669921875,6400,YFINANCE,,,,,,,,,
13-Apr-2023,NHPC,FUTSTK,,39.858760833740234,38.32394481301325,39.95178224458684,38.230923402166646,17154863.0,39.858760833740234,6400,YFINANCE,,,,,,,,,
17-Apr-2023,NHPC,FUTSTK,,40.41687774658203,39.85875993923955,40.64942594587375,39.62621173994783,14615921.0,40.41687774658203,6400,YFINANCE,,,,,,,,,
18-Apr-2023,NHPC,FUTSTK,,40.0447998046875,40.37036941758654,40.41687834845669,39.579703399177994,8124105.0,40.0447998046875,6400,YFINANCE,,,,,,,,,
19-Apr-2023,NHPC,FUTSTK,,39.95177459716797,39.99828351948671,40.64941907715902,39.765735359489696,6670845.0,39.95177459716797,6400,YFINANCE,,,,,,,,,
20-Apr-2023,NHPC,FUTSTK,,38.97508239746094,40.09131099486455,40.18433241025096,38.88206098207452,5679451.0,38.97508239746094,6400,YFINANCE,,,,,,,,,
21-Apr-2023,NHPC,FUTSTK,,39.858760833740234,39.2541376310553,40.044800107029445,38.92856801569818,6445276.0,39.858760833740234,6400,YFINANCE,,,,,,,,,
24-Apr-2023,NHPC,FUTSTK,,39.44017791748047,39.858761857628735,40.23084041376508,39.300647571828314,4744973.0,39.44017791748047,6400,YFINANCE,,,,,,,,,
25-Apr-2023,NHPC,FUTSTK,,39.16111373901367,39.44017440546858,39.8587583083434,38.97507802591543,5764710.0,39.16111373901367,6400,YFINANCE,,,,,,,,,
26-Apr-2023,NHPC,FUTSTK,,41.20753860473633,39.16111382075044,41.672634985260224,39.16111382075044,19935615.0,41.20753860473633,6400,YFINANCE,,,,,,,,,
27-Apr-2023,NHPC,FUTSTK,,41.71914291381836,41.44008580187248,44.5562336057453,41.254046544440655,46751538.0,41.71914291381836,6400,YFINANCE,,,,,,,,,
28-Apr-2023,NHPC,FUTSTK,,41.16102981567383,42.04471365134081,42.27726184238981,40.974990553153866,11669717.0,41.16102981567383,6400,YFINANCE,,,,,,,,,
02-May-2023,NHPC,FUTSTK,,41.39358139038086,41.16103318032254,42.13773495288667,40.78895462486759,12956872.0,41.39358139038086,6400,YFINANCE,,,,,,,,,
03-May-2023,NHPC,FUTSTK,,42.46330261230469,41.161031276839715,42.88188653232908,40.97499200771559,18416615.0,42.46330261230469,6400,YFINANCE,,,,,,,,,
04-May-2023,NHPC,FUTSTK,,42.09122467041016,42.64933893728605,43.11443534248396,41.90518539865021,12539637.0,42.09122467041016,6400,YFINANCE,,,,,,,,,
05-May-2023,NHPC,FUTSTK,,42.50981140136719,41.95169359584756,43.393495265470335,41.39357933873184,12024104.0,42.50981140136719,6400,YFINANCE,,,,,,,,,
08-May-2023,NHPC,FUTSTK,,42.41679000854492,42.78886854569514,43.02141674431305,42.044715019798616,7966329.0,42.41679000854492,6400,YFINANCE,,,,,,,,,
09-May-2023,NHPC,FUTSTK,,41.48659133911133,42.509805397174,42.69584463940388,41.39357349219809,4661893.0,41.48659133911133,6400,YFINANCE,,,,,,,,,
10-May-2023,NHPC,FUTSTK,,41.347068786621094,41.62612590423127,41.62612590423127,40.277345695977665,7430991.0,41.347068786621094,6400,YFINANCE,,,,,,,,,
11-May-2023,NHPC,FUTSTK,,41.39358139038086,41.347072458050015,41.62612960043918,40.88197603793338,6734786.0,41.39358139038086,6400,YFINANCE,,,,,,,,,
