Ticker,Date,Type,Description
APOLLOHOSP,2025-08-19,Dividend,Dividend - Rs 10 Per Share
APOLLOHOSP,2026-02-16,Dividend,Interim Dividend - Rs 10 Per Sh
ASHOKLEY,2021-08-31,Dividend, Annual General Meeting/Dividend - Rs 0.60 Per Share
ASHOKLEY,2022-07-14,Dividend,Annual General Meeting/Dividend - Rs 1 Per Share
ASHOKLEY,2023-07-07,Dividend,Annual General Meeting/Dividend - Rs 2.60 Per Share
ASHOKLEY,2024-04-03,Dividend,Interim Dividend - Rs 4.95 Per Share
ASHOKLEY,2024-11-19,Dividend,Interim Dividend - Rs 2 Per Share
ASHOKLEY,2025-05-22,Dividend,Interim Dividend - Rs 4.25 Per Share
ASHOKLEY,2025-07-16,Bonus,Bonus 1:1
ASHOKLEY,2025-11-18,Dividend,Interim Dividend - Re 1 Per Share
ASIANPAINT,2021-06-10,Dividend, Dividend - Rs 14.50 Per Sh
ASIANPAINT,2021-10-28,Dividend, Interim Dividend - Rs 3.65 Per Share
ASIANPAINT,2022-06-09,Dividend,Dividend - Rs 15.50 Per Share
ASIANPAINT,2022-10-31,Dividend,Interim Dividend - Rs 4.40 Per Share
ASIANPAINT,2023-06-09,Dividend,Dividend - Rs 21.25 Per Share
ASIANPAINT,2023-11-03,Dividend,Interim Dividend - Rs 5.15 Per Share
ASIANPAINT,2024-06-11,Dividend,Dividend - Rs 28.15 Per Share
ASIANPAINT,2024-11-19,Dividend,Interim Dividend - Rs 4.25 Per Share
ASIANPAINT,2025-06-10,Dividend,Dividend - Rs 20.55 Per Share
ASIANPAINT,2025-11-18,Dividend,Interim Dividend - Rs 4.50 Per Share
ASTRAL,2021-03-18,Bonus, Bonus 1:3
ASTRAL,2021-08-23,Dividend, Annual General Meeting/Dividend - Re 1 Per Share
ASTRAL,2021-11-17,Dividend, Interim Dividend - Rs 1.25 Per Share
ASTRAL,2022-08-19,Dividend,Dividend - Rs 1.75 Per Share
ASTRAL,2022-11-18,Dividend,Interim Dividend - Rs 1.25 Per Share
ASTRAL,2023-03-14,Bonus,Bonus 1:3
ASTRAL,2023-08-04,Dividend,Dividend - Rs 2.25 Per Share
ASTRAL,2023-10-27,Dividend,Interim Dividend - Rs 1.50 Per Share
ASTRAL,2024-08-16,Dividend,Dividend - Rs 2.25 Per Share
ASTRAL,2024-11-14,Dividend,Interim Dividend - Rs 1.50 Per Share
ASTRAL,2025-08-14,Dividend,Dividend - Rs 2.25 Per Share
ASTRAL,2025-11-11,Dividend,Interim Dividend - Rs 1.50 Per Share
AUBANK,2022-06-09,Bonus,Bonus 1:1
AUBANK,2022-07-28,Dividend,Dividend - Rs 0.50 Per Share
AUBANK,2023-07-14,Dividend,Dividend - Re 1 Per Share
AUBANK,2024-07-12,Dividend,Dividend - Re 1 Per Share
AUBANK,2025-07-04,Dividend,Dividend - Re 1 Per Share
AUROPHARMA,2021-02-22,Dividend, Interim Dividend - Rs 1.50 Per Share
AUROPHARMA,2021-08-27,Dividend, Interim Dividend - Rs 1.50 Per Share
AUROPHARMA,2021-11-17,Dividend, Interim Dividend - Rs 1.50 Per Share
AUROPHARMA,2022-02-18,Dividend,Interim Dividend - Rs 1.50 Per Share
AUROPHARMA,2022-06-06,Dividend,Interim Dividend - Rs 4.50 Per Share
AUROPHARMA,2023-02-17,Dividend,Interim Dividend - Rs 3 Per Share
AUROPHARMA,2023-11-20,Dividend,Interim Dividend - Rs 3 Per Share
