pair,direction,entry_date,exit_date,entry_a,entry_b,exit_a,exit_b,pnl_pct,portfolio_pnl,days_held,exit_reason,capital_after
SBIN/BANKBARODA,LONG_SPREAD,2025-12-02,2025-12-08,973.35,297.95,959.0,286.05,1.26,1260.0,6,z_revert,1001260.0
TCS/COFORGE,LONG_SPREAD,2025-12-01,2025-12-09,3151.2,1914.7,3217.4,1882.0,1.904,1907.0,8,z_revert,1003167.0
TATASTEEL/JSWSTEEL,LONG_SPREAD,2025-12-01,2025-12-10,169.34,1175.3,162.96,1098.8,1.371,1375.0,9,z_revert,1004542.0
BPCL/HINDPETRO,SHORT_SPREAD,2025-12-02,2025-12-15,359.7,452.25,367.8,468.45,0.665,668.0,13,z_revert,1005210.0
VEDL/JINDALSTEL,SHORT_SPREAD,2025-12-01,2025-12-16,535.2,1054.6,570.85,1012.5,-5.327,-5354.0,15,time_stop,999855.0
IREDA/IRFC,LONG_SPREAD,2025-12-02,2025-12-17,140.51,116.87,131.17,111.25,-0.919,-919.0,15,time_stop,998936.0
AXISBANK/FEDERALBNK,LONG_SPREAD,2025-12-02,2025-12-17,1266.6,259.1,1228.6,264.3,-2.504,-2501.0,15,time_stop,996435.0
HCLTECH/LTIM,LONG_SPREAD,2025-12-04,2025-12-19,1662.6,6289.0,1644.6,6184.5,0.289,288.0,15,time_stop,996724.0
NHPC/PFC,SHORT_SPREAD,2025-12-08,2025-12-23,76.72,344.05,78.37,354.65,0.465,464.0,15,z_revert,997188.0
TECHM/COFORGE,SHORT_SPREAD,2025-12-09,2025-12-24,1569.5,1882.0,1634.2,1736.7,-5.921,-5905.0,15,time_stop,991283.0
INFY/PERSISTENT,SHORT_SPREAD,2025-12-10,2025-12-26,1591.5,6061.0,1655.7,6312.0,0.054,53.0,16,time_stop,991336.0
TATASTEEL/SAIL,SHORT_SPREAD,2025-12-17,2025-12-26,170.81,130.31,169.31,132.42,1.249,1238.0,9,z_revert,992574.0
TATAPOWER/IRFC,LONG_SPREAD,2025-12-23,2025-12-26,382.6,121.36,380.2,133.78,-5.431,-5390.0,3,z_stop,987183.0
JSWSTEEL/HINDALCO,LONG_SPREAD,2025-12-15,2025-12-30,1119.0,849.3,1109.9,882.15,-2.341,-2311.0,15,time_stop,984873.0
VEDL/JINDALSTEL,SHORT_SPREAD,2025-12-16,2025-12-31,570.85,1012.5,605.9,1057.4,-0.853,-840.0,15,time_stop,984033.0
AXISBANK/FEDERALBNK,LONG_SPREAD,2025-12-17,2026-01-01,1228.6,264.3,1279.1,266.85,1.573,1548.0,15,z_revert,985581.0
TORNTPHARM/ALKEM,SHORT_SPREAD,2025-12-19,2026-01-05,3807.2,5571.0,3875.8,5580.5,-0.816,-804.0,17,time_stop,984777.0
HDFCBANK/ICICIBANK,SHORT_SPREAD,2025-12-30,2026-01-05,990.9,1342.7,980.05,1375.2,1.758,1731.0,6,z_revert,986508.0
HDFCBANK/ICICIBANK,LONG_SPREAD,2026-01-05,2026-01-06,980.05,1375.2,966.95,1414.6,-2.101,-2073.0,1,z_stop,984435.0
HCLTECH/LTIM,LONG_SPREAD,2026-01-05,2026-01-06,1593.8,6091.0,1611.0,6013.5,1.176,1157.0,1,z_revert,985593.0
HDFCBANK/ICICIBANK,LONG_SPREAD,2026-01-06,2026-01-07,966.95,1414.6,952.55,1430.7,-1.314,-1295.0,1,z_stop,984298.0
CIPLA/DIVISLAB,LONG_SPREAD,2026-01-06,2026-01-07,1537.9,6676.5,1471.6,6657.5,-2.013,-1982.0,1,z_stop,982316.0
TECHM/COFORGE,SHORT_SPREAD,2025-12-24,2026-01-08,1634.2,1736.7,1584.8,1650.8,-0.962,-945.0,15,time_stop,981372.0
BPCL/HINDPETRO,LONG_SPREAD,2026-01-01,2026-01-08,383.6,500.45,354.7,452.1,1.064,1044.0,7,z_revert,982416.0
LICHSGFIN/MANAPPURAM,LONG_SPREAD,2025-12-26,2026-01-09,538.65,316.4,530.25,295.35,2.547,2502.0,14,z_revert,984918.0
TATAPOWER/IRFC,LONG_SPREAD,2025-12-26,2026-01-12,380.2,133.78,371.2,122.96,2.86,2817.0,17,time_stop,987735.0
POWERGRID/RECLTD,LONG_SPREAD,2025-12-26,2026-01-12,265.95,356.95,259.15,371.3,-3.289,-3248.0,17,time_stop,984487.0
BAJFINANCE/CHOLAFIN,LONG_SPREAD,2026-01-01,2026-01-16,979.9,1735.1,951.6,1706.2,-0.611,-602.0,15,time_stop,983885.0
DRREDDY/AUROPHARMA,LONG_SPREAD,2026-01-07,2026-01-21,1246.2,1241.6,1160.2,1120.5,1.426,1403.0,14,z_revert,985288.0
CIPLA/TORNTPHARM,LONG_SPREAD,2026-01-07,2026-01-22,1471.6,4080.3,1373.3,4019.7,-2.597,-2559.0,15,time_stop,982729.0
ULTRACEMCO/AMBUJACEM,SHORT_SPREAD,2026-01-08,2026-01-23,12083.0,547.7,12354.0,517.75,-3.856,-3789.0,15,time_stop,978940.0
TATASTEEL/JINDALSTEL,SHORT_SPREAD,2026-01-08,2026-01-23,180.79,1017.8,187.84,1065.8,0.408,400.0,15,time_stop,979340.0
PFC/IREDA,SHORT_SPREAD,2026-01-09,2026-01-27,360.3,135.34,361.7,128.59,-2.688,-2632.0,18,time_stop,976707.0
TATAPOWER/NHPC,LONG_SPREAD,2026-01-12,2026-01-27,371.2,82.83,347.35,75.29,1.339,1308.0,15,time_stop,978015.0
HDFCBANK/ICICIBANK,LONG_SPREAD,2026-01-12,2026-01-27,941.05,1416.7,925.2,1363.6,1.032,1009.0,15,time_stop,979024.0
POWERGRID/TATAPOWER,SHORT_SPREAD,2026-01-27,2026-01-29,254.6,347.35,258.95,368.55,2.197,2151.0,2,z_revert,981176.0
AXISBANK/BANKBARODA,SHORT_SPREAD,2026-01-29,2026-01-30,1367.5,303.3,1373.2,300.45,-0.678,-665.0,1,z_stop,980510.0
ONGC/GAIL,SHORT_SPREAD,2026-01-16,2026-02-01,247.07,164.71,253.7,162.73,-1.943,-1905.0,16,time_stop,978605.0
HCLTECH/LTIM,SHORT_SPREAD,2026-01-23,2026-02-01,1705.1,5884.0,1668.1,6076.0,2.717,2658.0,9,z_revert,981264.0
