symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
ABCAPITAL,2023-06-29,2023-06-26,2023-06-27,BUY,-44.173,-41.072,3.101,54540.0,325.65,5400,1,2023-06
ABCAPITAL,2023-07-27,2023-07-24,2023-07-27,BUY,-41.901,-41.179,0.722,12690.0,325.65,5400,3,2023-07
ABCAPITAL,2023-08-31,2023-08-28,2023-08-31,BUY,-44.25,-44.173,0.077,1350.0,325.65,5400,3,2023-08
ABCAPITAL,2023-09-28,2023-09-25,2023-09-28,BUY,-45.755,-46.077,-0.322,-5670.0,325.65,5400,3,2023-09
ABCAPITAL,2023-10-26,2023-10-23,2023-10-26,BUY,-46.937,-47.827,-0.891,-15660.0,325.65,5400,3,2023-10
ABCAPITAL,2023-11-30,2023-11-24,2023-11-30,BUY,-48.303,-48.288,0.015,270.0,325.65,5400,6,2023-11
ABCAPITAL,2024-01-25,2024-01-20,2024-01-25,BUY,-46.599,-49.102,-2.503,-44010.0,325.65,5400,5,2024-01
ABCAPITAL,2024-02-29,2024-02-26,2024-02-29,BUY,-41.717,-43.682,-1.965,-34560.0,325.65,5400,3,2024-02
ABCAPITAL,2024-03-28,2024-03-22,2024-03-28,BUY,-46.062,-46.123,-0.061,-1080.0,325.65,5400,6,2024-03
ABCAPITAL,2024-04-25,2024-04-22,2024-04-25,BUY,-37.617,-29.449,8.168,143640.0,325.65,5400,3,2024-04
ABCAPITAL,2024-05-30,2024-05-27,2024-05-30,BUY,-30.002,-32.197,-2.196,-38610.0,325.65,5400,3,2024-05
ABCAPITAL,2024-06-27,2024-06-24,2024-06-27,BUY,-26.439,-27.775,-1.336,-23490.0,325.65,5400,3,2024-06
ABCAPITAL,2024-07-25,2024-07-22,2024-07-25,BUY,-33.115,-33.078,0.037,648.0,325.65,5400,3,2024-07
ABCAPITAL,2024-08-29,2024-08-26,2024-08-29,BUY,-31.865,-32.102,-0.236,-4158.0,325.65,5400,3,2024-08
ABCAPITAL,2024-09-26,2024-09-23,2024-09-26,BUY,-28.168,-27.499,0.669,11772.0,325.65,5400,3,2024-09
ADANIENT,2024-02-29,2024-02-26,2024-02-29,SELL,37.411,35.408,2.002,14550.0,2422.3,300,3,2024-02
ADANIENT,2024-03-28,2024-03-22,2024-03-28,SELL,28.793,31.693,-2.9,-21075.0,2422.3,300,6,2024-03
ADANIENT,2024-04-25,2024-04-22,2024-04-25,SELL,26.559,28.589,-2.029,-14745.0,2422.3,300,3,2024-04
ADANIENT,2024-05-30,2024-05-27,2024-05-30,SELL,36.057,31.619,4.438,32250.0,2422.3,300,3,2024-05
ADANIENT,2024-06-27,2024-06-24,2024-06-27,SELL,32.044,30.999,1.044,7590.0,2422.3,300,3,2024-06
ADANIENT,2024-07-25,2024-07-22,2024-07-25,SELL,23.816,22.621,1.195,8685.0,2422.3,300,3,2024-07
ADANIENT,2024-08-29,2024-08-26,2024-08-29,SELL,26.621,24.842,1.779,12930.0,2422.3,300,3,2024-08
ADANIENT,2024-09-26,2024-09-23,2024-09-26,SELL,25.775,28.721,-2.946,-21405.0,2422.3,300,3,2024-09
ADANIGREEN,2025-01-30,2025-01-27,2025-01-30,BUY,-0.501,0.123,0.624,2338.0,998.95,375,3,2025-01
ADANIPORTS,2023-02-23,2023-02-20,2023-02-23,BUY,-60.768,-62.755,-1.987,-18375.0,1479.8,625,3,2023-02
ADANIPORTS,2023-03-29,2023-03-24,2023-03-29,BUY,-56.768,-57.112,-0.345,-3188.0,1479.8,625,5,2023-03
