Ticker,Date,Type,Description
BEL,2022-02-09,Dividend,Interim Dividend - Rs 1.50 Per Share
BEL,2022-03-24,Dividend,Interim Dividend - Rs 1.50 Per Share
BEL,2022-08-08,Dividend,Annual General Meeting/Dividend - Rs 1.50 Per Share
BEL,2022-09-15,Bonus,Bonus 2:1
BEL,2023-02-10,Dividend,Interim Dividend - Re 0.60 Per Share
BEL,2023-03-24,Dividend,Interim Dividend - Rs 0.60 Per Share
BHARATFORG,2021-07-15,Dividend, Dividend - Rs 2 Per Share
BHARATFORG,2021-11-25,Dividend, Interim Dividend - Rs 1.50 Per Share
BHARATFORG,2022-07-14,Dividend,Dividend - Rs 5.50 Per Share
BHARATFORG,2022-11-24,Dividend,Interim Dividend - Rs 1.50 Per Share
BHARTIARTL,2022-08-01,Dividend,Dividend - Rs 3 Per Share
BHEL,2022-09-15,Dividend,Dividend - Re 0.40 Per Share
BIOCON,2022-06-30,Dividend,Dividend - Rs 0.50 Per Share
BLUESTARCO,2021-07-22,Dividend, Dividend - Rs 4 Per Share
BLUESTARCO,2022-07-21,Dividend,Dividend - Rs 10 Per Share
BOSCHLTD,2021-07-12,Dividend, Annual General Meeting/Dividend - Rs 115 Per Share
BOSCHLTD,2022-07-14,Dividend,Annual General Meeting/Dividend - Rs 110 Per Share/Special Dividend - Rs 100 Per Share
BOSCHLTD,2023-02-22,Dividend,Interim Dividend - Rs 200 Per Share
BPCL,2021-02-17,Dividend, Interim Dividend - Rs 16 Per Share
BPCL,2021-03-25,Dividend, Interim Dividend - Rs 5 Per Share
BPCL,2021-09-16,Dividend, Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share
BPCL,2021-11-11,Dividend, Interim Dividend - Rs 5 Per Share
BPCL,2022-02-10,Dividend,Interim Dividend - Rs 5 Per Share
BPCL,2022-08-19,Dividend,Annual General Meeting/Dividend - Rs 6 Per Share
BRITANNIA,2021-04-08,Dividend, Interim Dividend - Rs 62 Per Share
BRITANNIA,2021-05-25,Bonus, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held
BRITANNIA,2021-05-25,Dividend, Dividend - Rs 12.50 Per Share Pursuant To Scheme
BRITANNIA,2022-06-20,Dividend,Annual General Meeting/Dividend - Rs 56.50 Per Share
BSE,2021-08-05,Dividend, Dividend - Rs 21 Per Share
BSE,2022-03-21,Bonus,Bonus 2:1
BSE,2022-06-23,Dividend,Dividend - Rs 13.50 Per Share
CAMS,2021-07-28,Dividend, Dividend - Rs 11.84 Per Share
CAMS,2021-08-27,Dividend, Interim Dividend - Rs 6.50 Per Share
CAMS,2021-11-23,Dividend, Interim Dividend - Rs 9.50 Per Share
CAMS,2022-02-17,Dividend,Interim Dividend - Rs 10.75 Per Share
CAMS,2022-06-23,Dividend,Dividend - Rs 12 Per Share
CAMS,2022-08-12,Dividend,Interim Dividend - Rs 6.75 Per Share
CAMS,2022-11-16,Dividend,Interim Dividend - Rs 8.50 Per Share
CAMS,2023-02-15,Dividend,Interim Dividend - Rs  10.50 Per Share
CANBK,2022-06-15,Dividend,Dividend - Rs 6.5 Per Share
CDSL,2021-09-13,Dividend, Annual General Meeting/Dividend - Rs 9 Per Share
CDSL,2022-09-07,Dividend,Dividend - Rs 15 Per Share
CGPOWER,2023-03-15,Dividend,Interim Dividend - Rs  1.50 Per Share
CHOLAFIN,2021-02-09,Dividend, Interimdividend - Rs 1.30  Per Share
CHOLAFIN,2021-07-22,Dividend, Annual General Meeting/Dividend - Rs 0.70 Per Share
CHOLAFIN,2022-02-10,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2022-07-21,Dividend,Dividend - Rs 0.70 Per Share
CHOLAFIN,2023-02-10,Dividend,Interim Dividend - Rs 1.30 Per Share
CIPLA,2021-08-09,Dividend, Annual General Meeting/Dividend - Rs 5 Per Share
CIPLA,2022-08-08,Dividend,Dividend - Rs 5 Per Share
COALINDIA,2021-03-15,Dividend, Interim Dividend - Rs 5 Per Share
COALINDIA,2021-09-02,Dividend, Dividend - Rs 3.50 Per Share
COALINDIA,2021-12-06,Dividend, Interim Dividend - Rs 9 Per Sh
COALINDIA,2022-02-21,Dividend,Interim Dividend - Rs 5 Per Share
COALINDIA,2022-08-11,Dividend,Dividend - Rs 3 Per Share
COALINDIA,2022-11-15,Dividend,Interim Dividend - Rs 15 Per Share
COALINDIA,2023-02-08,Dividend,Interim Dividend - Rs 5.25 Per Share
COFORGE,2021-05-18,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2021-08-09,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2021-11-03,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2022-02-07,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2022-05-23,Dividend,Interim Dividend - Rs  13 Per Share
COFORGE,2022-08-03,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2022-11-03,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2023-02-03,Dividend,Interim Dividend - Rs 19 Per Sh
COLPAL,2021-03-30,Dividend, Interim Dividend - Rs 20 Per Share
COLPAL,2021-11-01,Dividend, Interim Dividend - Rs 19 Per Share
COLPAL,2022-05-05,Dividend,Interim Dividend - Rs 21 Per Sh
COLPAL,2022-10-31,Dividend,Interim Dividend - Rs 18 Per Share
CONCOR,2021-09-21,Dividend, Annual General Meeting/Dividend - Rs 2 Per Share
CONCOR,2021-11-02,Dividend, Interim Dividend - Rs 4 Per Share
CONCOR,2022-02-02,Dividend,Interim Dividend - Rs 2 Per Share
CONCOR,2022-08-17,Dividend,Interim Dividend - Rs 2 Per Share
CONCOR,2022-09-20,Dividend,Annual General Meeting/Dividend - Rs 3 Per Share
CONCOR,2022-11-22,Dividend,Interim Dividend - Rs 3 Per Share
CONCOR,2023-02-06,Dividend,Interim Dividend - Rs 4 Per Share
CROMPTON,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 2.50 Per Share
CROMPTON,2022-07-07,Dividend,Dividend - Rs 2.50 Per Share
CUMMINSIND,2021-02-09,Dividend, Interim Dividend - Rs 7 Per Share
CUMMINSIND,2021-08-04,Dividend, Annual General Meeting/Dividend - Rs 8 Per Share
CUMMINSIND,2022-02-21,Dividend,Interim Dividend - Rs 8 Per Share
