Symbol,Expiry,Token,Time,Open,High,Low,Close,Volume,OI
SBICARD24FEB26F,24-FEB-2026,59464,20-02-2026 09:15:00,781.05,796.20,781.05,795.00,2642400,11252800
SBICARD24FEB26F,24-FEB-2026,59464,19-02-2026 13:15:00,777.95,785.00,776.65,781.00,3396000,15559200
SBICARD24FEB26F,24-FEB-2026,59464,19-02-2026 09:15:00,777.15,780.60,770.85,778.70,4529600,16369600
SBICARD24FEB26F,24-FEB-2026,59464,18-02-2026 13:15:00,781.35,783.10,778.65,778.65,1615200,18234400
SBICARD24FEB26F,24-FEB-2026,59464,18-02-2026 09:15:00,775.35,790.00,775.35,781.20,2613600,18135200
SBICARD24FEB26F,24-FEB-2026,59464,17-02-2026 13:15:00,769.70,780.00,767.40,769.75,1348800,18252800
SBICARD24FEB26F,24-FEB-2026,59464,17-02-2026 09:15:00,769.80,773.20,761.45,769.70,974400,18060000
SBICARD24FEB26F,24-FEB-2026,59464,16-02-2026 13:15:00,774.95,776.85,769.55,770.30,797600,18425600
SBICARD24FEB26F,24-FEB-2026,59464,16-02-2026 09:15:00,753.00,776.90,750.20,775.50,1511200,18340800
SBICARD24FEB26F,24-FEB-2026,59464,13-02-2026 13:15:00,755.55,758.25,752.85,754.00,665600,18375200
SBICARD24FEB26F,24-FEB-2026,59464,13-02-2026 09:15:00,762.70,766.60,753.60,755.10,860800,18340800
SBICARD24FEB26F,24-FEB-2026,59464,12-02-2026 13:15:00,768.40,771.45,765.00,769.65,792000,18401600
SBICARD24FEB26F,24-FEB-2026,59464,12-02-2026 09:15:00,764.70,773.20,756.70,768.40,1299200,18616800
SBICARD24FEB26F,24-FEB-2026,59464,11-02-2026 13:15:00,758.75,767.35,758.75,764.85,862400,18865600
SBICARD24FEB26F,24-FEB-2026,59464,11-02-2026 09:15:00,758.70,760.40,751.60,759.50,1234400,18973600
SBICARD24FEB26F,24-FEB-2026,59464,10-02-2026 13:15:00,764.40,765.55,757.70,757.70,1140800,19058400
SBICARD24FEB26F,24-FEB-2026,59464,10-02-2026 09:15:00,767.10,768.90,761.55,764.10,820000,18649600
SBICARD24FEB26F,24-FEB-2026,59464,09-02-2026 13:15:00,760.70,764.75,759.85,762.65,530400,18720000
SBICARD24FEB26F,24-FEB-2026,59464,09-02-2026 09:15:00,758.80,770.95,755.00,760.75,1800000,18692800
SBICARD24FEB26F,24-FEB-2026,59464,06-02-2026 13:15:00,752.05,757.70,750.55,751.50,485600,18944800
