,entry_date,exit_date,pair,strategy,direction,days,entry_z,exit_z,gross,charges,net,reason,win
42,2024-05-21,2024-05-27,CIPLA/DRREDDY,PAIRS,SELL_A,6,2.263,2.054,-13289.0,1595.0,-14884.0,TIME_STOP,False
43,2024-05-21,2024-05-22,NHPC/IRFC,PAIRS,BUY_A,1,-2.972,-1.357,37101.0,4452.0,32648.0,PROFIT,True
44,2024-05-22,2024-05-23,SHRIRAMFIN/LICHSGFIN,PAIRS,BUY_A,1,-2.049,-1.115,23654.0,2839.0,20816.0,PROFIT,True
45,2024-05-23,2024-05-28,NHPC/IRFC,PAIRS,BUY_A,5,-3.383,-2.715,13729.0,1647.0,12082.0,INTRADAY,True
46,2024-05-28,2024-05-29,NHPC/IRFC,PAIRS,BUY_A,1,-2.715,-2.276,24441.0,2933.0,21508.0,INTRADAY,True
47,2024-05-29,2024-05-31,NHPC/HUDCO,PAIRS,BUY_A,2,-2.404,-2.01,42828.0,5139.0,37688.0,INTRADAY,True
48,2024-05-31,2024-06-03,NHPC/HUDCO,PAIRS,BUY_A,3,-2.01,-1.887,24441.0,2933.0,21508.0,INTRADAY,True
49,2024-06-03,2024-06-04,CONCOR/IRCTC,PAIRS,SELL_A,1,2.969,0.849,133114.0,15974.0,117140.0,PROFIT,True
50,2024-06-03,2024-06-04,NHPC/HUDCO,PAIRS,BUY_A,1,-1.887,-0.479,66554.0,7986.0,58567.0,PROFIT,True
51,2024-06-05,2024-06-06,SAIL_CAL,CALENDAR,SELL_NEAR,1,2.165,0.88,17400.0,2088.0,15312.0,INTRADAY,True
52,2024-06-05,2024-06-06,CIPLA/DRREDDY,PAIRS,SELL_A,1,2.078,1.407,25936.0,3112.0,22824.0,PROFIT,True
53,2024-06-06,2024-06-07,CONCOR/IRCTC,PAIRS,SELL_A,1,1.89,1.742,19054.0,2287.0,16768.0,INTRADAY,True
54,2024-06-07,2024-06-10,GODREJPROP/IRCTC,PAIRS,SELL_A,3,2.079,1.793,35172.0,4221.0,30951.0,INTRADAY,True
55,2024-06-10,2024-06-11,CONCOR/IRCTC,PAIRS,SELL_A,1,1.662,1.57,31933.0,3832.0,28101.0,INTRADAY,True
56,2024-06-10,2024-06-18,NHPC/HUDCO,PAIRS,BUY_A,8,-2.077,-2.168,-48629.0,5835.0,-54464.0,TIME_STOP,False
57,2024-06-12,2024-06-18,CONCOR/IRCTC,PAIRS,SELL_A,6,2.236,1.863,1246.0,150.0,1097.0,TIME_STOP,True
58,2024-06-12,2024-06-13,TECHM/MPHASIS,PAIRS,SELL_A,1,1.819,1.619,10435.0,1252.0,9183.0,INTRADAY,True
59,2024-06-14,2024-06-18,SAIL_CAL,CALENDAR,SELL_NEAR,4,3.071,0.406,8800.0,1056.0,7744.0,INTRADAY,True
60,2024-06-18,2024-06-21,CIPLA/DRREDDY,PAIRS,SELL_A,3,2.284,1.428,32933.0,3952.0,28981.0,PROFIT,True
61,2024-06-18,2024-06-24,TCS/WIPRO,PAIRS,BUY_A,6,-2.722,-2.307,-2066.0,248.0,-2314.0,TIME_STOP,False
62,2024-06-18,2024-06-24,GMRAIRPORT/IRCTC,PAIRS,SELL_A,6,2.18,2.046,3637.0,436.0,3201.0,INTRADAY,True
63,2024-06-24,2024-06-25,GMRAIRPORT/IRCTC,PAIRS,SELL_A,1,2.046,1.964,15405.0,1849.0,13556.0,INTRADAY,True
64,2024-06-24,2024-06-25,SHRIRAMFIN/LICHSGFIN,PAIRS,SELL_A,1,1.829,1.604,33825.0,4059.0,29766.0,INTRADAY,True
65,2024-06-24,2024-06-27,CONCOR/GODREJPROP,PAIRS,BUY_A,3,-3.099,6.337,194.0,23.0,171.0,LOT_CHANGE,True
66,2024-06-24,2024-06-27,TECHM/MPHASIS,PAIRS,SELL_A,3,1.925,1.882,6298.0,756.0,5542.0,INTRADAY,True
67,2024-06-25,2024-07-01,GMRAIRPORT/IRCTC,PAIRS,SELL_A,6,1.964,1.969,-26435.0,3172.0,-29608.0,TIME_STOP,False
68,2024-06-26,2024-06-28,NHPC/HUDCO,PAIRS,BUY_A,2,-1.989,-1.562,36135.0,4336.0,31799.0,INTRADAY,True
69,2024-06-27,2024-06-28,TECHM/MPHASIS,PAIRS,SELL_A,1,1.882,1.68,11412.0,1369.0,10043.0,INTRADAY,True
70,2024-06-28,2024-07-03,HCLTECH/PERSISTENT,PAIRS,BUY_A,5,-2.499,-3.084,-37700.0,4524.0,-42224.0,TIME_STOP,False
71,2024-07-01,2024-07-08,TCS/WIPRO,PAIRS,BUY_A,7,-2.723,-2.347,-22424.0,2691.0,-25114.0,TIME_STOP,False
72,2024-07-01,2024-07-02,TECHM/MPHASIS,PAIRS,SELL_A,1,1.948,1.912,12167.0,1460.0,10707.0,INTRADAY,True
73,2024-07-02,2024-07-03,TECHM/MPHASIS,PAIRS,SELL_A,1,1.912,1.465,18531.0,2224.0,16307.0,PROFIT,True
74,2024-07-03,2024-07-08,NHPC/HUDCO,PAIRS,BUY_A,5,-2.141,-2.584,-92166.0,11060.0,-103226.0,TIME_STOP,False
75,2024-07-08,2024-07-09,COLPAL_CAL,CALENDAR,BUY_NEAR,1,-2.125,-1.438,14481.0,1738.0,12744.0,INTRADAY,True
76,2024-07-08,2024-07-09,NHPC/IRFC,PAIRS,BUY_A,1,-3.198,-1.996,67205.0,8065.0,59141.0,INTRADAY,True
77,2024-07-09,2024-07-11,NHPC/IRFC,PAIRS,BUY_A,2,-1.996,-1.621,24811.0,2977.0,21834.0,INTRADAY,True
78,2024-07-11,2024-07-12,SHRIRAMFIN/LICHSGFIN,PAIRS,BUY_A,1,-2.082,-0.891,35594.0,4271.0,31322.0,PROFIT,True
79,2024-07-12,2024-07-16,NHPC/IRFC,PAIRS,BUY_A,4,-2.75,-1.994,49763.0,5972.0,43791.0,INTRADAY,True
80,2024-07-16,2024-07-18,SHRIRAMFIN/LICHSGFIN,PAIRS,BUY_A,2,-1.712,-0.688,32983.0,3958.0,29025.0,PROFIT,True
81,2024-07-16,2024-07-18,NHPC/IRFC,PAIRS,BUY_A,2,-1.994,-1.986,33676.0,4041.0,29634.0,INTRADAY,True
82,2024-07-18,2024-07-22,NHPC/IRFC,PAIRS,BUY_A,4,-1.986,-1.805,12753.0,1530.0,11223.0,INTRADAY,True
83,2024-07-22,2024-07-24,TECHM/MPHASIS,PAIRS,BUY_A,2,-2.067,-0.493,54121.0,6495.0,47627.0,PROFIT,True
84,2024-07-25,2024-07-26,NTPC/TATAPOWER,PAIRS,SELL_A,1,2.67,1.339,34293.0,4115.0,30178.0,PROFIT,True
85,2024-07-26,2024-07-29,TECHM/MPHASIS,PAIRS,BUY_A,3,-2.097,-1.418,24359.0,2923.0,21436.0,PROFIT,True
86,2024-07-29,2024-08-05,DABUR/COLPAL,PAIRS,BUY_A,7,-2.281,-2.657,-84390.0,10127.0,-94517.0,TIME_STOP,False
87,2024-07-30,2024-07-31,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.35,1.735,17710.0,2125.0,15585.0,INTRADAY,True
88,2024-07-30,2024-07-31,NTPC/TATAPOWER,PAIRS,SELL_A,1,2.056,1.929,10484.0,1258.0,9226.0,INTRADAY,True
89,2024-07-31,2024-08-01,SAIL_CAL,CALENDAR,SELL_NEAR,1,2.131,1.501,16900.0,2028.0,14872.0,INTRADAY,True
90,2024-07-31,2024-08-01,NTPC/TATAPOWER,PAIRS,SELL_A,1,1.929,1.622,16808.0,2017.0,14791.0,INTRADAY,True
91,2024-08-01,2024-08-02,ITC_CAL,CALENDAR,SELL_NEAR,1,2.177,0.854,11600.0,1392.0,10208.0,INTRADAY,True
92,2024-08-01,2024-08-06,SHRIRAMFIN/LICHSGFIN,PAIRS,SELL_A,5,2.62,3.546,-80544.0,9665.0,-90209.0,TIME_STOP,False
93,2024-08-05,2024-08-06,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.304,1.282,21683.0,2602.0,19081.0,INTRADAY,True
94,2024-08-05,2024-08-06,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,1,-1.98,-1.938,12014.0,1442.0,10572.0,INTRADAY,True
95,2024-08-05,2024-08-06,KOTAKBANK/IDFCFIRSTB,PAIRS,SELL_A,1,2.204,2.106,11988.0,1439.0,10549.0,INTRADAY,True
96,2024-08-05,2024-08-06,RELIANCE/IOC,PAIRS,BUY_A,1,-1.79,-1.068,31859.0,3823.0,28036.0,PROFIT,True
97,2024-08-05,2024-08-12,NTPC/TATAPOWER,PAIRS,SELL_A,7,2.706,2.127,-15806.0,1897.0,-17703.0,TIME_STOP,False
98,2024-08-06,2024-08-12,LTF/LICHSGFIN,PAIRS,SELL_A,6,2.174,1.983,4714.0,566.0,4148.0,INTRADAY,True
99,2024-08-06,2024-08-09,KOTAKBANK/IDFCFIRSTB,PAIRS,SELL_A,3,2.106,1.562,19798.0,2376.0,17422.0,INTRADAY,True
100,2024-08-06,2024-08-07,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,1,-1.938,-1.759,14398.0,1728.0,12670.0,INTRADAY,True
101,2024-08-06,2024-08-07,DABUR/MARICO,PAIRS,SELL_A,1,2.063,1.309,19298.0,2316.0,16982.0,PROFIT,True
