Symbol,Spot,Lot_Size,Near_Expiry,Near_Price,Near_DTE,Near_Premium,Near_Basis_Ann,Near_OI,Near_Vol,Near_BidAsk_bps,Far_Expiry,Far_Price,Far_DTE,Far_Premium,Far_Basis_Ann,Far_OI,Far_Vol,Far_BidAsk_bps,Spread_Raw,Spread_Diff,Theo_Spread,Spread_Deviation,Deviation_Pct,Potential_Gain,Est_Margin,Gain_to_Margin_Pct,Backwardation_Score,Liquidity_Score,DTE_Score,Composite_Score,Is_Backwardation,Classic_Setup,Third_Expiry,Third_Price,Third_DTE,Third_Premium,Third_vs_Far,Third_OI
PAGEIND,32365.0,15,30-MAR-2026,32460.0,9,95.0,11.9,254475,41415,3.1,28-APR-2026,32225.0,38,-140.0,-4.15,21915,9885,23.3,-235.0,-235.0,167.85,-402.85,-1.2447,3525.0,97380.0,3.62,92.4,100,100,73.1,True,True,26-MAY-2026,32115.0,66.0,-250.0,-110.0,1920.0
NUVAMA,1152.0,500,30-MAR-2026,1154.4,9,2.4,8.45,1937500,211000,13.9,28-APR-2026,1146.8,38,-5.2,-4.34,256500,34000,20.9,-7.6,-7.6,5.97,-13.57,-1.1783,3800.0,115440.0,3.29,91.8,100,100,72.9,True,True,26-MAY-2026,1143.0,66.0,-9.0,-3.8,11500.0
PPLPHARMA,138.74,2625,30-MAR-2026,139.22,9,0.48,14.03,15348375,2517375,10.8,28-APR-2026,138.4,38,-0.34,-2.35,3031875,551250,13.7,-0.82,-0.82,0.72,-1.54,-1.1096,2152.5,73090.5,2.94,91.1,100,100,71.2,True,True,,,,,,
DMART,3815.9,150,30-MAR-2026,3817.9,9,2.0,2.13,5658150,222750,4.7,28-APR-2026,3799.0,38,-16.9,-4.25,1310100,35100,13.2,-18.9,-18.9,19.79,-38.69,-1.0139,2835.0,114537.0,2.48,90.1,100,100,71.0,True,True,26-MAY-2026,3786.0,66.0,-29.9,-13.0,21750.0
VOLTAS,1348.5,375,30-MAR-2026,1347.2,9,-1.3,-3.91,10858875,1188750,3.0,28-APR-2026,1326.2,38,-22.3,-15.88,2799000,346500,15.1,-21.0,-21.0,6.99,-27.99,-2.0759,7875.0,101040.0,7.79,60.8,100,100,70.0,True,False,26-MAY-2026,1309.7,66.0,-38.8,-16.5,127125.0
BDL,1258.1,350,30-MAR-2026,1255.1,9,-3.0,-9.67,4419800,530600,10.4,28-APR-2026,1235.0,38,-23.1,-17.64,1271550,194250,18.6,-20.1,-20.1,6.52,-26.62,-2.1163,7035.0,87857.0,8.01,61.2,100,100,69.6,True,False,26-MAY-2026,1220.6,66.0,-37.5,-14.4,106750.0
PGEL,512.35,950,30-MAR-2026,507.75,9,-4.6,-36.41,13072000,1680550,7.9,28-APR-2026,499.95,38,-12.4,-23.25,1805950,495900,13.0,-7.8,-7.8,2.66,-10.46,-2.041,7410.0,96472.5,7.68,60.4,100,100,69.4,True,False,26-MAY-2026,493.65,66.0,-18.7,-6.3,375250.0
IREDA,117.72,3450,30-MAR-2026,116.59,9,-1.13,-38.93,53871750,9380550,9.4,28-APR-2026,114.76,38,-2.96,-24.15,15569850,4309050,13.1,-1.83,-1.83,0.61,-2.44,-2.0731,6313.5,80447.1,7.85,60.7,100,100,68.8,True,False,26-MAY-2026,114.0,66.0,-3.72,-0.76,1649100.0
PIIND,2914.3,175,30-MAR-2026,2914.2,9,-0.1,-0.14,3040975,224000,7.2,28-APR-2026,2874.0,38,-40.3,-13.28,431725,49175,18.4,-40.2,-40.2,15.11,-55.31,-1.898,7035.0,101997.0,6.9,59.0,100,100,68.1,True,False,26-MAY-2026,2840.8,66.0,-73.5,-33.2,11725.0
SUPREMEIND,3856.7,175,30-MAR-2026,3861.3,9,4.6,4.84,2221975,176225,11.7,28-APR-2026,3854.3,38,-2.4,-0.6,401275,50575,14.3,-7.0,-7.0,20.0,-27.0,-0.7001,1225.0,135145.5,0.91,87.0,100,100,67.7,True,True,26-MAY-2026,3890.0,66.0,33.3,35.7,1925.0
PREMIERENE,856.65,575,30-MAR-2026,855.4,9,-1.25,-5.92,8776225,1357000,7.0,28-APR-2026,846.95,38,-9.7,-10.88,3866875,410550,10.6,-8.45,-8.45,4.44,-12.89,-1.505,4858.75,98371.0,4.94,55.1,100,100,63.9,True,False,26-MAY-2026,858.85,66.0,2.2,11.9,40250.0
LTF,263.5,2250,30-MAR-2026,262.85,9,-0.65,-10.0,58250250,7195500,9.5,28-APR-2026,260.5,38,-3.0,-10.94,14980500,2515500,7.7,-2.35,-2.35,1.37,-3.72,-1.4104,5287.5,118282.5,4.47,54.1,100,100,63.5,True,False,26-MAY-2026,259.45,66.0,-4.05,-1.05,621000.0
BLUESTARCO,1734.7,325,30-MAR-2026,1732.3,9,-2.4,-5.61,2061150,419250,6.9,28-APR-2026,1718.5,38,-16.2,-8.97,920400,141700,8.7,-13.8,-13.8,9.0,-22.8,-1.3141,4485.0,112599.5,3.98,53.1,100,100,62.3,True,False,26-MAY-2026,1733.7,66.0,-1.0,15.2,9425.0
AMBER,6710.0,100,30-MAR-2026,6697.0,9,-13.0,-7.86,1141700,130600,11.9,28-APR-2026,6649.0,38,-61.0,-8.73,120900,26900,23.3,-48.0,-48.0,34.8,-82.8,-1.234,4800.0,133940.0,3.58,52.3,100,100,62.0,True,False,26-MAY-2026,6583.0,66.0,-127.0,-66.0,7600.0
IRFC,95.5,4250,30-MAR-2026,95.3,9,-0.2,-8.49,56418750,5257250,7.3,28-APR-2026,94.57,38,-0.93,-9.35,21143750,3017500,12.7,-0.73,-0.73,0.5,-1.23,-1.283,3102.5,81005.0,3.83,52.8,100,100,61.0,True,False,26-MAY-2026,94.4,66.0,-1.1,-0.17,2477750.0
PERSISTENT,4720.0,100,30-MAR-2026,4672.0,9,-48.0,-41.24,4438300,465800,10.1,28-APR-2026,4638.9,38,-81.1,-16.5,1281600,233200,19.2,-33.1,-33.1,24.48,-57.58,-1.2199,3310.0,93440.0,3.54,52.2,100,100,60.8,True,False,26-MAY-2026,4611.6,66.0,-108.4,-27.3,25600.0
HCLTECH,1341.7,350,30-MAR-2026,1330.0,9,-11.7,-35.37,31316950,1694350,3.8,28-APR-2026,1320.8,38,-20.9,-14.96,1446900,227850,10.6,-9.2,-9.2,6.96,-16.16,-1.2043,3220.0,93100.0,3.46,52.0,100,100,60.6,True,False,26-MAY-2026,1318.0,66.0,-23.7,-2.8,139650.0
KFINTECH,916.0,500,30-MAR-2026,916.0,9,0.0,0.0,2026500,240500,12.0,28-APR-2026,910.05,38,-5.95,-6.24,418000,68000,17.0,-5.95,-5.95,4.75,-10.7,-1.1682,2975.0,91600.0,3.25,51.7,100,100,60.2,True,False,26-MAY-2026,899.6,66.0,-16.4,-10.45,66000.0
MUTHOOTFIN,3304.9,275,30-MAR-2026,3290.2,9,-14.7,-18.04,3240325,1224025,7.0,28-APR-2026,3274.2,38,-30.7,-8.92,318450,200475,9.2,-16.0,-16.0,17.14,-33.14,-1.0027,4400.0,180961.0,2.43,50.0,100,100,60.1,True,False,26-MAY-2026,3270.0,66.0,-34.9,-4.2,31075.0
ASHOKLEY,167.65,5000,30-MAR-2026,167.6,9,-0.05,-1.21,140170000,24905000,7.8,28-APR-2026,166.76,38,-0.89,-5.1,19680000,5635000,12.0,-0.84,-0.84,0.87,-1.71,-1.0196,4200.0,167600.0,2.51,50.2,100,100,60.1,True,False,26-MAY-2026,165.91,66.0,-1.74,-0.85,2060000.0
TIINDIA,2561.3,200,30-MAR-2026,2558.7,9,-2.6,-4.12,2727200,145000,6.6,28-APR-2026,2543.6,38,-17.7,-6.64,165200,19400,27.5,-15.1,-15.1,13.28,-28.38,-1.1081,3020.0,102348.0,2.95,51.1,100,100,59.8,True,False,26-MAY-2026,2565.0,66.0,3.7,21.4,10600.0
OFSS,6605.0,75,30-MAR-2026,6587.0,9,-18.0,-11.05,1503225,109725,9.1,28-APR-2026,6560.0,38,-45.0,-6.54,175500,44025,15.2,-27.0,-27.0,34.25,-61.25,-0.9274,2025.0,98805.0,2.05,49.3,100,100,57.8,True,False,26-MAY-2026,6518.0,66.0,-87.0,-42.0,13050.0
ABB,6323.0,125,30-MAR-2026,6312.0,9,-11.0,-7.06,2024375,262375,7.1,28-APR-2026,6292.5,38,-30.5,-4.63,434250,83500,5.6,-19.5,-19.5,32.79,-52.29,-0.827,2437.5,157800.0,1.54,48.3,100,100,57.5,True,False,26-MAY-2026,6250.0,66.0,-73.0,-42.5,21000.0
DIXON,10330.0,50,30-MAR-2026,10314.0,9,-16.0,-6.28,2594350,366050,4.8,28-APR-2026,10280.0,38,-50.0,-4.65,488750,118300,11.7,-34.0,-34.0,53.57,-87.57,-0.8477,1700.0,103140.0,1.65,48.5,100,100,57.1,True,False,26-MAY-2026,10265.0,66.0,-65.0,-15.0,53550.0
SIEMENS,3150.9,175,30-MAR-2026,3141.2,9,-9.7,-12.48,2431450,476000,8.6,28-APR-2026,3136.3,38,-14.6,-4.45,173775,74375,20.4,-4.9,-4.9,16.34,-21.24,-0.6741,857.5,109942.0,0.78,46.7,100,100,55.3,True,False,26-MAY-2026,3133.9,66.0,-17.0,-2.4,9975.0
OIL,477.65,1400,30-MAR-2026,478.5,9,0.85,7.22,22881600,5322800,7.3,28-APR-2026,478.1,38,0.45,0.9,2259600,415800,12.5,-0.4,-0.4,2.48,-2.88,-0.6023,560.0,133980.0,0.42,46.0,100,100,54.5,True,False,26-MAY-2026,480.2,66.0,2.55,2.1,93800.0
WIPRO,189.81,3000,30-MAR-2026,189.27,9,-0.54,-11.54,159396000,15753000,6.3,28-APR-2026,189.2,38,-0.61,-3.09,49200000,6555000,5.3,-0.07,-0.07,0.98,-1.05,-0.5555,210.0,113562.0,0.18,45.6,100,100,54.0,True,False,26-MAY-2026,189.2,66.0,-0.61,0.0,2829000.0
SRF,2479.9,200,30-MAR-2026,2476.9,9,-3.0,-4.91,3794600,423200,3.2,28-APR-2026,2476.3,38,-3.6,-1.39,225400,85600,13.3,-0.6,-0.6,12.86,-13.46,-0.5428,120.0,99076.0,0.12,45.4,100,100,53.8,True,False,26-MAY-2026,2499.0,66.0,19.1,22.7,19600.0
MPHASIS,2082.1,275,30-MAR-2026,2085.5,9,3.4,6.62,5506325,415250,7.7,28-APR-2026,2085.2,38,3.1,1.43,191950,69850,15.3,-0.3,-0.3,10.8,-11.1,-0.533,82.5,114702.5,0.07,45.3,100,100,53.7,True,False,26-MAY-2026,2104.4,66.0,22.3,19.2,19525.0
