iteration,timestamp,accepted,score,net_pnl,win_rate,n_trades,min_monthly_pnl,description,params_json
34,2026-04-10T15:37:41.148277,False,3680617.0,4002349.0,92.0,311,14756.0,MAX_COMPOUND_SCALE: 2.5->2.43; PAIRS_MAX_POSITIONS: 9->8,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.43, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
35,2026-04-10T15:38:24.772246,False,3732064.0,4039863.0,92.4,315,-5321.0,Z_EXIT: 1.064->1.3; PAIRS_MIN_Z_ENTRY: 1.5->1.641,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
36,2026-04-10T15:39:12.504879,False,244459.0,3058604.0,88.8,383,-1110700.0,SSS_THRESHOLD: 4.112->3.754,"{""SSS_THRESHOLD"": 3.754, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
37,2026-04-10T15:40:03.353922,False,3732064.0,4039863.0,92.4,315,-5321.0,PAIRS_TIME_STOP: 60->79,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 79, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
38,2026-04-10T15:40:56.476153,False,3714933.0,4021319.0,92.4,315,-41458.0,STRUCT_BREAK_Z_MULT: 1.5->1.667; CORR_MIN: 0.202->0.135,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.135, ""STRUCT_BREAK_Z_MULT"": 1.667, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
39,2026-04-10T15:41:47.841517,False,3751350.0,4060740.0,92.4,315,-4191.0,SCALE_CONC_CAP: 0.15->0.152,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
40,2026-04-10T15:42:42.506739,False,3282651.0,3509041.0,93.5,279,19694.0,SSS_THRESHOLD: 4.112->4.358; PAIRS_TIME_STOP: 60->83,"{""SSS_THRESHOLD"": 4.358, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 83, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
41,2026-04-10T15:43:36.759547,False,3751350.0,4060740.0,92.4,315,-4191.0,PAIRS_MAX_POSITIONS: 9->9,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
42,2026-04-10T15:44:36.802570,False,1599408.0,2251057.0,96.9,227,-136403.0,Z_EXIT: 1.3->0.883; SSS_THRESHOLD: 4.112->5.075,"{""SSS_THRESHOLD"": 5.075, ""Z_EXIT"": 0.883, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
43,2026-04-10T15:45:41.648929,False,3514607.0,3792076.0,92.7,328,26914.0,Z_EXIT: 1.3->1.557,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.557, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
44,2026-04-10T15:46:30.472884,False,3751350.0,4060740.0,92.4,315,-4191.0,PAIRS_TIME_STOP: 60->80,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 80, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
45,2026-04-10T15:47:17.359402,False,3312671.0,3539394.0,93.6,281,19694.0,SSS_THRESHOLD: 4.112->4.345,"{""SSS_THRESHOLD"": 4.345, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
46,2026-04-10T15:48:04.123973,False,3751350.0,4060740.0,92.4,315,-4191.0,CORR_MIN: 0.202->0.241; PAIRS_MIN_Z_ENTRY: 1.641->1.475,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.475, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.241, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
47,2026-04-10T15:48:52.157694,False,512987.0,6524292.0,86.5,799,-1099912.0,SSS_THRESHOLD: 4.112->2.589; STRUCT_BREAK_Z_MULT: 1.5->1.591,"{""SSS_THRESHOLD"": 2.589, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.591, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
48,2026-04-10T15:49:36.902247,False,3751350.0,4060740.0,92.4,315,-4191.0,MAX_COMPOUND_SCALE: 2.5->2.508,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.508, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
49,2026-04-10T15:50:21.234703,False,3751350.0,4060740.0,92.4,315,-4191.0,MAX_COMPOUND_SCALE: 2.5->2.295,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.295, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
50,2026-04-10T15:51:06.303665,False,3751350.0,4060740.0,92.4,315,-4191.0,STRUCT_BREAK_Z_MULT: 1.5->1.49,"{""SSS_THRESHOLD"": 4.112, ""Z_EXIT"": 1.3, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.641, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.49, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.152, ""PAIRS_MAX_POSITIONS"": 9}"
