iteration,timestamp,accepted,score,net_pnl,win_rate,n_trades,min_monthly_pnl,description,params_json
10,2026-04-10T15:18:44.189328,False,587787.0,7533888.0,86.1,792,-1103719.0,STRUCT_BREAK_CORR_FLOOR: 0.25->0.22,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.22, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
11,2026-04-10T15:20:08.388833,False,588485.0,7548794.0,86.1,796,-1103874.0,PAIRS_MAX_Z_ENTRY: 5.037->5.241,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.241, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
12,2026-04-10T15:20:52.689312,False,519620.0,6577613.0,86.2,723,-1090767.0,Z_EXIT: 1.0->0.899; CORR_MIN: 0.202->0.187,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 0.899, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.187, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
13,2026-04-10T15:21:37.133873,False,588485.0,7548794.0,86.1,796,-1103874.0,PAIRS_TIME_STOP: 60->53,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 53, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
14,2026-04-10T15:22:20.976711,False,498943.0,6383922.0,86.2,718,-1103069.0,STRUCT_BREAK_CORR_FLOOR: 0.25->0.281; PAIRS_MAX_POSITIONS: 9->7,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.281, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 7}"
15,2026-04-10T15:23:04.859399,False,593539.0,7314927.0,86.3,845,-1063241.0,Z_EXIT: 1.0->1.064,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
16,2026-04-10T15:23:50.028289,False,539492.0,6574608.0,87.3,660,-1063564.0,PAIRS_MAX_Z_ENTRY: 5.037->4.795; PAIRS_MIN_Z_ENTRY: 1.5->1.748,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.748, ""PAIRS_MAX_Z_ENTRY"": 4.795, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
17,2026-04-10T15:24:33.759522,False,488810.0,7967344.0,87.1,821,-1419502.0,SCALE_CONC_CAP: 0.15->0.179; STRUCT_BREAK_Z_MULT: 1.5->1.67,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.67, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.179, ""PAIRS_MAX_POSITIONS"": 9}"
18,2026-04-10T15:25:17.204195,False,591239.0,7285220.0,86.3,845,-1063042.0,STRUCT_BREAK_CORR_FLOOR: 0.25->0.268,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.268, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
19,2026-04-10T15:26:00.550081,False,566575.0,8761140.0,86.3,846,-1334308.0,SCALE_CONC_CAP: 0.15->0.173; MAX_COMPOUND_SCALE: 2.5->2.861,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.861, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.173, ""PAIRS_MAX_POSITIONS"": 9}"
20,2026-04-10T15:26:46.391796,False,592581.0,7396422.0,85.9,866,-1072331.0,PAIRS_MAX_POSITIONS: 9->10,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 10}"
21,2026-04-10T15:27:30.274631,False,416026.0,8702628.0,86.3,847,-1805362.0,PAIRS_TIME_STOP: 60->70; SCALE_CONC_CAP: 0.15->0.214,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 70, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.214, ""PAIRS_MAX_POSITIONS"": 9}"
22,2026-04-10T15:28:15.316353,False,560953.0,7134875.0,83.6,922,-1063612.0,STRUCT_BREAK_Z_MULT: 1.5->1.2,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.064, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.2, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
23,2026-04-10T15:28:59.695070,False,412797.0,5351468.0,85.7,671,-1110916.0,PAIRS_MIN_Z_ENTRY: 1.5->1.529; Z_EXIT: 1.064->0.826,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 0.826, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.529, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
