Ticker,Date,Dividends,Stock Splits
SYNGENE,2023-06-29,1.25,0.0
SYNGENE,2024-06-27,1.25,0.0
SYNGENE,2025-06-26,1.25,0.0
BIOCON,2023-07-06,1.5,0.0
BIOCON,2024-07-04,0.5,0.0
BIOCON,2025-07-03,0.5,0.0
BHEL,2023-08-10,0.4,0.0
BHEL,2024-08-08,0.25,0.0
BHEL,2025-07-31,0.5,0.0
APOLLOHOSP,2023-08-17,9.0,0.0
APOLLOHOSP,2024-02-19,6.0,0.0
APOLLOHOSP,2024-08-15,10.0,0.0
APOLLOHOSP,2025-02-13,9.0,0.0
APOLLOHOSP,2025-08-18,10.0,0.0
APOLLOHOSP,2026-02-15,10.0,0.0
LT,2023-08-01,30.0,0.0
LT,2024-06-19,28.0,0.0
LT,2025-06-02,34.0,0.0
HUDCO,2023-09-07,3.1,0.0
HUDCO,2024-03-27,1.5,0.0
HUDCO,2024-09-12,2.65,0.0
HUDCO,2025-01-29,2.05,0.0
HUDCO,2025-03-12,1.05,0.0
HUDCO,2025-08-13,1.15,0.0
HUDCO,2025-09-07,1.05,0.0
HUDCO,2025-11-18,1.0,0.0
HUDCO,2026-02-05,1.15,0.0
HUDCO,2026-03-26,1.25,0.0
NMDC,2023-08-30,0.95,0.0
NMDC,2024-02-26,1.916667,0.0
NMDC,2024-09-16,0.5,0.0
NMDC,2024-12-26,0.0,3.0
NMDC,2025-03-20,2.3,0.0
NMDC,2025-08-13,1.0,0.0
NMDC,2026-02-12,2.5,0.0
PIIND,2023-08-10,5.5,0.0
PIIND,2024-02-20,6.0,0.0
PIIND,2024-08-19,9.0,0.0
PIIND,2025-02-13,6.0,0.0
PIIND,2025-08-06,10.0,0.0
PIIND,2026-02-22,5.0,0.0
JINDALSTEL,2023-08-17,2.0,0.0
JINDALSTEL,2024-08-21,2.0,0.0
JINDALSTEL,2025-08-21,2.0,0.0
BANKINDIA,2023-06-19,2.0,0.0
BANKINDIA,2024-06-17,2.8,0.0
BANKINDIA,2025-06-19,4.05,0.0
ASIANPAINT,2023-06-08,21.25,0.0
ASIANPAINT,2023-11-02,5.15,0.0
ASIANPAINT,2024-06-10,28.15,0.0
ASIANPAINT,2024-11-18,4.25,0.0
ASIANPAINT,2025-06-09,20.55,0.0
ASIANPAINT,2025-11-17,4.5,0.0
HINDALCO,2023-08-13,3.0,0.0
HINDALCO,2024-08-08,3.5,0.0
HINDALCO,2025-08-07,5.0,0.0
BDL,2023-09-19,0.6,0.0
BDL,2024-04-01,4.425,0.0
BDL,2024-05-23,0.0,2.0
BDL,2024-09-22,0.85,0.0
BDL,2025-02-13,4.0,0.0
BDL,2025-09-18,0.65,0.0
BDL,2026-02-08,4.5,0.0
GRASIM,2023-08-10,9.960395,0.0
GRASIM,2024-08-05,10.0,0.0
GRASIM,2025-08-11,10.0,0.0
IRFC,2023-09-14,0.7,0.0
IRFC,2023-11-09,0.8,0.0
IRFC,2024-08-21,0.7,0.0
IRFC,2024-11-11,0.8,0.0
IRFC,2025-03-20,0.8,0.0
IRFC,2025-10-23,1.05,0.0
IRFC,2026-03-12,1.05,0.0
ADANIPORTS,2023-07-27,5.0,0.0
ADANIPORTS,2024-06-13,6.0,0.0
ADANIPORTS,2025-06-12,7.0,0.0
PNB,2023-06-22,0.65,0.0
PNB,2024-06-20,1.5,0.0
PNB,2025-06-19,2.9,0.0
SHRIRAMFIN,2023-06-15,4.0,0.0
SHRIRAMFIN,2023-11-05,4.0,0.0
SHRIRAMFIN,2024-02-05,2.0,0.0
SHRIRAMFIN,2024-07-22,3.0,0.0
SHRIRAMFIN,2024-11-06,4.4,0.0
SHRIRAMFIN,2025-01-09,0.0,5.0
SHRIRAMFIN,2025-01-30,2.5,0.0
SHRIRAMFIN,2025-07-10,3.0,0.0
SHRIRAMFIN,2025-11-06,4.8,0.0
DABUR,2023-07-20,2.7,0.0
DABUR,2023-11-09,2.75,0.0
DABUR,2024-07-18,2.75,0.0
DABUR,2024-11-07,2.75,0.0
DABUR,2025-07-17,5.25,0.0
DABUR,2025-11-06,2.75,0.0
VOLTAS,2023-06-08,4.25,0.0
VOLTAS,2024-06-24,5.5,0.0
VOLTAS,2025-06-19,7.0,0.0
UNITDSPR,2024-07-11,5.0,0.0
UNITDSPR,2025-04-02,4.0,0.0
UNITDSPR,2025-07-31,8.0,0.0
UNITDSPR,2026-01-26,6.0,0.0
TATACONSUM,2023-05-18,8.346259,0.0
TATACONSUM,2024-05-23,7.654853,0.0
TATACONSUM,2025-05-28,8.25,0.0
BEL,2023-08-16,0.6,0.0
BEL,2024-02-08,0.7,0.0
