pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win,shares_a,shares_b,entry_spread,exit_spread
LICHSGFIN/PFC,PAIRS,2024-05-03,2024-05-06,3,BUY_A,-2.563,-1.322,168679.0,20242.0,148438.0,INTRADAY,True,3000,3900,,
LICHSGFIN/PFC,PAIRS,2024-05-24,2024-06-04,11,BUY_A,-2.745,-1.313,186037.0,22324.0,163713.0,INTRADAY,True,3000,3900,,
TATAPOWER/NHPC,PAIRS,2024-05-31,2024-06-04,4,BUY_A,-2.648,-1.439,580526.0,69663.0,510863.0,INTRADAY,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2024-06-19,2024-06-27,8,BUY_A,-2.511,-1.248,68844.0,8261.0,60583.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2024-06-18,2024-07-10,22,BUY_A,-3.087,-1.333,66100.0,7932.0,58168.0,INTRADAY,True,350,34875,,
TATAPOWER/NHPC,PAIRS,2024-07-11,2024-07-19,8,BUY_A,-2.771,-1.533,267127.0,32055.0,235072.0,INTRADAY,True,7250,51200,,
NMDC/COALINDIA,PAIRS,2024-07-16,2024-07-23,7,BUY_A,-2.543,-1.599,250762.0,30091.0,220671.0,INTRADAY,True,45000,12600,,
NMDC/COALINDIA,PAIRS,2024-08-01,2024-09-02,32,BUY_A,-2.576,-1.367,-203897.0,24468.0,-228364.0,TIME_STOP,False,45000,12600,,
LT/GMRAIRPORT,PAIRS,2024-10-07,2024-10-10,3,SELL_A,3.123,1.427,162122.0,19455.0,142667.0,INTRADAY,True,350,34875,,
LT/GMRAIRPORT,PAIRS,2024-10-21,2024-11-19,29,SELL_A,2.966,1.06,-22611.0,2713.0,-25324.0,INTRADAY,False,350,34875,,
NMDC/COALINDIA,PAIRS,2024-10-28,2024-11-27,30,SELL_A,3.244,1.427,-98859.0,11863.0,-110722.0,TIME_STOP,False,45000,12600,,
ICICIBANK/HDFCBANK,PAIRS,2024-12-04,2024-12-13,9,BUY_A,-2.653,-1.503,54668.0,6560.0,48108.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2025-01-13,2025-01-17,4,SELL_A,3.377,1.16,203123.0,24375.0,178749.0,INTRADAY,True,350,34875,,
