Symbol_A,Symbol_B,Live_A,Live_B,Live_Ratio,Mean,Std,Z_Score,Correlation_60D,Correlation_20D,Hist_Range,Win_Rate,Avg_Return,Total_Trades,Avg_Duration,Sector,Signal,Direction
PFC,RECLTD,410.1,353.8,1.1591,1.0227,0.0404,3.38,0.66,0.31,0.8082-1.1637,85.7,2.26,7,18.4,Power Finance,SELL PFC / BUY RECLTD,SHORT
TATASTEEL,JSWSTEEL,210.11,1247.3,0.1685,0.1543,0.0057,2.48,0.85,0.89,0.1324-0.2009,90.0,1.56,10,19.9,Metals - Steel,SELL TATASTEEL / BUY JSWSTEEL,SHORT
