pair,sector,tier,win_rate,trades,avg_return,avg_days,max_dd,lookback,z_entry,z_stop,time_stop,score,overall_corr,recent_corr,data_days,data_years
CGPOWER/CROMPTON,Capital Goods,2,83.3,12,2.95,11.4,-14.19,30,2.0,3.5,30,851.3,0.359,0.453,295,1.2
GAIL/ONGC,Oil & Gas,1,90.9,11,2.8,14.9,-9.86,30,2.0,3.5,30,844.1,0.506,0.679,493,3.0
AXISBANK/RBLBANK,Private Banks,2,81.8,22,2.19,15.6,-17.2,30,2.0,3.5,30,840.3,0.408,0.357,743,3.0
BIOCON/LUPIN,Pharma,2,80.0,10,3.29,23.7,-11.03,60,2.0,3.5,30,832.3,0.393,0.31,496,2.0
TATASTEEL/SAIL,Metals - Steel,2,82.1,28,1.83,14.5,-12.89,30,2.0,3.5,30,795.0,0.765,0.784,743,3.0
PIIND/SRF,Chemicals,2,85.7,7,3.26,15.0,-1.68,30,2.0,3.5,30,739.2,0.454,0.44,246,1.0
SUNPHARMA/TORNTPHARM,Pharma,1,100.0,8,2.58,15.6,0.14,30,2.0,3.5,30,729.7,0.419,0.431,250,1.0
SBIN/BANKBARODA,PSU Banks,2,86.7,15,2.14,15.1,-6.44,30,2.0,3.5,30,718.6,0.77,0.648,500,2.0
MARICO/TATACONSUM,FMCG,1,100.0,8,2.52,10.1,0.16,30,2.0,3.5,30,712.8,0.458,0.566,246,1.0
POLYCAB/VOLTAS,Capital Goods,2,80.0,5,3.83,14.0,-1.82,60,2.0,3.5,30,685.1,0.31,0.479,246,1.0
SBIN/BANKINDIA,PSU Banks,2,80.0,5,3.79,24.8,-1.08,60,2.0,3.5,30,678.0,0.684,0.79,295,1.2
BANDHANBNK/IDFCFIRSTB,Private Banks,2,80.0,10,2.55,16.8,-11.67,60,2.0,3.5,30,645.1,0.511,0.495,496,2.0
POWERGRID/TATAPOWER,Power & Utilities,2,88.9,18,1.68,14.5,-4.76,30,2.0,3.5,30,633.6,0.617,0.617,494,2.0
TATAPOWER/NHPC,Power & Utilities,2,83.3,6,3.08,18.5,-3.26,60,2.0,3.5,30,628.5,0.715,0.683,295,1.2
TATAPOWER/JSWENERGY,Power & Utilities,1,100.0,4,3.12,25.2,0.51,60,2.0,3.5,30,624.0,0.644,0.591,295,1.2
