Pair,SymA,SymB,Days,ADF_p,Coint_p,Hurst,HalfLife,Corr,R2,Z_30d,Passes,Sector
ABB/CROMPTON,ABB,CROMPTON,551,0.2421,0.3417,1.0014,51.2,0.206,0.677,0.21,False,CAPITAL_GOODS
ABB/VOLTAS,ABB,VOLTAS,551,0.1339,0.4413,1.0317,42.4,0.207,0.745,0.47,False,CAPITAL_GOODS
ABB/DIXON,ABB,DIXON,309,0.7895,0.7817,1.0212,138.8,0.426,0.069,0.71,False,CAPITAL_GOODS
SIEMENS/CGPOWER,SIEMENS,CGPOWER,300,0.2468,0.3035,0.9898,49.8,0.46,0.013,-1.63,False,CAPITAL_GOODS
SIEMENS/BHEL,SIEMENS,BHEL,501,0.8086,0.9442,1.0135,220.6,0.455,0.09,1.31,False,CAPITAL_GOODS
SIEMENS/CUMMINSIND,SIEMENS,CUMMINSIND,743,0.9125,0.9344,1.0224,641.8,0.484,0.092,-0.53,False,CAPITAL_GOODS
SIEMENS/HAVELLS,SIEMENS,HAVELLS,743,0.5351,0.3629,1.0077,123.9,0.339,0.615,0.39,False,CAPITAL_GOODS
SIEMENS/POLYCAB,SIEMENS,POLYCAB,497,0.3123,0.4837,0.9996,59.8,0.415,0.773,-0.47,False,CAPITAL_GOODS
SIEMENS/CROMPTON,SIEMENS,CROMPTON,743,0.2593,0.3162,1.0052,72.0,0.191,0.651,-0.88,False,CAPITAL_GOODS
SIEMENS/VOLTAS,SIEMENS,VOLTAS,743,0.6284,0.8605,1.0176,145.1,0.197,0.399,-0.77,False,CAPITAL_GOODS
SIEMENS/DIXON,SIEMENS,DIXON,501,0.6379,0.8863,1.0169,196.6,0.372,0.038,-0.31,False,CAPITAL_GOODS
SIEMENS/KEI,SIEMENS,KEI,300,0.357,0.3347,1.0131,44.2,0.352,0.021,-0.82,False,CAPITAL_GOODS
CGPOWER/BHEL,CGPOWER,BHEL,300,0.5408,0.4902,1.0144,45.0,0.566,0.096,2.45,False,CAPITAL_GOODS
CGPOWER/CUMMINSIND,CGPOWER,CUMMINSIND,300,0.7613,0.3768,0.99,78.6,0.487,0.179,1.37,False,CAPITAL_GOODS
CGPOWER/HAVELLS,CGPOWER,HAVELLS,300,0.3133,0.5299,1.0079,26.5,0.447,0.188,1.33,False,CAPITAL_GOODS
CGPOWER/CROMPTON,CGPOWER,CROMPTON,300,0.7299,0.4751,0.974,81.9,0.361,0.035,0.33,False,CAPITAL_GOODS
CGPOWER/VOLTAS,CGPOWER,VOLTAS,300,0.3736,0.463,1.0093,23.3,0.359,0.157,0.59,False,CAPITAL_GOODS
CGPOWER/DIXON,CGPOWER,DIXON,300,0.7651,0.3591,1.0319,54.5,0.485,0.467,1.1,False,CAPITAL_GOODS
CGPOWER/KEI,CGPOWER,KEI,300,0.4087,0.4276,1.0304,29.8,0.442,0.274,0.66,False,CAPITAL_GOODS
BHEL/CUMMINSIND,BHEL,CUMMINSIND,501,0.0601,0.2746,0.9892,28.5,0.549,0.356,-1.76,False,CAPITAL_GOODS
BHEL/HAVELLS,BHEL,HAVELLS,501,0.352,0.3746,0.9854,44.8,0.453,0.221,-0.99,False,CAPITAL_GOODS
BHEL/POLYCAB,BHEL,POLYCAB,255,0.415,0.9702,0.9944,36.6,0.56,0.119,1.3,False,CAPITAL_GOODS
BHEL/CROMPTON,BHEL,CROMPTON,501,0.7673,0.6679,0.9927,111.7,0.324,0.066,-2.51,False,CAPITAL_GOODS
BHEL/VOLTAS,BHEL,VOLTAS,501,0.206,0.3578,1.0191,38.1,0.304,0.039,-2.07,False,CAPITAL_GOODS
BHEL/DIXON,BHEL,DIXON,501,0.2869,0.1449,1.02,80.5,0.477,0.099,-2.14,False,CAPITAL_GOODS
BHEL/KEI,BHEL,KEI,300,0.416,0.6475,1.0203,33.5,0.426,0.241,-2.55,False,CAPITAL_GOODS
CUMMINSIND/HAVELLS,CUMMINSIND,HAVELLS,743,0.9555,0.9731,1.026,7032.6,0.307,0.428,0.78,False,CAPITAL_GOODS
CUMMINSIND/POLYCAB,CUMMINSIND,POLYCAB,497,0.4991,0.6721,1.0053,71.3,0.336,0.719,1.15,False,CAPITAL_GOODS
CUMMINSIND/CROMPTON,CUMMINSIND,CROMPTON,748,0.9748,0.976,0.9963,9955.4,0.246,0.122,-0.75,False,CAPITAL_GOODS
CUMMINSIND/VOLTAS,CUMMINSIND,VOLTAS,748,0.3538,0.6969,1.0216,70.6,0.247,0.68,-0.43,False,CAPITAL_GOODS
CUMMINSIND/DIXON,CUMMINSIND,DIXON,501,0.7038,0.7934,1.0082,142.9,0.379,0.047,0.02,False,CAPITAL_GOODS
CUMMINSIND/KEI,CUMMINSIND,KEI,300,0.2877,0.6593,1.0221,27.8,0.328,0.429,-0.61,False,CAPITAL_GOODS
HAVELLS/POLYCAB,HAVELLS,POLYCAB,497,0.2345,0.4182,1.011,55.9,0.34,0.757,0.87,False,CAPITAL_GOODS
HAVELLS/CROMPTON,HAVELLS,CROMPTON,743,0.1732,0.041,1.001,37.5,0.423,0.751,-2.54,False,CAPITAL_GOODS
HAVELLS/VOLTAS,HAVELLS,VOLTAS,743,0.7356,0.5445,1.041,173.5,0.419,0.697,-1.76,False,CAPITAL_GOODS
HAVELLS/DIXON,HAVELLS,DIXON,501,0.2303,0.6933,1.0072,93.9,0.429,0.001,-1.14,False,CAPITAL_GOODS
HAVELLS/KEI,HAVELLS,KEI,300,0.7152,0.1754,1.0091,96.6,0.566,0.001,-1.67,False,CAPITAL_GOODS
POLYCAB/CROMPTON,POLYCAB,CROMPTON,497,0.1264,0.2298,1.001,40.8,0.236,0.669,-0.79,False,CAPITAL_GOODS
POLYCAB/VOLTAS,POLYCAB,VOLTAS,497,0.3655,0.3406,1.0147,64.8,0.206,0.718,0.91,False,CAPITAL_GOODS
POLYCAB/DIXON,POLYCAB,DIXON,255,0.8397,0.7718,0.9627,133.9,0.492,0.586,-0.82,False,CAPITAL_GOODS
CROMPTON/VOLTAS,CROMPTON,VOLTAS,748,0.5885,0.8555,1.0236,110.2,0.336,0.475,0.58,False,CAPITAL_GOODS
CROMPTON/DIXON,CROMPTON,DIXON,501,0.2215,0.9359,1.0371,83.1,0.37,0.03,1.26,False,CAPITAL_GOODS
CROMPTON/KEI,CROMPTON,KEI,300,0.7166,0.4261,1.0347,124.3,0.348,0.063,0.38,False,CAPITAL_GOODS
VOLTAS/DIXON,VOLTAS,DIXON,501,0.2782,0.614,1.0371,75.0,0.325,0.151,0.56,False,CAPITAL_GOODS
VOLTAS/KEI,VOLTAS,KEI,300,0.1609,0.319,0.9962,25.9,0.306,0.255,-0.2,False,CAPITAL_GOODS
DIXON/KEI,DIXON,KEI,300,0.9053,0.9187,1.0383,96.0,0.412,0.02,-1.02,False,CAPITAL_GOODS
