strategy,symbol,entry_date,exit_date,pnl_pct,pnl_rupees,entry_premium,exit_premium,days_held,pnl_leg_a,pnl_leg_b,direction
EXPIRY_CONV,HINDZINC,2026-01-23,2026-01-27,0.4118,3525.0,-0.508,-0.096,4,,,
EXPIRY_CONV,HUDCO,2025-01-27,2025-01-30,1.0815,5500.0,-1.206,-0.125,3,,,
EXPIRY_CONV,HUDCO,2025-06-23,2025-06-26,0.281,1581.0,0.306,0.025,3,,,
EXPIRY_CONV,IDFCFIRSTB,2025-02-24,2025-02-27,0.3335,1498.0,0.367,0.034,3,,,
EXPIRY_CONV,INDIANB,2025-01-27,2025-01-30,1.0165,4814.0,-0.842,0.174,3,,,
EXPIRY_CONV,INDUSINDBK,2025-03-24,2025-03-27,0.5153,1725.0,0.515,0.0,3,,,
EXPIRY_CONV,INOXWIND,2025-05-26,2025-05-29,0.975,5994.0,-0.782,0.193,3,,,
EXPIRY_CONV,IREDA,2025-03-24,2025-03-27,3.0279,14931.0,-2.805,0.223,3,,,
EXPIRY_CONV,IREDA,2025-12-26,2025-12-30,0.4694,2283.0,0.426,-0.044,4,,,
EXPIRY_CONV,IRFC,2025-01-27,2025-01-30,0.7401,3576.0,-0.511,0.229,3,,,
EXPIRY_CONV,JSWENERGY,2026-01-23,2026-01-27,0.416,1987.0,-0.45,-0.034,4,,,
EXPIRY_CONV,JSWSTEEL,2025-11-21,2025-11-25,0.28,2155.0,-0.307,-0.027,4,,,
EXPIRY_CONV,JUBLFOOD,2025-02-24,2025-02-27,0.0205,173.0,0.319,0.298,3,,,
EXPIRY_CONV,JUBLFOOD,2026-01-23,2026-01-27,0.5899,3632.0,0.457,-0.133,4,,,
EXPIRY_CONV,KALYANKJIL,2025-04-21,2025-04-24,0.2636,1081.0,0.321,0.058,3,,,
EXPIRY_CONV,KALYANKJIL,2025-05-26,2025-05-29,0.299,1317.0,0.317,0.018,3,,,
EXPIRY_CONV,KEI,2025-01-27,2025-01-30,0.7324,4393.0,-0.369,0.364,3,,,
EXPIRY_CONV,KEI,2025-10-24,2025-10-28,0.2855,2061.0,0.32,0.034,4,,,
EXPIRY_CONV,KFINTECH,2025-09-26,2025-09-30,1.4584,7027.0,-1.373,0.086,4,,,
EXPIRY_CONV,KFINTECH,2025-11-21,2025-11-25,0.4421,2119.0,-0.385,0.057,4,,,
EXPIRY_CONV,LICI,2025-07-28,2025-07-31,0.3647,2274.0,0.337,-0.028,3,,,
EXPIRY_CONV,LODHA,2025-05-26,2025-05-29,0.0934,605.0,0.34,0.247,3,,,
EXPIRY_CONV,LODHA,2025-06-23,2025-06-26,0.2777,1841.0,0.305,0.028,3,,,
EXPIRY_CONV,LODHA,2025-07-28,2025-07-31,0.357,1933.0,0.341,-0.016,3,,,
EXPIRY_CONV,LTF,2023-03-22,2023-03-28,0.1578,1205.0,0.409,0.251,6,,,
EXPIRY_CONV,LTF,2023-09-25,2023-09-28,0.6788,7526.0,0.402,-0.276,3,,,
EXPIRY_CONV,LTF,2024-03-22,2024-03-28,0.3239,2240.0,0.387,0.063,6,,,
EXPIRY_CONV,LTF,2024-10-28,2024-10-30,0.5021,3187.0,0.366,-0.137,2,,,
EXPIRY_CONV,LTF,2025-01-27,2025-01-30,0.6169,3896.0,-0.374,0.242,3,,,
EXPIRY_CONV,LTF,2025-04-21,2025-04-24,1.027,7848.0,-0.893,0.134,3,,,
EXPIRY_CONV,LTF,2025-05-26,2025-05-29,1.4227,11064.0,-1.44,-0.017,3,,,
EXPIRY_CONV,LTF,2025-07-28,2025-07-31,0.2675,2411.0,0.332,0.064,3,,,
EXPIRY_CONV,NHPC,2025-02-24,2025-02-27,0.1627,804.0,0.311,0.148,3,,,
EXPIRY_CONV,NHPC,2025-03-24,2025-03-27,1.0288,5506.0,-1.017,0.012,3,,,
EXPIRY_CONV,NHPC,2025-12-26,2025-12-30,0.6118,3068.0,0.357,-0.255,4,,,
EXPIRY_CONV,NIFTY,2024-03-22,2024-03-28,0.2419,2673.0,0.311,0.069,6,,,
EXPIRY_CONV,NYKAA,2025-04-21,2025-04-24,-0.017,-96.0,0.317,0.334,3,,,
EXPIRY_CONV,NYKAA,2025-06-23,2025-06-26,0.2776,1667.0,0.427,0.15,3,,,
EXPIRY_CONV,NYKAA,2025-09-26,2025-09-30,0.3729,2687.0,0.369,-0.004,4,,,
EXPIRY_CONV,OIL,2025-01-27,2025-01-30,0.1169,511.0,0.344,0.227,3,,,
EXPIRY_CONV,OIL,2025-02-24,2025-02-27,0.2325,947.0,0.383,0.15,3,,,
EXPIRY_CONV,OIL,2025-06-23,2025-06-26,0.3162,1605.0,0.339,0.023,3,,,
EXPIRY_CONV,PATANJALI,2025-03-24,2025-03-27,0.3059,1649.0,0.34,0.034,3,,,
EXPIRY_CONV,PATANJALI,2025-06-23,2025-06-26,0.5468,2649.0,0.359,-0.188,3,,,
EXPIRY_CONV,PATANJALI,2025-09-26,2025-09-30,0.5487,2909.0,0.306,-0.243,4,,,
EXPIRY_CONV,PATANJALI,2026-01-23,2026-01-27,-0.3534,-1627.0,-0.332,-0.686,4,,,
EXPIRY_CONV,PFC,2023-12-22,2023-12-28,0.271,4063.0,0.349,0.078,6,,,
EXPIRY_CONV,PGEL,2025-08-25,2025-08-28,0.4342,1775.0,0.351,-0.083,3,,,
EXPIRY_CONV,PHOENIXLTD,2025-05-26,2025-05-29,0.4144,2316.0,0.319,-0.095,3,,,
EXPIRY_CONV,PIIND,2025-09-26,2025-09-30,0.5548,3386.0,0.353,-0.202,4,,,
EXPIRY_CONV,PIIND,2025-11-21,2025-11-25,0.4746,2847.0,-0.315,0.159,4,,,
EXPIRY_CONV,PNBHOUSING,2025-09-26,2025-09-30,0.2777,1560.0,0.324,0.046,4,,,
EXPIRY_CONV,POLICYBZR,2025-03-24,2025-03-27,0.5665,3088.0,-0.393,0.173,3,,,
EXPIRY_CONV,POLICYBZR,2026-01-23,2026-01-27,0.0592,347.0,-0.305,-0.245,4,,,
EXPIRY_CONV,PRESTIGE,2025-12-26,2025-12-30,0.4701,3405.0,0.304,-0.166,4,,,
EXPIRY_CONV,PRESTIGE,2026-01-23,2026-01-27,0.3384,2115.0,-0.324,0.014,4,,,
EXPIRY_CONV,RECLTD,2025-03-24,2025-03-27,0.7188,3195.0,-0.765,-0.046,3,,,
EXPIRY_CONV,RECLTD,2025-05-26,2025-05-29,0.1236,503.0,0.307,0.184,3,,,
EXPIRY_CONV,RECLTD,2025-10-24,2025-10-28,1.5043,7146.0,-1.369,0.136,4,,,
EXPIRY_CONV,SAMMAANCAP,2023-02-20,2023-02-23,1.0314,4600.0,1.031,0.0,3,,,
