symbol,win,pnl_pct,pnl_inr,dte_to_exit
CIPLA,False,-1.2733,-12512.0,3
CIPLA,False,-1.5974,-15697.0,3
CIPLA,True,0.7673,7540.0,2
CIPLA,False,-1.5677,-15405.0,3
CIPLA,True,2.0241,19890.0,3
COALINDIA,True,2.4061,19110.0,6
COALINDIA,True,6.5706,52185.0,3
COALINDIA,True,0.3834,3045.0,7
COALINDIA,False,-0.4759,-3780.0,6
COLPAL,True,5.3426,40775.0,3
COLPAL,True,0.0986,752.0,3
COLPAL,False,-1.08,-8242.0,3
COLPAL,False,-2.1049,-16065.0,3
COLPAL,True,0.6008,4585.0,4
COLPAL,True,0.2797,2135.0,6
COLPAL,True,0.1317,586.0,3
COLPAL,True,1.1518,5060.0,2
COLPAL,True,0.4582,1932.0,3
CONCOR,True,2.279,11650.0,5
CONCOR,True,0.3244,2700.0,5
CROMPTON,True,0.1496,600.0,3
CROMPTON,True,0.5237,2100.0,5
CROMPTON,True,12.8296,51450.0,1
CROMPTON,True,2.3939,9600.0,1
CROMPTON,False,-0.4114,-1650.0,1
CROMPTON,True,0.6359,3060.0,3
CROMPTON,True,0.8042,3870.0,3
CROMPTON,False,-4.6755,-22500.0,3
CROMPTON,False,-2.8053,-13500.0,3
CROMPTON,False,-0.1496,-720.0,6
CROMPTON,False,-1.3278,-6390.0,3
CROMPTON,True,1.571,7560.0,5
CROMPTON,False,0.0,0.0,0
CUMMINSIND,True,0.3157,2450.0,3
DABUR,False,-0.6885,-4438.0,3
DABUR,True,0.3297,2125.0,5
DABUR,False,-0.8436,-5437.0,3
DABUR,False,-1.3284,-8563.0,3
DABUR,False,-0.1745,-1125.0,1
DABUR,False,-1.1927,-7687.0,3
DABUR,True,0.2133,1375.0,3
DABUR,True,1.2702,8187.0,3
DABUR,True,0.5818,3750.0,2
DABUR,False,-0.3685,-2375.0,6
DABUR,True,0.2182,1443.0,5
DABUR,True,2.6278,16937.0,3
DABUR,True,0.2814,1689.0,1
DABUR,True,0.5564,3631.0,1
DABUR,True,0.3278,2000.0,3
DALBHARAT,True,0.2478,1224.0,1
DALBHARAT,False,-0.0068,-33.0,3
DALBHARAT,True,0.062,296.0,3
DELHIVERY,True,0.7131,3175.0,2
DELHIVERY,True,0.9512,5259.0,1
DIVISLAB,False,0.0,0.0,0
DIXON,False,-1.0518,-15740.0,3
DIXON,False,-0.8453,-12650.0,3
DIXON,True,0.3964,2783.0,1
DIXON,True,0.3989,3008.0,3
DIXON,True,0.4816,3509.0,3
DLF,False,0.0,0.0,0
DLF,True,2.8676,17160.0,3
DMART,True,0.2226,1192.0,1
DMART,True,0.3611,2242.0,2
DMART,True,0.2848,1800.0,4
DMART,True,0.2957,1680.0,3
DRREDDY,True,0.6491,4859.0,2
DRREDDY,True,0.2076,1571.0,3
DRREDDY,True,0.5654,4396.0,3
ETERNAL,True,0.282,1321.0,3
EXIDEIND,False,0.0,0.0,0
EXIDEIND,False,-2.2246,-30060.0,3
EXIDEIND,False,0.0,0.0,0
FEDERALBNK,True,0.2637,2390.0,1
GAIL,False,-0.6558,-5490.0,5
GLENMARK,True,0.2657,3553.0,3
GLENMARK,False,-1.9358,-25883.0,3
GMRAIRPORT,True,0.4432,3921.0,5
GMRAIRPORT,True,0.6386,6336.0,3
GMRAIRPORT,True,0.213,2252.0,1
GODREJCP,True,0.28,3150.0,9
GODREJCP,False,-1.3109,-14750.0,2
GODREJCP,True,0.9909,11150.0,3
GODREJCP,True,0.5377,6050.0,1
GODREJCP,False,-0.4577,-5150.0,3
GODREJCP,False,-1.9152,-21550.0,3
GODREJCP,True,1.1465,12900.0,3
GODREJCP,False,-1.4531,-16350.0,3
GODREJCP,False,-0.0444,-250.0,6
GODREJCP,False,-0.4844,-2725.0,3
GODREJCP,False,-2.2485,-12650.0,6
GODREJCP,False,-1.1065,-6225.0,3
GODREJCP,True,1.2442,7000.0,9
GODREJPROP,True,1.5998,15889.0,6
GODREJPROP,True,0.2295,2150.0,4
GODREJPROP,False,-0.5357,-5320.0,5
GODREJPROP,False,-0.2583,-2565.0,7
GODREJPROP,False,-2.1115,-20971.0,6
GRASIM,False,-2.0678,-26974.0,3
GRASIM,True,4.6311,60412.0,3
GRASIM,True,0.4589,3138.0,3
GRASIM,True,2.6839,18350.0,3
HAVELLS,False,0.0,0.0,0
HAVELLS,True,0.8258,5950.0,3
HAVELLS,False,-0.1943,-1400.0,1
HAVELLS,True,0.8466,6100.0,3
HAVELLS,True,4.3682,31475.0,3
HAVELLS,False,-1.7174,-12375.0,3
HAVELLS,False,-1.4399,-10375.0,3
HAVELLS,True,0.5482,3950.0,6
HAVELLS,False,-5.9399,-42800.0,5
HCLTECH,True,0.3358,3780.0,5
HCLTECH,False,-0.5877,-6615.0,3
HCLTECH,False,-0.8302,-9345.0,6
HCLTECH,True,2.2637,25480.0,3
HCLTECH,True,1.0821,6090.0,3
HCLTECH,True,1.7879,10062.0,1
HCLTECH,False,-1.9652,-11060.0,3
