pair,strategy,hl,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win,shares_a,shares_b
LICHSGFIN/PFC,PAIRS,42.3,2025-08-06,2025-08-21,15,BUY_A,-2.688,-0.611,50471.0,6057.0,44415.0,INTRADAY,True,3000,3900
HINDUNILVR_CAL,CALENDAR,,2025-09-02,2025-09-03,1,BUY_CAL,-2.872,-0.578,360.0,43.0,317.0,INTRADAY,True,300,300
KOTAKBANK_CAL,CALENDAR,,2025-09-09,2025-09-10,1,BUY_CAL,-2.566,-1.619,140.0,17.0,123.0,INTRADAY,True,400,400
HINDUNILVR_CAL,CALENDAR,,2025-09-10,2025-09-11,1,BUY_CAL,-3.117,-2.873,-45.0,5.0,-50.0,INTRADAY,False,300,300
HINDUNILVR_CAL,CALENDAR,,2025-09-30,2025-10-01,1,BUY_CAL,-5.371,-4.125,-165.0,20.0,-185.0,INTRADAY,False,300,300
HINDUNILVR_CAL,CALENDAR,,2025-10-03,2025-10-06,3,BUY_CAL,-3.465,-2.815,180.0,22.0,158.0,INTRADAY,True,300,300
ULTRA/GRASIM,PAIRS,27.7,2025-10-03,2025-10-14,11,BUY_A,-2.506,-1.292,31125.0,3735.0,27390.0,INTRADAY,True,250,1250
NMDC/COAL,PAIRS,28.0,2025-10-09,2025-10-17,8,SELL_A,2.858,0.157,320814.0,38498.0,282317.0,PROFIT,True,67500,12600
KOTAKBANK_CAL,CALENDAR,,2025-10-20,2025-10-21,1,SELL_CAL,2.702,1.698,180.0,22.0,158.0,INTRADAY,True,400,400
ICICIB/HDFC,PAIRS,124.0,2025-10-20,2025-11-13,24,BUY_A,-2.842,-0.469,23409.0,2809.0,20600.0,INTRADAY,True,1400,2750
ULTRA/GRASIM,PAIRS,27.7,2025-10-24,2025-11-06,13,BUY_A,-2.701,0.352,174500.0,20940.0,153560.0,PROFIT,True,250,1250
AXISBANK_CAL,CALENDAR,,2025-10-28,2025-10-29,1,SELL_CAL,3.001,2.851,-62.0,7.0,-70.0,INTRADAY,False,625,625
LICHSGFIN/PFC,PAIRS,42.3,2025-10-28,2025-10-30,2,SELL_A,2.552,-0.214,85985.0,10318.0,75667.0,PROFIT,True,3000,3900
LICHSGFIN/PFC,PAIRS,42.3,2025-11-10,2025-11-21,11,SELL_A,2.68,0.646,41609.0,4993.0,36616.0,INTRADAY,True,3000,3900
LT/GMRAIRPORT,PAIRS,35.0,2025-11-18,2025-12-08,20,BUY_A,-4.448,-0.5,98811.0,11857.0,86954.0,INTRADAY,True,350,34875
KOTAKBANK_CAL,CALENDAR,,2025-12-30,2025-12-31,1,BUY_CAL,-2.568,0.378,880.0,106.0,774.0,PROFIT,True,400,400
AXISBANK_CAL,CALENDAR,,2025-12-31,2026-01-01,1,BUY_CAL,-3.321,-1.311,281.0,34.0,248.0,INTRADAY,True,625,625
KOTAKBANK_CAL,CALENDAR,,2026-01-01,2026-01-02,1,BUY_CAL,-2.627,2.765,1840.0,221.0,1619.0,PROFIT,True,400,400
ICICIB/HDFC,PAIRS,124.0,2026-01-06,2026-02-03,28,SELL_A,4.059,0.931,25559.0,3067.0,22492.0,INTRADAY,True,1400,2750
LICHSGFIN/PFC,PAIRS,42.3,2026-01-12,2026-01-20,8,BUY_A,-2.858,-1.266,53359.0,6403.0,46956.0,INTRADAY,True,3000,3900
AXISBANK_CAL,CALENDAR,,2026-01-13,2026-01-14,1,BUY_CAL,-2.664,-1.225,281.0,34.0,248.0,INTRADAY,True,625,625
KOTAKBANK_CAL,CALENDAR,,2026-01-19,2026-01-20,1,BUY_CAL,-3.116,-0.927,500.0,60.0,440.0,INTRADAY,True,2000,2000
NMDC/COAL,PAIRS,28.0,2026-01-22,2026-02-02,11,BUY_A,-2.664,-0.87,218532.0,26224.0,192308.0,INTRADAY,True,67500,16200
AXISBANK_CAL,CALENDAR,,2026-01-27,2026-01-28,1,SELL_CAL,3.077,-2.811,2875.0,345.0,2530.0,PROFIT,True,625,625
LICHSGFIN/PFC,PAIRS,42.3,2026-01-28,2026-02-27,30,BUY_A,-2.728,-1.019,-77207.0,9265.0,-86471.0,TIME_STOP,False,3000,3900
