symbol,expiry,entry_premium,exit_premium,pnl_pct,pnl_inr,lot,dte,spot
360ONE,2025-10-28,-0.43,-0.273,0.157,931.0,500,4,1185.7
ABB,2023-06-29,-14.157,-14.157,0.0,0.0,250,8,5092.0
ABB,2023-07-27,-11.393,-13.389,-1.9953,-25400.0,250,8,5092.0
ABB,2023-08-31,-14.853,-13.908,0.9446,12025.0,250,7,5092.0
ABB,2023-09-28,-14.704,-14.704,0.0,0.0,250,8,5092.0
ABB,2023-11-30,-14.509,-13.365,1.144,7281.0,125,9,5092.0
ABB,2024-01-25,-6.827,-7.044,-0.217,-1381.0,125,5,5092.0
ABB,2024-02-29,4.086,7.066,-2.9802,-18969.0,125,3,5092.0
ABB,2024-03-28,12.638,12.638,0.0,0.0,125,8,5092.0
ADANIENT,2024-11-28,0.392,0.068,0.3243,2196.0,300,3,2257.5
ADANIGREEN,2025-01-30,-0.501,0.123,0.624,2338.0,375,3,998.95
ADANIPORTS,2024-02-29,-9.62,-10.735,-1.115,-13200.0,800,3,1479.8
ADANIPORTS,2024-03-28,-13.167,-9.116,4.0512,47960.0,800,6,1479.8
ADANIPORTS,2024-04-25,-10.626,-9.998,0.6285,7440.0,800,3,1479.8
ADANIPORTS,2024-05-30,-2.953,-6.639,-3.6863,-21820.0,400,3,1479.8
ADANIPORTS,2024-06-27,-1.439,0.139,1.5779,9340.0,400,3,1479.8
ADANIPORTS,2024-07-25,-1.02,0.27,1.2907,7640.0,400,3,1479.8
ADANIPORTS,2024-09-26,-1.541,-0.615,0.9258,5480.0,400,3,1479.8
ALKEM,2025-02-27,0.317,0.118,0.1986,915.0,100,3,4609.05
ALKEM,2025-03-27,0.377,0.129,0.248,1253.0,100,3,5052.55
AMBER,2025-09-30,-0.588,0.136,0.724,5910.0,100,4,8162.5
AMBER,2025-11-25,-0.403,0.294,0.6972,5017.0,100,4,7196.0
AMBUJACEM,2024-02-29,10.985,10.465,0.5205,5130.0,1800,3,547.55
AMBUJACEM,2024-03-28,7.926,11.725,-3.7987,-37440.0,1800,6,547.55
AMBUJACEM,2024-04-25,12.711,12.711,0.0,0.0,1800,3,547.55
AMBUJACEM,2024-05-30,12.876,12.857,0.0183,90.0,900,12,547.55
AMBUJACEM,2024-08-29,14.848,11.935,2.913,14355.0,900,3,547.55
AMBUJACEM,2024-09-26,13.633,13.935,-0.3013,-1485.0,900,3,547.55
ANGELONE,2025-01-30,-1.317,0.281,1.5984,7073.0,200,3,2212.65
ANGELONE,2025-02-27,-0.339,0.225,0.5642,2565.0,200,3,2273.05
ANGELONE,2025-03-27,-0.32,0.218,0.5378,2555.0,200,3,2374.95
ANGELONE,2025-08-28,0.311,-0.066,0.377,2306.0,250,3,2446.9
ANGELONE,2025-09-30,-1.386,-0.155,1.2308,6573.0,250,4,2136.4
ANGELONE,2025-12-30,0.321,0.183,0.1373,857.0,250,4,2495.8
APOLLOHOSP,2024-02-29,-10.729,-13.925,-3.1965,-29531.0,125,3,7391.0
APOLLOHOSP,2024-03-28,-13.684,-13.949,-0.2659,-2456.0,125,6,7391.0
APOLLOHOSP,2024-04-25,-14.175,-13.809,0.3653,3375.0,125,9,7391.0
APOLLOHOSP,2024-07-25,-13.253,-13.733,-0.4796,-4431.0,125,3,7391.0
APOLLOHOSP,2024-08-29,-8.218,-7.401,0.8172,7550.0,125,3,7391.0
APOLLOHOSP,2024-09-26,-3.109,-3.189,-0.0805,-744.0,125,3,7391.0
ASHOKLEY,2024-11-28,-0.311,-0.142,0.1683,988.0,2500,3,234.91
ASHOKLEY,2025-12-30,-0.309,-0.123,0.186,1624.0,5000,4,174.68
ASHOKLEY,2026-01-27,0.311,0.0,0.3109,3000.0,5000,4,192.98
ASIANPAINT,2023-02-23,-1.863,-6.066,-4.2029,-24180.0,200,3,2876.6
ASIANPAINT,2023-03-29,-2.675,-3.833,-1.1576,-6660.0,200,5,2876.6
ASIANPAINT,2023-04-27,0.508,0.725,-0.2173,-1250.0,200,3,2876.6
ASIANPAINT,2023-05-25,7.45,8.376,-0.9264,-5330.0,200,3,2876.6
ASIANPAINT,2023-06-29,14.847,14.847,0.0,0.0,200,3,2876.6
ASIANPAINT,2023-08-31,13.099,13.172,-0.073,-420.0,200,3,2876.6
ASIANPAINT,2023-09-28,13.627,9.76,3.8674,22250.0,200,6,2876.6
ASIANPAINT,2023-10-26,6.704,2.689,4.0152,23100.0,200,3,2876.6
ASIANPAINT,2023-11-30,8.981,8.713,0.2677,1540.0,200,6,2876.6
ASIANPAINT,2024-01-25,9.111,2.635,6.4764,37260.0,200,5,2876.6
ASIANPAINT,2024-02-29,-0.601,-1.994,-1.3923,-8010.0,200,3,2876.6
ASIANPAINT,2024-03-28,-0.892,-1.079,-0.1877,-1080.0,200,6,2876.6
ASIANPAINT,2024-04-25,-1.187,-0.687,0.5006,2880.0,200,3,2876.6
ASIANPAINT,2024-06-27,0.513,-0.024,0.5371,3090.0,200,3,2876.6
ASIANPAINT,2024-07-25,2.267,0.648,1.6182,9310.0,200,3,2876.6
