SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 02-Mar-2026,174.69,171.38,171.38,163.81,170.98,170.18,169.31,72056,122.0,1978,35943,49.88,2026-03-03
21STCENMGM, EQ, 02-Mar-2026,36.34,35.77,35.77,35.62,35.62,35.62,35.62,7266,2.59,32,7266,100.0,2026-03-03
360ONE, EQ, 02-Mar-2026,1103.6,1055.0,1094.8,1048.2,1068.4,1074.7,1073.26,1837718,19723.57,36059,1220359,66.41,2026-03-03
3IINFOLTD, EQ, 02-Mar-2026,13.94,13.68,13.75,13.5,13.51,13.55,13.62,395280,53.84,1915,278689,70.5,2026-03-03
3MINDIA, EQ, 02-Mar-2026,37505.0,35755.0,36975.0,35005.0,36000.0,35675.0,35966.62,5084,1828.54,2685,2705,53.21,2026-03-03
3PLAND, EQ, 02-Mar-2026,32.68,34.89,34.89,30.7,31.4,31.4,33.38,38006,12.69,313,34609,91.06,2026-03-03
5PAISA, EQ, 02-Mar-2026,319.85,302.0,313.75,302.0,307.0,306.95,308.16,59943,184.72,2057,27312,45.56,2026-03-03
63MOONS, EQ, 02-Mar-2026,602.6,582.0,605.9,580.5,600.0,597.5,593.07,270470,1604.08,17560,144259,53.34,2026-03-03
A2ZINFRA, EQ, 02-Mar-2026,17.87,17.6,17.62,16.98,16.98,16.98,17.01,543035,92.39,465,291280,53.64,2026-03-03
AAATECH, EQ, 02-Mar-2026,102.18,100.5,100.5,97.21,99.5,98.7,99.09,24579,24.35,515,14962,60.87,2026-03-03
AADHARHFC, EQ, 02-Mar-2026,458.95,431.0,455.0,430.15,452.0,452.6,450.1,336468,1514.45,18088,157597,46.84,2026-03-03
AAKASH, EQ, 02-Mar-2026,8.26,8.2,9.5,7.4,8.5,8.33,8.18,306237,25.05,936,203441,66.43,2026-03-03
AAREYDRUGS, EQ, 02-Mar-2026,76.73,74.94,75.0,69.06,69.4,69.67,72.11,122080,88.03,1637,60492,49.55,2026-03-03
AARNAV, EQ, 02-Mar-2026,27.29,26.0,28.3,25.32,26.65,26.67,26.69,22380,5.97,521,16814,75.13,2026-03-03
AARON, EQ, 02-Mar-2026,161.55,147.0,158.0,147.0,153.63,152.93,153.36,22606,34.67,648,13544,59.91,2026-03-03
AARTECH, EQ, 02-Mar-2026,42.8,40.01,43.0,40.0,41.2,41.5,41.55,42041,17.47,871,26021,61.89,2026-03-03
AARTIDRUGS, EQ, 02-Mar-2026,367.0,350.0,361.95,350.0,358.45,357.3,356.55,127799,455.67,5958,67132,52.53,2026-03-03
AARTIIND, EQ, 02-Mar-2026,447.15,416.0,450.25,416.0,432.25,432.95,438.1,1046432,4584.44,35708,488982,46.73,2026-03-03
AARTIPHARM, EQ, 02-Mar-2026,723.7,681.0,714.95,675.15,703.0,705.75,706.36,180068,1271.94,12417,91154,50.62,2026-03-03
AARTISURF, EQ, 02-Mar-2026,404.95,399.0,399.0,383.0,390.75,385.6,389.99,12003,46.81,1064,8099,67.47,2026-03-03
AARVI, EQ, 02-Mar-2026,130.03,125.0,125.9,120.31,122.48,122.54,122.68,15919,19.53,592,10887,68.39,2026-03-03
AAVAS, EQ, 02-Mar-2026,1285.6,1222.0,1259.5,1222.0,1243.9,1240.1,1239.42,242679,3007.82,18998,170328,70.19,2026-03-03
ABB, EQ, 02-Mar-2026,6073.0,5840.0,6073.0,5835.0,5980.0,5983.0,5980.23,275442,16472.06,31966,128816,46.77,2026-03-03
ABBOTINDIA, EQ, 02-Mar-2026,26530.0,26025.0,26900.0,26000.0,26880.0,26805.0,26666.02,12530,3341.25,5303,5606,44.74,2026-03-03
ABCAPITAL, EQ, 02-Mar-2026,344.45,333.0,346.0,331.9,338.25,338.1,340.65,6839776,23299.57,59614,3184008,46.55,2026-03-03
ABCOTS, EQ, 02-Mar-2026,409.05,409.9,411.0,395.8,411.0,410.15,407.51,4774,19.45,296,2478,51.91,2026-03-03
ABDL, EQ, 02-Mar-2026,476.1,445.0,475.0,445.0,468.1,471.0,466.16,300291,1399.85,18475,126048,41.98,2026-03-03
ABFRL, EQ, 02-Mar-2026,66.93,65.0,66.23,64.3,66.2,65.94,65.23,3483705,2272.59,20704,1837480,52.74,2026-03-03
ABGSEC, EQ, 02-Mar-2026,112.07,112.94,112.94,112.5,112.5,112.5,112.9,65,0.07,6,65,100.0,2026-03-03
ABINFRA, EQ, 02-Mar-2026,18.03,17.09,18.11,17.09,18.08,17.94,17.56,680106,119.44,3105,301477,44.33,2026-03-03
ABLBL, EQ, 02-Mar-2026,102.08,100.0,101.47,97.3,101.4,100.81,98.79,6929041,6845.49,12020,6378940,92.06,2026-03-03
ABREL, EQ, 02-Mar-2026,1290.2,1205.1,1284.0,1205.1,1261.0,1255.9,1256.05,189848,2384.59,14235,101514,53.47,2026-03-03
ABSLAMC, EQ, 02-Mar-2026,893.6,854.4,886.05,854.4,879.0,876.4,876.3,384495,3369.32,20125,225158,58.56,2026-03-03
ABSLBANETF, EQ, 02-Mar-2026,61.78,59.93,61.52,59.93,61.27,61.18,61.21,183879,112.56,634,115520,62.82,2026-03-03
ABSLLIQUID, EQ, 02-Mar-2026,999.99,999.99,1000.01,999.99,999.99,999.99,1000.0,2700,27.0,50,2092,77.48,2026-03-03
ABSLMSCIN, EQ, 02-Mar-2026,29.97,29.64,30.11,29.39,29.57,29.57,29.53,728,0.21,21,720,98.9,2026-03-03
ABSLNN50ET, EQ, 02-Mar-2026,73.29,73.65,73.65,71.22,73.29,72.12,71.98,51848,37.32,705,38601,74.45,2026-03-03
ABSLPSE, EQ, 02-Mar-2026,10.82,10.54,10.85,10.01,10.85,10.72,10.67,970035,103.47,1133,727708,75.02,2026-03-03
ACC, EQ, 02-Mar-2026,1592.4,1568.0,1576.0,1546.1,1558.8,1553.2,1556.14,212450,3306.03,22948,101568,47.81,2026-03-03
ACCELYA, EQ, 02-Mar-2026,1196.7,1140.0,1180.5,1140.0,1180.0,1165.9,1164.25,20599,239.82,1985,12458,60.48,2026-03-03
ACCURACY, EQ, 02-Mar-2026,4.88,4.8,4.84,4.48,4.5,4.49,4.58,564964,25.89,837,510622,90.38,2026-03-03
