SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 17-Mar-2026,151.31,152.5,154.27,150.21,154.0,153.17,152.71,90786,138.64,1826,41769,46.01,2026-03-17
21STCENMGM, EQ, 17-Mar-2026,32.72,33.15,33.15,32.3,32.3,32.99,33.03,807,0.27,30,798,98.88,2026-03-17
360ONE, EQ, 17-Mar-2026,1022.9,1022.9,1045.9,1020.1,1038.7,1043.4,1034.61,433488,4484.9,16033,273450,63.08,2026-03-17
3IINFOLTD, EQ, 17-Mar-2026,12.86,13.0,13.04,12.7,12.75,12.72,12.8,687976,88.03,1433,511029,74.28,2026-03-17
3MINDIA, EQ, 17-Mar-2026,32970.0,33200.0,33775.0,32820.0,33100.0,33110.0,33341.26,3501,1167.28,2212,1580,45.13,2026-03-17
3PLAND, EQ, 17-Mar-2026,29.51,29.71,30.24,29.5,30.24,29.53,29.69,878,0.26,24,799,91.0,2026-03-17
5PAISA, EQ, 17-Mar-2026,292.55,296.0,299.85,289.0,290.05,291.1,292.97,88847,260.3,2685,35687,40.17,2026-03-17
63MOONS, EQ, 17-Mar-2026,545.7,548.0,556.0,540.2,546.0,546.25,547.44,77283,423.08,3410,39496,51.11,2026-03-17
AAATECH, EQ, 17-Mar-2026,93.1,93.99,94.96,92.21,93.5,93.77,93.84,17804,16.71,285,11634,65.34,2026-03-17
AADHARHFC, EQ, 17-Mar-2026,478.75,480.0,481.4,470.5,481.0,480.55,476.72,242680,1156.91,9085,135515,55.84,2026-03-17
AAREYDRUGS, EQ, 17-Mar-2026,62.81,62.85,67.5,62.85,67.1,66.55,66.66,182816,121.86,854,105628,57.78,2026-03-17
AARNAV, EQ, 17-Mar-2026,24.27,25.99,25.99,24.28,25.0,24.53,24.93,37629,9.38,118,34929,92.82,2026-03-17
AARON, EQ, 17-Mar-2026,140.27,144.9,144.9,140.0,142.33,141.43,141.12,8208,11.58,393,4199,51.16,2026-03-17
AARTECH, EQ, 17-Mar-2026,40.54,40.54,42.09,40.0,42.02,41.85,41.32,22875,9.45,168,18541,81.05,2026-03-17
AARTIDRUGS, EQ, 17-Mar-2026,339.1,337.1,344.5,332.9,333.9,334.15,337.86,132179,446.58,4773,78083,59.07,2026-03-17
AARTIIND, EQ, 17-Mar-2026,425.15,425.15,428.9,416.4,423.9,424.95,422.65,479552,2026.83,17814,197395,41.16,2026-03-17
AARTIPHARM, EQ, 17-Mar-2026,629.35,631.3,654.35,631.3,640.2,644.55,647.09,153068,990.48,14431,76528,50.0,2026-03-17
AARTISURF, EQ, 17-Mar-2026,348.95,348.95,359.95,341.05,341.05,346.5,351.09,15522,54.5,777,8974,57.81,2026-03-17
AARVI, EQ, 17-Mar-2026,127.72,129.81,130.21,126.55,127.0,127.24,128.07,4330,5.55,326,1824,42.12,2026-03-17
AAVAS, EQ, 17-Mar-2026,1128.1,1133.4,1134.0,1096.0,1105.0,1101.6,1111.63,401479,4462.97,27430,270278,67.32,2026-03-17
ABB, EQ, 17-Mar-2026,6218.0,6237.5,6337.5,6176.5,6310.0,6310.5,6249.86,297126,18569.95,40146,105999,35.67,2026-03-17
ABBOTINDIA, EQ, 17-Mar-2026,26670.0,26890.0,26890.0,26290.0,26330.0,26450.0,26563.18,5175,1374.64,1736,3657,70.67,2026-03-17
ABCAPITAL, EQ, 17-Mar-2026,314.6,314.6,324.15,313.6,319.0,318.65,318.06,4360168,13867.75,46479,1558757,35.75,2026-03-17
ABCOTS, EQ, 17-Mar-2026,399.55,395.1,410.0,390.0,394.4,405.65,404.55,34808,140.82,1423,7639,21.95,2026-03-17
ABDL, EQ, 17-Mar-2026,442.3,439.95,441.3,417.6,420.0,420.05,427.83,653529,2795.99,25507,352360,53.92,2026-03-17
ABFRL, EQ, 17-Mar-2026,58.49,58.54,59.1,57.89,58.35,58.19,58.4,4108524,2399.32,20220,2091681,50.91,2026-03-17
ABGSEC, EQ, 17-Mar-2026,112.69,112.46,112.46,111.9,111.9,111.99,112.02,109,0.12,7,59,54.13,2026-03-17
ABINFRA, EQ, 17-Mar-2026,17.01,17.4,17.72,16.86,17.02,17.19,17.25,3898424,672.43,3127,2210282,56.7,2026-03-17
ABLBL, EQ, 17-Mar-2026,95.75,96.4,97.45,94.22,97.35,97.29,96.08,1389586,1335.14,16571,706738,50.86,2026-03-17
ABREL, EQ, 17-Mar-2026,1094.9,1101.9,1137.3,1084.6,1132.0,1121.0,1109.65,361621,4012.74,27181,217412,60.12,2026-03-17
ABSL10BANK, EQ, 17-Mar-2026,168.55,164.7,165.8,163.22,165.1,165.13,164.6,1738,2.86,51,1633,93.96,2026-03-17
