SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
AXISBPSETF, EQ, 12-Mar-2026,13.24,13.24,13.31,13.2,13.21,13.21,13.24,33817,4.48,319,33070,97.79,2026-03-12
AXISCADES, EQ, 12-Mar-2026,1457.7,1423.1,1445.0,1384.9,1389.0,1385.2,1393.65,212838,2966.21,8139,111943,52.6,2026-03-12
AXISCETF, EQ, 12-Mar-2026,111.88,113.7,113.7,110.11,110.72,110.71,110.48,972,1.07,62,700,72.02,2026-03-12
AXISGOLD, EQ, 12-Mar-2026,133.79,137.13,137.13,132.08,133.55,133.64,133.57,2569990,3432.67,4789,2126734,82.75,2026-03-12
AXISHCETF, EQ, 12-Mar-2026,151.99,150.98,151.72,150.27,150.77,150.86,150.83,6746,10.17,76,5501,81.54,2026-03-12
AXISILVER, EQ, 12-Mar-2026,261.65,254.65,264.39,254.65,262.77,263.3,260.52,580524,1512.36,5236,182360,31.41,2026-03-12
AXISNIFTY, EQ, 12-Mar-2026,262.87,269.44,269.44,259.33,260.4,260.48,260.84,141526,369.16,2045,136490,96.44,2026-03-12
AXISTECETF, EQ, 12-Mar-2026,324.75,323.44,326.0,321.34,324.67,324.09,324.13,1563,5.07,77,815,52.14,2026-03-12
AXISVALUE, EQ, 12-Mar-2026,32.65,32.94,33.49,32.1,33.49,33.01,32.63,148346,48.4,511,96044,64.74,2026-03-12
AXSENSEX, EQ, 12-Mar-2026,79.44,80.03,80.03,77.94,79.99,78.9,78.45,13580,10.65,116,8627,63.53,2026-03-12
AYE, EQ, 12-Mar-2026,108.86,108.69,108.69,103.74,104.1,105.41,106.04,341297,361.91,4657,85471,25.04,2026-03-12
AYMSYNTEX, EQ, 12-Mar-2026,187.7,187.99,190.9,172.15,179.3,182.09,184.62,34396,63.5,1630,15426,44.85,2026-03-12
AZAD, EQ, 12-Mar-2026,1611.6,1602.1,1617.7,1571.9,1594.0,1584.9,1587.98,153902,2443.94,12737,68762,44.68,2026-03-12
BAFNAPH, EQ, 12-Mar-2026,105.11,102.1,106.75,102.1,103.0,103.78,103.96,1979,2.06,90,1597,80.7,2026-03-12
BAGFILMS, EQ, 12-Mar-2026,5.0,5.09,5.09,4.8,4.82,4.85,4.9,62864,3.08,194,47324,75.28,2026-03-12
