SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 27-Mar-2026,151.67,150.01,150.92,137.61,139.97,140.72,143.34,257213,368.7,4427,148317,57.66,2026-03-27
21STCENMGM, EQ, 27-Mar-2026,30.09,30.09,30.09,29.49,29.49,29.49,29.58,10616,3.14,65,9257,87.2,2026-03-27
360ONE, EQ, 27-Mar-2026,1002.1,998.0,998.9,969.8,975.0,977.4,978.84,602539,5897.92,35236,330059,54.78,2026-03-27
3IINFOLTD, EQ, 27-Mar-2026,13.61,13.61,13.8,13.35,13.5,13.5,13.53,1901006,257.24,1428,1638464,86.19,2026-03-27
3MINDIA, EQ, 27-Mar-2026,31790.0,31785.0,31785.0,30710.0,30805.0,30865.0,31130.27,3530,1098.9,2469,1583,44.84,2026-03-27
3PLAND, EQ, 27-Mar-2026,31.14,30.85,31.14,28.54,29.5,28.72,30.0,28765,8.63,132,25481,88.58,2026-03-27
5PAISA, EQ, 27-Mar-2026,274.9,273.0,274.9,258.0,261.0,261.75,265.45,89973,238.84,3700,51972,57.76,2026-03-27
63MOONS, EQ, 27-Mar-2026,505.15,504.0,506.55,479.0,494.0,487.85,489.0,483766,2365.59,13374,308686,63.81,2026-03-27
AAATECH, EQ, 27-Mar-2026,91.96,91.96,92.78,88.51,90.95,90.09,90.55,36216,32.79,579,27983,77.27,2026-03-27
AADHARHFC, EQ, 27-Mar-2026,471.3,470.1,472.0,453.2,457.0,456.35,463.69,296851,1376.48,18253,159065,53.58,2026-03-27
AAREYDRUGS, EQ, 27-Mar-2026,61.96,61.19,62.42,55.77,55.77,55.9,58.75,144240,84.74,1247,96627,66.99,2026-03-27
AARNAV, EQ, 27-Mar-2026,24.62,24.75,25.09,21.55,22.6,22.81,23.19,58949,13.67,646,41049,69.63,2026-03-27
AARON, EQ, 27-Mar-2026,130.26,130.26,130.26,116.85,118.0,119.69,122.78,55252,67.84,1336,36193,65.51,2026-03-27
AARTECH, EQ, 27-Mar-2026,42.44,42.0,42.0,39.2,39.2,39.5,40.13,55413,22.24,846,37174,67.09,2026-03-27
AARTIDRUGS, EQ, 27-Mar-2026,341.1,345.0,345.85,328.85,329.05,330.7,335.19,206142,690.98,6682,119532,57.99,2026-03-27
AARTIIND, EQ, 27-Mar-2026,431.25,426.25,428.75,412.35,413.75,417.4,418.18,1270355,5312.38,41727,651022,51.25,2026-03-27
AARTIPHARM, EQ, 27-Mar-2026,639.0,636.0,636.0,602.5,603.9,608.85,617.93,397022,2453.31,27562,214481,54.02,2026-03-27
