SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 30-Mar-2026,140.72,139.81,140.84,129.61,132.0,133.14,135.82,234233,318.13,3903,136603,58.32,2026-03-30
21STCENMGM, EQ, 30-Mar-2026,29.49,29.47,29.47,28.91,28.91,28.91,29.14,1386,0.4,32,1004,72.44,2026-03-30
360ONE, EQ, 30-Mar-2026,977.4,969.1,969.1,932.1,935.0,949.6,949.31,1347427,12791.32,37135,788793,58.54,2026-03-30
3IINFOLTD, EQ, 30-Mar-2026,13.5,13.5,14.0,13.21,13.9,13.76,13.47,1938905,261.21,1806,1723307,88.88,2026-03-30
3MINDIA, EQ, 30-Mar-2026,30865.0,30855.0,30900.0,29980.0,30000.0,30120.0,30298.0,3374,1022.25,2267,1619,47.98,2026-03-30
3PLAND, EQ, 30-Mar-2026,28.72,30.99,30.99,28.51,29.5,29.5,29.38,5933,1.74,76,5469,92.18,2026-03-30
5PAISA, EQ, 30-Mar-2026,261.75,258.0,270.65,245.5,245.5,249.1,252.64,160114,404.52,4242,80464,50.25,2026-03-30
63MOONS, EQ, 30-Mar-2026,487.85,487.8,500.95,467.0,467.0,470.3,481.38,273839,1318.2,9994,152612,55.73,2026-03-30
AAATECH, EQ, 30-Mar-2026,90.09,88.03,90.64,88.03,89.15,89.16,89.5,17116,15.32,385,11435,66.81,2026-03-30
AADHARHFC, EQ, 30-Mar-2026,456.35,442.6,455.95,438.8,444.0,448.85,447.52,419745,1878.46,19294,191017,45.51,2026-03-30
AAREYDRUGS, EQ, 30-Mar-2026,55.9,55.77,56.3,50.31,50.8,50.75,52.66,119616,62.99,1270,85660,71.61,2026-03-30
AARNAV, EQ, 30-Mar-2026,22.81,23.15,23.38,21.0,21.8,21.69,21.44,41776,8.96,375,25217,60.36,2026-03-30
AARON, EQ, 30-Mar-2026,119.69,116.7,118.94,106.8,108.0,109.27,112.28,36732,41.24,1383,22791,62.05,2026-03-30
AARTECH, EQ, 30-Mar-2026,39.5,38.1,39.2,33.51,34.99,34.8,36.23,79283,28.72,1128,51244,64.63,2026-03-30
AARTIDRUGS, EQ, 30-Mar-2026,330.7,328.0,333.0,318.95,319.45,319.75,324.27,195625,634.35,7729,113367,57.95,2026-03-30
AARTIIND, EQ, 30-Mar-2026,417.4,413.5,413.5,397.0,398.65,399.05,404.46,1152413,4661.08,29023,712163,61.8,2026-03-30
AARTIPHARM, EQ, 30-Mar-2026,608.85,611.3,611.3,585.0,599.95,591.95,597.93,513822,3072.28,25435,279286,54.35,2026-03-30
AARTISURF, EQ, 30-Mar-2026,339.25,328.0,339.2,316.0,322.0,321.1,326.45,27831,90.85,1605,16390,58.89,2026-03-30
AARVI, EQ, 30-Mar-2026,123.38,123.99,126.72,120.0,121.18,120.69,122.78,18718,22.98,345,12552,67.06,2026-03-30
AAVAS, EQ, 30-Mar-2026,1110.4,1090.0,1100.0,1065.0,1075.7,1078.0,1088.17,336146,3657.84,28799,201664,59.99,2026-03-30
ABB, EQ, 30-Mar-2026,6105.0,5995.0,6100.0,5911.0,5975.0,5941.5,5987.6,342351,20498.61,35277,120782,35.28,2026-03-30
ABBOTINDIA, EQ, 30-Mar-2026,26135.0,26055.0,26200.0,25720.0,25900.0,25915.0,25940.21,23537,6105.55,5892,18028,76.59,2026-03-30
ABCAPITAL, EQ, 30-Mar-2026,305.75,299.35,301.85,290.1,295.7,292.25,294.1,5990288,17617.29,64848,3035906,50.68,2026-03-30
ABCOTS, EQ, 30-Mar-2026,400.7,398.2,407.0,395.0,400.0,402.6,403.56,40269,162.51,678,19452,48.31,2026-03-30
ABDL, EQ, 30-Mar-2026,397.05,395.1,414.7,388.0,396.9,404.05,401.73,1446683,5811.8,26291,815206,56.35,2026-03-30
ABFRL, EQ, 30-Mar-2026,57.05,56.0,57.15,53.51,53.85,53.89,55.1,7473955,4118.42,30899,3400980,45.5,2026-03-30
ABGSEC, EQ, 30-Mar-2026,111.79,111.09,111.09,110.42,111.09,111.09,110.5,768,0.85,15,712,92.71,2026-03-30
ABINFRA, EQ, 30-Mar-2026,16.43,16.3,16.43,15.6,15.79,15.69,15.8,951707,150.34,1217,536026,56.32,2026-03-30
ABLBL, EQ, 30-Mar-2026,91.98,91.01,91.4,87.91,88.25,88.23,89.58,2911597,2608.14,32826,1922761,66.04,2026-03-30
ABREL, EQ, 30-Mar-2026,1130.7,1130.0,1135.0,1088.1,1115.3,1123.0,1122.38,271951,3052.33,21199,135185,49.71,2026-03-30
ABSL10BANK, EQ, 30-Mar-2026,156.37,158.26,159.06,150.0,159.0,158.77,154.78,2053,3.18,66,1177,57.33,2026-03-30
ABSLAMC, EQ, 30-Mar-2026,902.95,895.0,899.7,867.1,869.15,878.3,880.25,281184,2475.11,22860,139363,49.56,2026-03-30
ABSLBANETF, EQ, 30-Mar-2026,53.45,53.45,53.54,51.3,51.6,51.48,51.63,677718,349.9,1042,512768,75.66,2026-03-30
ABSLLIQUID, EQ, 30-Mar-2026,1000.0,999.99,1000.01,999.99,999.99,999.99,1000.0,4035,40.35,20,3124,77.42,2026-03-30
ABSLMSCIN, EQ, 30-Mar-2026,27.21,27.34,28.5,27.34,28.5,28.5,28.34,486,0.14,13,268,55.14,2026-03-30
ABSLNN50ET, EQ, 30-Mar-2026,65.35,63.71,65.52,63.23,64.97,64.9,64.34,37725,24.27,514,26077,69.12,2026-03-30
ABSLPSE, EQ, 30-Mar-2026,10.01,10.26,10.3,9.9,9.9,9.92,10.0,198794,19.89,674,152051,76.49,2026-03-30
ACC, EQ, 30-Mar-2026,1314.4,1305.1,1306.5,1251.7,1252.7,1254.6,1274.35,496998,6333.48,34990,265422,53.41,2026-03-30
ACCELYA, EQ, 30-Mar-2026,1102.9,1102.9,1105.6,1012.4,1028.9,1024.6,1052.43,42936,451.87,4586,23523,54.79,2026-03-30
ACCURACY, EQ, 30-Mar-2026,3.55,3.8,3.8,3.42,3.53,3.47,3.55,233309,8.28,932,172097,73.76,2026-03-30
ACE, EQ, 30-Mar-2026,780.7,775.0,779.5,745.1,748.5,748.95,761.07,451304,3434.76,29000,228979,50.74,2026-03-30
ACEINTEG, EQ, 30-Mar-2026,15.74,15.43,17.5,14.2,15.34,15.25,15.24,15359,2.34,179,6379,41.53,2026-03-30
ACI, EQ, 30-Mar-2026,608.4,605.0,605.0,577.35,577.35,587.45,589.05,238014,1402.03,13123,105406,44.29,2026-03-30
ACL, EQ, 30-Mar-2026,42.24,42.23,42.24,40.5,40.9,40.79,41.11,57917,23.81,549,47541,82.08,2026-03-30
ACMESOLAR, EQ, 30-Mar-2026,269.41,269.31,272.97,258.01,260.0,261.61,264.51,2058259,5444.23,41895,598535,29.08,2026-03-30
