SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 11-Mar-2026,166.92,167.33,170.17,165.0,165.0,166.61,167.88,82201,138.0,2151,35564,43.26,2026-03-11
21STCENMGM, EQ, 11-Mar-2026,34.53,35.2,35.2,33.91,34.39,33.94,34.1,1664,0.57,32,1639,98.5,2026-03-11
360ONE, EQ, 11-Mar-2026,1055.8,1055.0,1065.0,1040.0,1053.2,1048.1,1054.93,745098,7860.27,21806,443417,59.51,2026-03-11
3IINFOLTD, EQ, 11-Mar-2026,13.13,13.4,13.65,13.13,13.24,13.24,13.41,497434,66.68,1467,326697,65.68,2026-03-11
3MINDIA, EQ, 11-Mar-2026,33975.0,34075.0,34625.0,33625.0,33720.0,33720.0,34186.02,1880,642.7,1151,585,31.12,2026-03-11
3PLAND, EQ, 11-Mar-2026,31.2,31.25,31.4,30.5,31.2,31.36,30.87,9478,2.93,49,9354,98.69,2026-03-11
5PAISA, EQ, 11-Mar-2026,308.85,310.5,317.8,300.5,304.4,304.0,306.93,56788,174.3,1898,20323,35.79,2026-03-11
63MOONS, EQ, 11-Mar-2026,613.15,619.0,623.5,592.0,592.0,595.75,609.66,131782,803.42,4489,69702,52.89,2026-03-11
AAATECH, EQ, 11-Mar-2026,94.73,95.4,97.59,93.32,95.31,94.76,95.37,20694,19.74,467,10644,51.44,2026-03-11
AADHARHFC, EQ, 11-Mar-2026,480.1,476.3,486.0,473.4,482.0,482.35,481.2,210199,1011.47,9241,111035,52.82,2026-03-11
AAREYDRUGS, EQ, 11-Mar-2026,69.24,69.01,71.42,65.25,66.15,67.65,68.56,26636,18.26,416,16877,63.36,2026-03-11
AARNAV, EQ, 11-Mar-2026,24.09,24.4,28.3,24.01,25.06,26.29,26.05,30255,7.88,146,25106,82.98,2026-03-11
AARON, EQ, 11-Mar-2026,149.13,151.54,152.9,145.01,145.05,145.9,147.46,14284,21.06,494,9064,63.46,2026-03-11
AARTECH, EQ, 11-Mar-2026,41.1,41.39,42.11,40.05,40.54,40.34,40.7,11167,4.55,241,8557,76.63,2026-03-11
AARTIDRUGS, EQ, 11-Mar-2026,353.45,353.45,362.45,349.75,352.0,352.75,353.95,155003,548.64,4317,76969,49.66,2026-03-11
AARTIIND, EQ, 11-Mar-2026,427.4,426.05,431.4,422.15,428.0,430.15,428.36,847379,3629.79,23533,476466,56.23,2026-03-11
AARTIPHARM, EQ, 11-Mar-2026,686.7,686.0,699.8,678.0,684.0,681.05,689.32,113933,785.36,11045,64248,56.39,2026-03-11
AARTISURF, EQ, 11-Mar-2026,359.55,361.35,371.0,361.35,368.0,367.15,366.42,17632,64.61,744,15155,85.95,2026-03-11
AARVI, EQ, 11-Mar-2026,132.8,136.4,136.8,128.53,129.0,129.82,132.72,13232,17.56,669,6869,51.91,2026-03-11
AAVAS, EQ, 11-Mar-2026,1220.1,1231.0,1231.0,1200.0,1202.7,1211.8,1210.85,97504,1180.63,13792,58774,60.28,2026-03-11
ABB, EQ, 11-Mar-2026,6224.5,6230.0,6325.0,6181.0,6268.5,6280.0,6284.28,599883,37698.32,55293,305187,50.87,2026-03-11
ABBOTINDIA, EQ, 11-Mar-2026,26810.0,27000.0,27325.0,26650.0,27150.0,27200.0,26958.62,9145,2465.37,3978,5226,57.15,2026-03-11
ABCAPITAL, EQ, 11-Mar-2026,332.5,334.8,338.2,322.2,322.5,323.8,330.52,3068108,10140.71,41848,1282271,41.79,2026-03-11
ABCOTS, EQ, 11-Mar-2026,395.45,396.0,409.65,393.05,395.2,401.95,401.22,24244,97.27,1268,5172,21.33,2026-03-11
ABDL, EQ, 11-Mar-2026,478.15,480.5,487.5,470.0,471.9,473.45,479.82,168049,806.33,8408,82757,49.25,2026-03-11
ABFRL, EQ, 11-Mar-2026,61.72,61.7,63.49,61.34,62.13,61.74,62.06,7209647,4474.05,23082,4828430,66.97,2026-03-11
ABGSEC, EQ, 11-Mar-2026,112.94,112.93,112.93,112.26,112.26,112.26,112.73,456,0.51,14,324,71.05,2026-03-11
ABINFRA, EQ, 11-Mar-2026,17.52,17.75,18.4,17.1,17.91,17.61,17.85,1455577,259.76,3362,688115,47.27,2026-03-11
ABLBL, EQ, 11-Mar-2026,104.01,103.5,105.54,101.75,102.1,102.75,104.3,7178994,7487.93,12535,5949529,82.87,2026-03-11
ABREL, EQ, 11-Mar-2026,1176.1,1176.2,1209.4,1174.2,1181.0,1183.0,1194.04,146047,1743.86,22217,72738,49.8,2026-03-11
ABSL10BANK, EQ, 11-Mar-2026,170.92,170.1,170.11,167.5,167.59,167.59,168.82,1936,3.27,57,1890,97.62,2026-03-11
ABSLAMC, EQ, 11-Mar-2026,975.75,989.95,1022.95,988.0,1007.9,1010.0,1006.78,2308297,23239.36,84619,1112571,48.2,2026-03-11
ABSLBANETF, EQ, 11-Mar-2026,58.25,58.75,58.77,56.91,57.3,57.0,57.33,36239,20.77,669,29690,81.93,2026-03-11
ABSLLIQUID, EQ, 11-Mar-2026,999.99,1000.0,1000.01,999.99,999.99,999.99,999.99,1044,10.44,13,996,95.4,2026-03-11
ABSLMSCIN, EQ, 11-Mar-2026,29.42,28.94,28.95,28.5,28.5,28.54,28.6,2450,0.7,61,1877,76.61,2026-03-11
ABSLNN50ET, EQ, 11-Mar-2026,70.55,70.27,72.0,69.32,70.0,70.17,70.22,103490,72.67,288,83195,80.39,2026-03-11
ABSLPSE, EQ, 11-Mar-2026,10.54,10.8,10.8,10.41,10.56,10.48,10.53,206043,21.71,535,155592,75.51,2026-03-11
ACC, EQ, 11-Mar-2026,1474.0,1481.0,1497.4,1452.7,1456.2,1456.4,1475.15,205801,3035.88,13252,91066,44.25,2026-03-11
ACCELYA, EQ, 11-Mar-2026,1201.6,1198.8,1232.1,1198.8,1225.0,1226.7,1222.09,22263,272.07,1293,15339,68.9,2026-03-11
ACCURACY, EQ, 11-Mar-2026,4.09,4.09,4.15,3.96,4.0,4.0,4.03,315417,12.71,628,271452,86.06,2026-03-11
ACE, EQ, 11-Mar-2026,859.7,862.95,879.6,850.0,850.0,853.4,860.38,145468,1251.58,7899,73668,50.64,2026-03-11
ACEINTEG, EQ, 11-Mar-2026,16.71,17.04,17.41,15.81,16.32,16.63,16.36,1929,0.32,58,1146,59.41,2026-03-11
ACI, EQ, 11-Mar-2026,548.65,548.7,553.5,535.2,537.0,537.2,541.34,93423,505.74,5456,43821,46.91,2026-03-11
ACL, EQ, 11-Mar-2026,53.88,53.88,55.79,51.1,53.2,52.57,53.25,26111,13.9,502,13842,53.01,2026-03-11
ACMESOLAR, EQ, 11-Mar-2026,224.13,224.5,232.87,222.79,229.97,230.24,229.37,475727,1091.19,14054,188885,39.7,2026-03-11
ACUTAAS, EQ, 11-Mar-2026,2227.9,2229.9,2259.6,2171.0,2185.0,2193.0,2211.08,303331,6706.9,40607,161995,53.41,2026-03-11
ADANIENSOL, EQ, 11-Mar-2026,1013.6,1010.0,1031.6,987.4,991.0,992.0,1006.32,858594,8640.2,30511,201150,23.43,2026-03-11
ADANIENT, EQ, 11-Mar-2026,1996.5,2006.6,2027.4,1970.0,1975.0,1974.7,1994.25,1088294,21703.26,51008,343737,31.58,2026-03-11
ADANIGREEN, EQ, 11-Mar-2026,856.9,866.6,877.9,846.9,852.0,849.65,863.96,3005645,25967.66,51884,1048442,34.88,2026-03-11
ADANIPORTS, EQ, 11-Mar-2026,1424.1,1425.0,1454.9,1405.7,1412.0,1410.8,1430.35,2212011,31639.48,101067,978087,44.22,2026-03-11
ADANIPOWER, EQ, 11-Mar-2026,138.94,139.2,142.09,138.68,139.18,138.85,140.02,15328343,21462.42,84169,6714111,43.8,2026-03-11
ADFFOODS, EQ, 11-Mar-2026,187.04,187.0,193.44,186.54,187.0,187.44,189.7,173581,329.29,3188,92455,53.26,2026-03-11
ADL, EQ, 11-Mar-2026,68.87,69.0,74.8,65.41,73.0,72.99,71.04,675,0.48,37,594,88.0,2026-03-11
ADOR, EQ, 11-Mar-2026,1007.1,1002.6,1019.9,989.7,1002.0,999.8,1006.87,7731,77.84,950,4181,54.08,2026-03-11
ADROITINFO, EQ, 11-Mar-2026,9.78,9.58,10.05,9.58,9.75,9.67,9.71,253844,24.65,108,244186,96.2,2026-03-11
ADSL, EQ, 11-Mar-2026,106.44,107.5,109.69,104.46,105.5,105.09,107.16,104115,111.57,1938,48508,46.59,2026-03-11
ADVAIT, EQ, 11-Mar-2026,1627.2,1652.9,1670.0,1604.0,1611.0,1614.0,1639.85,20566,337.25,2582,10659,51.83,2026-03-11
ADVANCE, EQ, 11-Mar-2026,107.94,109.0,110.17,103.2,104.7,105.02,108.15,216371,234.01,1709,135727,62.73,2026-03-11
ADVANIHOTR, EQ, 11-Mar-2026,52.44,53.0,53.25,52.01,52.1,52.31,52.73,20193,10.65,543,12654,62.67,2026-03-11
ADVENTHTL, EQ, 11-Mar-2026,181.13,179.44,183.78,176.1,178.0,178.16,181.07,179261,324.59,2941,114667,63.97,2026-03-11
ADVENZYMES, EQ, 11-Mar-2026,291.7,293.2,303.9,293.0,294.5,294.9,297.84,190738,568.09,3505,104540,54.81,2026-03-11
AEGISLOG, EQ, 11-Mar-2026,646.35,650.0,650.2,614.0,617.2,616.55,623.44,718459,4479.14,24829,410425,57.13,2026-03-11
AEGISVOPAK, EQ, 11-Mar-2026,194.1,194.69,199.09,191.29,193.95,193.27,195.66,529991,1036.99,12764,249816,47.14,2026-03-11
