SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 20-Mar-2026,149.89,152.0,153.99,148.65,151.84,151.02,151.23,110174,166.61,2172,46634,42.33,2026-03-20
21STCENMGM, EQ, 20-Mar-2026,32.55,33.15,33.15,31.9,31.9,31.9,31.98,4264,1.36,64,4144,97.19,2026-03-20
360ONE, EQ, 20-Mar-2026,1040.5,1034.6,1055.0,1034.6,1044.2,1040.6,1044.82,413078,4315.94,14840,229421,55.54,2026-03-20
3IINFOLTD, EQ, 20-Mar-2026,13.49,13.5,13.9,13.46,13.72,13.82,13.65,586093,80.02,1206,436731,74.52,2026-03-20
3MINDIA, EQ, 20-Mar-2026,32980.0,33000.0,33435.0,32125.0,32355.0,32270.0,32552.43,4927,1603.86,2896,2482,50.38,2026-03-20
3PLAND, EQ, 20-Mar-2026,32.15,30.0,32.59,30.0,32.0,32.36,31.69,665,0.21,82,411,61.8,2026-03-20
5PAISA, EQ, 20-Mar-2026,288.05,288.0,298.0,287.85,291.9,291.6,290.18,63078,183.04,1247,34765,55.11,2026-03-20
63MOONS, EQ, 20-Mar-2026,530.35,536.15,561.8,524.35,525.0,531.45,541.25,321539,1740.32,9048,195280,60.73,2026-03-20
AAATECH, EQ, 20-Mar-2026,92.42,92.53,95.95,92.02,93.5,93.0,93.67,15859,14.86,398,7810,49.25,2026-03-20
AADHARHFC, EQ, 20-Mar-2026,462.75,465.05,469.85,447.25,448.0,449.85,455.67,337678,1538.69,8192,162307,48.07,2026-03-20
AAREYDRUGS, EQ, 20-Mar-2026,66.95,68.4,70.5,67.72,69.85,69.28,69.38,38633,26.8,589,21645,56.03,2026-03-20
AARNAV, EQ, 20-Mar-2026,25.72,26.7,30.45,25.25,25.99,25.77,27.13,190160,51.58,1764,60153,31.63,2026-03-20
AARON, EQ, 20-Mar-2026,138.95,136.3,141.85,136.3,138.15,137.74,138.55,5900,8.17,363,3826,64.85,2026-03-20
AARTECH, EQ, 20-Mar-2026,45.37,45.45,47.73,45.0,45.02,46.63,46.51,63037,29.32,583,37912,60.14,2026-03-20
AARTIDRUGS, EQ, 20-Mar-2026,337.6,340.0,348.0,338.3,343.8,343.15,342.84,100847,345.75,3663,43532,43.17,2026-03-20
AARTIIND, EQ, 20-Mar-2026,411.85,415.2,430.0,413.0,427.8,427.35,422.38,1189269,5023.22,30272,631447,53.1,2026-03-20
