SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 16-Mar-2026,157.25,156.1,157.94,146.35,152.0,151.31,149.86,357805,536.21,7521,159501,44.58,2026-03-16
21STCENMGM, EQ, 16-Mar-2026,32.97,32.97,33.59,32.32,33.49,32.72,32.47,8718,2.83,61,7928,90.94,2026-03-16
360ONE, EQ, 16-Mar-2026,1027.4,1025.0,1038.9,1010.3,1025.0,1022.9,1021.53,331156,3382.86,13362,156510,47.26,2026-03-16
3IINFOLTD, EQ, 16-Mar-2026,12.81,12.91,13.05,12.68,12.81,12.86,12.81,447673,57.36,1550,310953,69.46,2026-03-16
3MINDIA, EQ, 16-Mar-2026,32985.0,32985.0,33100.0,32005.0,33000.0,32970.0,32657.66,7966,2601.51,5125,3465,43.5,2026-03-16
3PLAND, EQ, 16-Mar-2026,30.94,29.15,30.98,28.51,29.7,29.51,29.14,28870,8.41,246,20546,71.17,2026-03-16
5PAISA, EQ, 16-Mar-2026,300.1,300.75,300.75,288.35,290.05,292.55,292.92,57984,169.85,2558,24978,43.08,2026-03-16
63MOONS, EQ, 16-Mar-2026,555.0,555.0,570.55,538.9,542.5,545.7,546.96,199227,1089.7,7706,110658,55.54,2026-03-16
AAATECH, EQ, 16-Mar-2026,92.02,92.1,94.85,92.1,94.0,93.1,92.84,10781,10.01,222,6432,59.66,2026-03-16
AADHARHFC, EQ, 16-Mar-2026,459.75,457.95,481.8,451.25,475.2,478.75,470.37,429398,2019.74,17212,132333,30.82,2026-03-16
AAREYDRUGS, EQ, 16-Mar-2026,65.18,67.16,67.19,60.99,62.98,62.81,62.75,57730,36.22,749,29548,51.18,2026-03-16
AARNAV, EQ, 16-Mar-2026,24.5,24.5,27.0,23.09,23.95,24.27,25.63,14894,3.82,234,11038,74.11,2026-03-16
AARON, EQ, 16-Mar-2026,139.53,138.85,144.92,138.6,141.5,140.27,140.32,14513,20.37,567,8523,58.73,2026-03-16
AARTECH, EQ, 16-Mar-2026,40.35,40.35,42.06,39.01,41.4,40.54,40.9,33960,13.89,467,21103,62.14,2026-03-16
AARTIDRUGS, EQ, 16-Mar-2026,347.75,349.0,349.0,335.5,339.0,339.1,339.89,143942,489.24,4543,73911,51.35,2026-03-16
AARTIIND, EQ, 16-Mar-2026,420.75,420.95,429.35,412.65,425.0,425.15,419.53,1349323,5660.86,36381,616520,45.69,2026-03-16
AARTIPHARM, EQ, 16-Mar-2026,650.85,644.95,665.0,624.55,628.0,629.35,633.8,246146,1560.06,18692,126707,51.48,2026-03-16
AARTISURF, EQ, 16-Mar-2026,364.55,372.5,372.5,341.0,348.45,348.95,350.66,19963,70.0,1262,12233,61.28,2026-03-16
AARVI, EQ, 16-Mar-2026,127.71,127.88,130.79,122.23,126.21,127.72,125.76,16184,20.35,1121,4511,27.87,2026-03-16
AAVAS, EQ, 16-Mar-2026,1169.8,1159.5,1164.3,1121.0,1125.0,1128.1,1130.86,321137,3631.62,33319,184803,57.55,2026-03-16
ABB, EQ, 16-Mar-2026,6392.5,6400.0,6417.0,6162.5,6218.5,6218.0,6232.65,371084,23128.35,40172,119294,32.15,2026-03-16
ABBOTINDIA, EQ, 16-Mar-2026,26960.0,27045.0,27090.0,26605.0,26695.0,26670.0,26807.44,9442,2531.16,2573,5985,63.39,2026-03-16
ABCAPITAL, EQ, 16-Mar-2026,310.75,309.0,317.1,307.5,313.5,314.6,311.8,3069058,9569.36,32227,1092969,35.61,2026-03-16
ABCOTS, EQ, 16-Mar-2026,405.95,409.8,409.8,335.0,388.0,399.55,402.65,44129,177.69,645,10634,24.1,2026-03-16
ABDL, EQ, 16-Mar-2026,441.5,444.2,450.2,435.3,443.0,442.3,442.23,340551,1506.02,13600,149344,43.85,2026-03-16
ABFRL, EQ, 16-Mar-2026,59.28,59.28,59.44,57.53,58.5,58.49,58.39,4086273,2386.01,28338,1645909,40.28,2026-03-16
ABGSEC, EQ, 16-Mar-2026,112.09,112.1,112.69,112.1,112.69,112.69,112.12,100,0.11,2,97,97.0,2026-03-16
ABINFRA, EQ, 16-Mar-2026,16.87,17.28,17.28,16.84,17.06,17.01,16.91,1029152,174.0,1196,730408,70.97,2026-03-16
ABLBL, EQ, 16-Mar-2026,97.42,97.41,98.0,94.26,95.65,95.75,95.86,3194505,3062.34,30668,2069126,64.77,2026-03-16
ABREL, EQ, 16-Mar-2026,1134.0,1140.0,1142.0,1080.1,1096.6,1094.9,1101.33,332733,3664.48,26422,178793,53.73,2026-03-16
ABSL10BANK, EQ, 16-Mar-2026,161.64,161.6,174.98,158.63,163.19,168.55,160.8,6824,10.97,81,3467,50.81,2026-03-16
ABSLAMC, EQ, 16-Mar-2026,932.8,941.3,986.0,935.0,949.8,952.5,962.79,1436167,13827.32,80065,363016,25.28,2026-03-16
ABSLBANETF, EQ, 16-Mar-2026,55.01,53.63,55.88,53.63,55.49,55.6,55.2,297938,164.45,1859,259165,86.99,2026-03-16
ABSLLIQUID, EQ, 16-Mar-2026,1000.01,999.99,1000.01,999.99,1000.01,1000.01,1000.0,5054,50.54,40,3321,65.71,2026-03-16
ABSLMSCIN, EQ, 16-Mar-2026,28.03,28.03,28.03,27.13,27.13,27.77,27.56,1186,0.33,25,626,52.78,2026-03-16
ABSLNN50ET, EQ, 16-Mar-2026,68.93,68.87,68.87,66.65,67.62,67.3,67.19,69123,46.44,572,21457,31.04,2026-03-16
ABSLPSE, EQ, 16-Mar-2026,10.45,10.43,10.48,10.16,10.37,10.27,10.24,310461,31.8,822,179361,57.77,2026-03-16
ACC, EQ, 16-Mar-2026,1376.4,1377.0,1386.1,1361.8,1372.2,1373.2,1374.21,278403,3825.85,16963,119117,42.79,2026-03-16
ACCELYA, EQ, 16-Mar-2026,1174.6,1179.9,1180.8,1141.1,1150.5,1164.3,1155.9,12843,148.45,1886,6499,50.6,2026-03-16
